time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,1,0,1,0,0
2020-02-25,1,0,1,0,0
2020-02-26,1,0,1,0,0
2020-02-27,1,0,1,0,0
2020-02-28,1,0,1,0,0
2020-02-29,1,0,1,0,0
2020-03-01,1,0,1,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,4,3,4,0,0
2020-03-08,4,0,4,0,0
2020-03-09,4,0,4,0,0
2020-03-10,5,1,5,0,0
2020-03-11,7,2,7,0,0
2020-03-12,7,0,7,0,0
2020-03-13,7,0,7,0,0
2020-03-14,11,4,11,0,0
2020-03-15,16,5,15,0,0
2020-03-16,21,5,20,0,0
2020-03-17,22,1,21,0,0
2020-03-18,22,0,21,0,0
2020-03-19,22,0,21,0,0
2020-03-20,24,2,23,0,0
2020-03-21,24,0,23,0,0
2020-03-22,40,16,38,1,1
2020-03-23,40,0,38,1,0
2020-03-24,74,34,72,1,0
2020-03-25,84,10,80,2,1
2020-03-26,94,10,88,4,2
2020-03-27,110,16,104,4,0
2020-03-28,110,0,104,4,0
2020-03-29,120,10,114,4,0
2020-03-30,170,50,164,4,0
2020-03-31,174,4,165,4,0
2020-04-01,237,63,228,4,0
2020-04-02,273,36,257,6,2
2020-04-03,281,8,265,6,0
2020-04-04,309,28,292,7,1
2020-04-05,349,40,327,7,0
2020-04-06,367,18,338,11,4
2020-04-07,423,56,391,14,3
2020-04-08,444,21,401,14,0
2020-04-09,484,40,437,15,1
2020-04-10,521,37,474,15,0
2020-04-11,555,34,505,18,3
2020-04-12,607,52,557,18,0
2020-04-13,665,58,612,21,3
2020-04-14,714,49,651,23,2
2020-04-15,784,70,716,25,2
2020-04-16,840,56,756,30,5
2020-04-17,906,66,777,30,0
2020-04-18,933,27,791,30,0
2020-04-19,996,63,832,33,3
2020-04-20,1026,30,855,36,3
2020-04-21,1092,66,906,36,0
2020-04-22,1176,84,970,40,4
2020-04-23,1279,103,1058,42,2
2020-04-24,1351,72,1120,43,1
2020-04-25,1463,112,1228,47,4
2020-04-26,1531,68,1274,50,3
2020-04-27,1703,172,1426,57,7
2020-04-28,1828,125,1542,58,1
2020-04-29,1939,111,1627,60,2
2020-04-30,2171,232,1847,64,4
2020-05-01,2335,164,1957,68,4
2020-05-02,2469,134,2066,72,4
2020-05-03,2704,235,2274,85,13
2020-05-04,2894,190,2407,90,5
2020-05-05,3224,330,2708,95,5
2020-05-06,3392,168,2830,104,9
2020-05-07,3563,171,2989,106,2
2020-05-08,3778,215,3197,109,3
2020-05-09,4033,255,3416,115,6
2020-05-10,4402,369,3724,120,5
2020-05-11,4687,285,4007,122,2
2020-05-12,4963,276,4226,127,5
2020-05-13,5226,263,4446,132,5
2020-05-14,5639,413,4812,136,4
2020-05-15,6053,414,5155,153,17
