time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,15,0,5,0,0,0
2020-02-16,15,0,5,0,0,0
2020-02-17,15,0,5,0,0,0
2020-02-18,15,0,5,0,0,0
2020-02-19,15,0,5,0,0,0
2020-02-20,17,2,6,0,0,1
2020-02-21,19,2,8,0,0,0
2020-02-22,21,2,10,0,0,0
2020-02-23,22,1,11,0,0,0
2020-02-24,22,0,11,0,0,0
2020-02-25,22,0,7,0,0,4
2020-02-26,23,1,8,0,0,0
2020-02-27,23,0,8,0,0,0
2020-02-28,25,2,10,0,0,0
2020-02-29,25,0,10,0,0,0
2020-03-01,29,4,13,1,1,0
2020-03-02,33,4,17,1,0,0
2020-03-03,39,6,17,1,0,6
2020-03-04,53,14,30,2,1,0
2020-03-05,60,7,36,2,0,1
2020-03-06,63,3,39,2,0,0
2020-03-07,74,11,49,3,1,0
2020-03-08,83,9,58,3,0,0
2020-03-09,93,10,68,3,0,0
2020-03-10,116,23,91,3,0,0
2020-03-11,128,12,101,3,0,2
2020-03-12,156,28,127,3,0,2
2020-03-13,199,43,170,3,0,0
2020-03-14,248,49,218,3,0,1
2020-03-15,300,52,268,5,2,0
2020-03-16,401,101,369,5,0,0
2020-03-17,455,54,423,5,0,0
2020-03-18,596,141,547,6,1,16
2020-03-19,756,160,703,7,1,3
2020-03-20,928,172,875,7,0,0
2020-03-21,1072,144,1019,7,0,0
2020-03-22,1609,537,1514,7,0,42
2020-03-23,1887,278,1762,7,0,30
2020-03-24,2317,430,2191,8,1,0
2020-03-25,2676,359,2547,11,3,0
2020-03-26,3050,374,2867,13,2,52
2020-03-27,3378,328,3195,13,0,0
2020-03-28,3635,257,3451,14,1,0
2020-03-29,4163,528,3902,17,3,74
2020-03-30,4460,297,4197,19,2,0
2020-03-31,4763,303,4398,20,1,101
2020-04-01,5048,285,4680,23,3,0
2020-04-02,5314,266,4704,25,2,240
2020-04-03,5454,140,4841,28,3,0
2020-04-04,5550,96,4935,30,2,0
2020-04-05,5750,200,4633,37,7,495
2020-04-06,5895,145,3418,45,8,1352
2020-04-07,5988,93,3392,49,4,115
2020-04-08,6052,64,3189,50,1,266
2020-04-09,6152,100,3114,51,1,174
2020-04-10,6238,86,3043,54,3,154
2020-04-11,6303,65,2982,56,2,124
2020-04-12,6313,10,2916,59,3,73
2020-04-13,6359,46,2804,61,2,156
2020-04-14,6400,41,2741,61,0,104
2020-04-15,6447,47,2698,63,2,88
2020-04-16,6468,21,2658,63,0,61
2020-04-17,6533,65,2647,65,2,74
2020-04-18,6586,53,2349,70,5,346
2020-04-19,6612,26,2311,71,1,63
2020-04-20,6625,13,2296,71,0,28
2020-04-21,6645,20,1889,71,0,427
2020-04-22,6649,4,1655,74,3,235
2020-04-23,6667,18,1547,75,1,125
2020-04-24,6675,8,1460,79,4,91
2020-04-25,6695,20,1243,80,1,236
2020-04-26,6716,21,1073,83,3,188
2020-04-27,6720,4,1051,83,0,26
2020-04-28,6738,18,1024,88,5,40
2020-04-29,6746,8,990,89,1,41
2020-04-30,6754,8,947,92,3,48
2020-05-01,6767,13,929,93,1,30
2020-05-02,6781,14,899,93,0,44
2020-05-03,6801,20,889,95,2,28
2020-05-04,6825,24,871,95,0,42
2020-05-05,6849,24,864,96,1,30
2020-05-06,6875,26,794,97,1,95
2020-05-07,6896,21,759,97,0,56
2020-05-08,6914,18,738,97,0,39
2020-05-09,6929,15,697,97,0,56
2020-05-10,6941,12,681,97,0,28
2020-05-11,6948,7,672,97,0,16
2020-05-12,6964,16,638,97,0,50
2020-05-13,6980,16,611,98,1,42
2020-05-14,6989,9,590,98,0,30
2020-05-15,7019,30,584,98,0,36
2020-05-16,7036,17,576,98,0,25
2020-05-17,7045,9,580,98,0,5
2020-05-18,7060,15,569,99,1,25
2020-05-19,7068,8,555,100,1,21
2020-05-20,7079,11,535,100,0,31
2020-05-21,7081,2,509,100,0,28
2020-05-22,7095,14,515,101,1,7
2020-05-23,7111,16,515,102,1,15
2020-05-24,7114,3,504,102,0,14
2020-05-25,7118,4,485,102,0,23
2020-05-26,7133,15,478,102,0,22
2020-05-27,7139,6,471,102,0,13
2020-05-28,7150,11,468,102,0,14
2020-05-29,7173,23,489,102,0,2
2020-05-30,7185,12,477,102,0,24
2020-05-31,7195,10,479,102,0,8
