time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,2,0,2,0,0,0
2020-02-26,2,0,2,0,0,0
2020-02-27,5,3,5,0,0,0
2020-02-28,7,2,7,0,0,0
2020-02-29,10,3,10,0,0,0
2020-03-01,14,4,14,0,0,0
2020-03-02,18,4,18,0,0,0
2020-03-03,24,6,24,0,0,0
2020-03-04,29,5,29,0,0,0
2020-03-05,43,14,41,0,0,2
2020-03-06,66,23,64,0,0,0
2020-03-07,81,15,79,0,0,0
2020-03-08,104,23,102,0,0,0
2020-03-09,131,27,129,0,0,0
2020-03-10,182,51,178,0,0,2
2020-03-11,246,64,242,0,0,0
2020-03-12,361,115,356,1,1,0
2020-03-13,504,143,497,1,0,2
2020-03-14,655,151,648,1,0,0
2020-03-15,860,205,853,1,0,0
2020-03-16,1018,158,1007,3,2,2
2020-03-17,1332,314,1319,4,1,1
2020-03-18,1646,314,1633,4,0,0
2020-03-19,2179,533,2164,6,2,0
2020-03-20,2649,470,2634,6,0,0
2020-03-21,2992,343,2975,8,2,0
2020-03-22,3582,590,3557,16,8,0
2020-03-23,4474,892,4444,21,5,0
2020-03-24,5283,809,5246,28,7,0
2020-03-25,5588,305,5548,31,3,0
2020-03-26,6909,1321,6748,49,18,103
2020-03-27,7697,788,7414,58,9,113
2020-03-28,8271,574,7978,68,10,0
2020-03-29,8788,517,8223,86,18,254
2020-03-30,9618,830,8874,108,22,157
2020-03-31,10180,562,8957,128,20,459
2020-04-01,10711,531,9129,146,18,341
2020-04-02,11129,418,9222,158,12,313
2020-04-03,11524,395,9334,168,10,273
2020-04-04,11781,257,9088,186,18,485
2020-04-05,12051,270,8849,204,18,491
2020-04-06,12297,246,8614,220,16,465
2020-04-07,12639,342,8350,243,23,583
2020-04-08,12942,303,8157,273,30,466
2020-04-09,13244,302,7709,295,22,728
2020-04-10,13560,316,7177,319,24,824
2020-04-11,13806,246,6865,337,18,540
2020-04-12,13945,139,6608,350,13,383
2020-04-13,14041,96,6330,368,18,356
2020-04-14,14226,185,6209,384,16,290
2020-04-15,14350,124,5859,393,9,465
2020-04-16,14476,126,5080,410,17,888
2020-04-17,14595,119,4460,431,21,718
2020-04-18,14671,76,4014,443,12,510
2020-04-19,14749,78,3796,452,9,287
2020-04-20,14795,46,3694,470,18,130
2020-04-21,14873,78,3411,491,21,340
2020-04-22,14925,52,3087,510,19,357
2020-04-23,15002,77,2786,522,12,366
2020-04-24,15071,69,2669,530,8,178
2020-04-25,15148,77,2509,536,6,231
2020-04-26,15225,77,2401,542,6,179
2020-04-27,15274,49,2363,549,7,80
2020-04-28,15357,83,2208,569,20,218
2020-04-29,15402,45,2043,580,11,199
2020-04-30,15452,50,1961,584,4,128
2020-05-01,15531,79,1832,589,5,203
2020-05-02,15558,27,1782,596,7,70
2020-05-03,15597,39,1771,598,2,48
2020-05-04,15621,24,1705,600,2,88
2020-05-05,15650,29,1582,606,6,146
2020-05-06,15684,34,1437,608,2,177
2020-05-07,15752,68,1445,609,1,59
2020-05-08,15774,22,1324,614,5,138
2020-05-09,15833,59,1290,615,1,92
2020-05-10,15871,38,1262,618,3,63
2020-05-11,15882,11,1201,620,2,70
2020-05-12,15961,79,1190,623,3,87
2020-05-13,15997,36,1069,624,1,156
2020-05-14,16058,61,1027,626,2,101
2020-05-15,16109,51,1010,628,2,66
2020-05-16,16201,92,1048,629,1,53
2020-05-17,16242,41,1050,629,0,39
2020-05-18,16269,27,1026,629,0,51
2020-05-19,16321,52,1011,632,3,64
2020-05-20,16353,32,838,633,1,204
2020-05-21,16404,51,820,633,0,69
2020-05-22,16436,32,796,635,2,54
2020-05-23,16486,50,810,639,4,32
2020-05-24,16503,17,800,640,1,26
2020-05-25,16539,36,760,641,1,75
2020-05-26,16557,18,732,643,2,44
2020-05-27,16591,34,718,645,2,46
2020-05-28,16628,37,674,668,23,58
2020-05-29,16655,27,640,668,0,61
2020-05-30,16685,30,497,668,0,173
2020-05-31,16731,46,470,668,0,73
2020-06-01,16733,2,469,668,0,3
2020-06-02,16759,26,461,669,1,33
2020-06-03,16771,12,429,670,1,43
2020-06-04,16805,34,418,670,0,45
2020-06-05,16843,38,429,672,2,25
2020-06-06,16898,55,437,672,0,47
2020-06-07,16902,4,437,672,0,4
2020-06-08,16968,66,457,672,0,46
2020-06-09,16979,11,432,672,0,36
2020-06-10,17005,26,422,673,1,35
2020-06-11,17034,29,411,674,1,39
2020-06-12,17064,30,404,675,1,36
2020-06-13,17078,14,389,677,2,27
2020-06-14,17109,31,373,677,0,47
2020-06-15,17135,26,391,678,1,7
2020-06-16,17189,54,419,681,3,23
