time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,1,0,1,0,0
2020-02-29,3,2,3,0,0
2020-03-01,3,0,3,0,0
2020-03-02,3,0,3,0,0
2020-03-03,3,0,3,0,0
2020-03-04,3,0,3,0,0
2020-03-05,6,3,6,0,0
2020-03-06,9,3,9,0,0
2020-03-07,9,0,9,0,0
2020-03-08,9,0,9,0,0
2020-03-09,9,0,9,0,0
2020-03-10,11,2,11,0,0
2020-03-11,11,0,8,0,0
2020-03-12,15,4,11,1,1
2020-03-13,15,0,11,1,0
2020-03-14,19,4,12,1,0
2020-03-15,23,4,16,1,0
2020-03-16,25,2,18,1,0
2020-03-17,34,9,27,1,0
2020-03-18,34,0,26,1,0
2020-03-19,44,10,36,1,0
2020-03-20,44,0,36,1,0
2020-03-21,53,9,41,1,0
2020-03-22,65,12,53,1,0
2020-03-23,72,7,61,1,0
2020-03-24,87,15,76,1,0
2020-03-25,93,6,81,2,1
2020-03-26,122,29,104,3,1
2020-03-27,165,43,147,3,0
2020-03-28,182,17,163,4,1
2020-03-29,209,27,190,4,0
2020-03-30,273,64,243,4,0
2020-03-31,298,25,267,5,1
2020-04-01,359,61,328,5,0
2020-04-02,400,41,369,5,0
2020-04-03,443,43,406,5,0
2020-04-04,521,78,484,5,0
2020-04-05,584,63,545,7,2
2020-04-06,641,57,590,7,0
2020-04-07,717,76,665,8,1
2020-04-08,822,105,751,8,0
2020-04-09,926,104,816,9,1
2020-04-10,991,65,822,10,1
2020-04-11,1058,67,847,11,1
2020-04-12,1098,40,837,11,0
2020-04-13,1148,50,847,12,1
2020-04-14,1197,49,833,13,1
2020-04-15,1253,56,836,13,0
2020-04-16,1283,30,808,15,2
2020-04-17,1340,57,797,15,0
2020-04-18,1373,33,765,18,3
2020-04-19,1398,25,667,19,1
2020-04-20,1436,38,626,19,0
2020-04-21,1480,44,595,20,1
2020-04-22,1518,38,591,20,0
2020-04-23,1548,30,580,20,0
2020-04-24,1592,44,558,21,1
2020-04-25,1617,25,516,21,0
2020-04-26,1645,28,485,21,0
2020-04-27,1678,33,494,22,1
2020-04-28,1717,39,474,22,0
2020-04-29,1766,49,476,23,1
2020-04-30,1804,38,455,24,1
2020-05-01,1854,50,464,25,1
2020-05-02,1894,40,458,25,0
2020-05-03,1932,38,466,25,0
2020-05-04,1984,52,478,26,1
2020-05-05,2060,76,526,26,0
2020-05-06,2127,67,563,28,2
2020-05-07,2204,77,625,28,0
2020-05-08,2279,75,675,28,0
2020-05-09,2422,143,771,31,3
2020-05-10,2519,97,837,32,1
2020-05-11,2589,70,877,32,0
2020-05-12,2693,104,980,33,1
2020-05-13,2758,65,934,35,2
2020-05-14,2879,121,1011,35,0
2020-05-15,2980,101,1058,36,1
