time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,5,0,5,0,0
2020-02-25,23,18,23,0,0
2020-02-26,33,10,33,0,0
2020-02-27,33,0,33,0,0
2020-02-28,40,7,40,0,0
2020-02-29,42,2,42,0,0
2020-03-01,48,6,48,0,0
2020-03-02,49,1,49,0,0
2020-03-03,49,0,49,0,0
2020-03-04,54,5,53,0,0
2020-03-05,56,2,52,0,0
2020-03-06,62,6,58,0,0
2020-03-07,85,23,77,0,0
2020-03-08,87,2,71,0,0
2020-03-09,111,24,87,0,0
2020-03-10,190,79,158,0,0
2020-03-11,197,7,160,0,0
2020-03-12,206,9,160,0,0
2020-03-13,212,6,150,0,0
2020-03-14,214,2,152,0,0
2020-03-15,217,3,138,0,0
2020-03-16,235,18,151,1,1
2020-03-17,246,11,155,1,0
2020-03-18,264,18,161,1,0
2020-03-19,284,20,171,1,0
2020-03-20,300,16,172,1,0
2020-03-21,312,12,160,1,0
2020-03-22,338,26,174,2,1
2020-03-23,383,45,202,2,0
2020-03-24,408,25,213,3,1
2020-03-25,423,15,213,4,1
2020-03-26,460,37,227,4,0
2020-03-27,468,8,208,4,0
2020-03-28,500,32,225,4,0
2020-03-29,502,2,217,4,0
2020-03-30,528,26,227,4,0
2020-03-31,569,41,247,4,0
2020-04-01,577,8,230,4,0
2020-04-02,666,89,278,4,0
2020-04-03,676,10,271,4,0
2020-04-04,694,18,261,4,0
2020-04-05,704,10,247,4,0
2020-04-06,765,61,301,4,0
2020-04-07,813,48,338,5,1
2020-04-08,825,12,323,5,0
2020-04-09,903,78,366,5,0
2020-04-10,1000,97,441,6,1
2020-04-11,1053,53,488,6,0
2020-04-12,1312,259,725,6,0
2020-04-13,1387,75,779,6,0
2020-04-14,1555,168,889,7,1
2020-04-15,1688,133,1012,7,0
2020-04-16,1727,39,994,7,0
2020-04-17,1756,29,1020,7,0
2020-04-18,1794,38,1027,7,0
2020-04-19,1894,100,1116,7,0
2020-04-20,1914,20,1123,7,0
2020-04-21,1976,62,1180,7,0
2020-04-22,2043,67,997,7,0
2020-04-23,2327,284,1224,8,1
2020-04-24,2520,193,1385,8,0
2020-04-25,2629,109,1449,8,0
2020-04-26,2656,27,1427,8,0
2020-04-27,2759,103,1502,8,0
2020-04-28,2820,61,1441,8,0
2020-04-29,2987,167,1492,8,0
2020-04-30,3060,73,1543,8,0
2020-05-01,3216,156,1640,8,0
2020-05-02,3317,101,1727,8,0
2020-05-03,3391,74,1644,8,0
2020-05-04,3563,172,1792,8,0
2020-05-05,3734,171,1956,8,0
2020-05-06,4039,305,2024,8,0
2020-05-07,4290,251,2263,8,0
2020-05-08,4463,173,2410,8,0
2020-05-09,4788,325,2709,8,0
2020-05-10,5090,302,2982,8,0
2020-05-11,5279,189,3103,8,0
2020-05-12,5651,372,3448,9,1
2020-05-13,5963,312,3736,10,1
2020-05-14,6389,426,4050,10,0
