time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,2,0,2,0,0
2020-03-06,3,1,3,0,0
2020-03-07,3,0,3,0,0
2020-03-08,3,0,3,0,0
2020-03-09,5,2,5,0,0
2020-03-10,7,2,7,0,0
2020-03-11,7,0,7,0,0
2020-03-12,11,4,11,0,0
2020-03-13,18,7,18,0,0
2020-03-14,21,3,21,0,0
2020-03-15,24,3,24,0,0
2020-03-16,25,1,23,0,0
2020-03-17,34,9,32,0,0
2020-03-18,39,5,37,0,0
2020-03-19,64,25,62,0,0
2020-03-20,89,25,87,0,0
2020-03-21,93,4,90,1,0
2020-03-22,126,33,123,1,0
2020-03-23,136,10,133,1,0
2020-03-24,168,32,163,3,2
2020-03-25,176,8,171,3,0
2020-03-26,191,15,186,3,0
2020-03-27,237,46,228,4,1
2020-03-28,278,41,264,6,2
2020-03-29,323,45,309,6,0
2020-03-30,368,45,341,10,4
2020-03-31,420,52,390,13,3
2020-04-01,459,39,427,13,0
2020-04-02,533,74,497,16,3
2020-04-03,579,46,535,17,1
2020-04-04,624,45,573,21,4
2020-04-05,654,30,601,23,2
2020-04-06,674,20,598,29,6
2020-04-07,764,90,663,33,4
2020-04-08,804,40,691,34,1
2020-04-09,858,54,722,35,1
2020-04-10,901,43,736,36,1
2020-04-11,946,45,770,37,1
2020-04-12,1009,63,777,39,2
2020-04-13,1037,28,792,39,0
2020-04-14,1083,46,807,40,1
2020-04-15,1110,27,816,41,1
2020-04-16,1167,57,847,43,2
2020-04-17,1214,47,848,46,3
2020-04-18,1268,54,883,47,1
2020-04-19,1285,17,890,48,1
2020-04-20,1309,24,879,49,1
2020-04-21,1342,33,854,51,2
2020-04-22,1368,26,855,53,2
2020-04-23,1413,45,874,54,1
2020-04-24,1421,8,828,55,1
2020-04-25,1486,65,837,57,2
2020-04-26,1516,30,833,59,2
2020-04-27,1565,49,846,60,1
2020-04-28,1585,20,840,63,3
2020-04-29,1677,92,902,65,2
2020-04-30,1757,80,961,69,4
2020-05-01,1781,24,956,70,1
2020-05-02,1839,58,988,72,2
2020-05-03,1857,18,955,77,5
2020-05-04,1926,69,993,78,1
2020-05-05,1946,20,956,79,1
2020-05-06,1987,41,973,86,7
2020-05-07,2027,40,983,90,4
2020-05-08,2070,43,1012,98,8
2020-05-09,2090,20,929,102,4
2020-05-10,2117,27,904,107,5
2020-05-11,2141,24,914,113,6
2020-05-12,2158,17,873,117,4
2020-05-13,2181,23,833,120,3
2020-05-14,2218,37,824,122,2
2020-05-15,2236,18,772,128,6
