time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,1,0,1,0,0
2020-03-21,3,2,3,0,0
2020-03-22,3,0,3,0,0
2020-03-23,3,0,3,0,0
2020-03-24,3,0,2,1,0
2020-03-25,4,1,3,1,0
2020-03-26,5,1,4,1,0
2020-03-27,5,0,4,1,0
2020-03-28,6,1,5,1,0
2020-03-29,6,0,5,1,0
2020-03-30,6,0,5,1,0
2020-03-31,6,0,5,1,0
2020-04-01,6,0,5,1,0
2020-04-02,6,0,5,1,0
2020-04-03,6,0,5,1,0
2020-04-04,7,1,6,1,0
2020-04-05,7,0,6,1,0
2020-04-06,7,0,5,1,0
2020-04-07,7,0,5,1,0
2020-04-08,7,0,5,1,0
2020-04-09,7,0,5,1,0
2020-04-10,7,0,5,1,0
2020-04-11,8,1,6,1,0
2020-04-12,8,0,6,1,0
2020-04-13,10,2,8,1,0
2020-04-14,11,1,9,1,0
2020-04-15,56,45,54,1,0
2020-04-16,56,0,54,1,0
2020-04-17,56,0,54,1,0
2020-04-18,58,2,56,1,0
2020-04-19,61,3,59,1,0
2020-04-20,67,6,65,1,0
2020-04-21,68,1,66,1,0
2020-04-22,73,5,71,1,0
2020-04-23,82,9,80,1,0
2020-04-24,88,6,86,1,0
2020-04-25,90,2,88,1,0
2020-04-26,106,16,104,1,0
2020-04-27,109,3,107,1,0
2020-04-28,113,4,110,1,0
2020-04-29,113,0,110,1,0
2020-04-30,121,8,116,1,0
2020-05-01,122,1,103,1,0
2020-05-02,152,30,132,2,1
2020-05-03,165,13,130,2,0
2020-05-04,175,10,136,2,0
2020-05-05,186,11,147,2,0
2020-05-06,191,5,151,2,0
2020-05-07,218,27,178,2,0
2020-05-08,230,12,184,2,0
2020-05-09,236,6,178,2,0
2020-05-10,246,10,188,2,0
2020-05-11,260,14,200,2,0
2020-05-12,267,7,207,2,0
2020-05-13,289,22,226,2,0
2020-05-14,315,26,246,2,0
2020-05-15,326,11,257,2,0
2020-05-16,328,2,241,3,1
2020-05-17,328,0,241,3,0
