time,total_cases,daily_cases,total_currently_infected
2020-02-15,1,0,0
2020-02-16,1,0,0
2020-02-17,1,0,0
2020-02-18,1,0,0
2020-02-19,1,0,0
2020-02-20,1,0,0
2020-02-21,1,0,0
2020-02-22,1,0,0
2020-02-23,1,0,0
2020-02-24,1,0,0
2020-02-25,1,0,0
2020-02-26,1,0,0
2020-02-27,1,0,0
2020-02-28,1,0,0
2020-02-29,1,0,0
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,2,1,1
2020-03-08,2,0,1
2020-03-09,2,0,1
2020-03-10,3,1,2
2020-03-11,5,2,4
2020-03-12,5,0,4
2020-03-13,7,2,6
2020-03-14,7,0,6
2020-03-15,12,5,11
2020-03-16,12,0,11
2020-03-17,33,21,32
2020-03-18,37,4,36
2020-03-19,37,0,36
2020-03-20,51,14,50
2020-03-21,53,2,51
2020-03-22,84,31,82
2020-03-23,87,3,85
2020-03-24,91,4,87
2020-03-25,96,5,86
2020-03-26,98,2,88
2020-03-27,99,1,88
2020-03-28,99,0,86
2020-03-29,103,4,82
2020-03-30,107,4,86
2020-03-31,109,2,86
2020-04-01,109,0,84
2020-04-02,110,1,76
2020-04-03,114,4,79
2020-04-04,114,0,64
2020-04-05,114,0,64
2020-04-06,114,0,61
2020-04-07,115,1,57
2020-04-08,117,2,54
2020-04-09,119,2,57
2020-04-10,119,0,47
2020-04-11,120,1,45
2020-04-12,122,2,45
2020-04-13,122,0,45
2020-04-14,122,0,31
2020-04-15,122,0,26
2020-04-16,122,0,24
2020-04-17,122,0,24
2020-04-18,122,0,19
2020-04-19,122,0,17
2020-04-20,122,0,15
2020-04-21,122,0,12
2020-04-22,122,0,12
2020-04-23,122,0,12
2020-04-24,122,0,5
2020-04-25,122,0,5
2020-04-26,122,0,5
2020-04-27,122,0,3
2020-04-28,122,0,3
2020-04-29,122,0,3
2020-04-30,122,0,3
2020-05-01,122,0,3
2020-05-02,122,0,2
2020-05-03,122,0,2
2020-05-04,122,0,2
2020-05-05,122,0,2
2020-05-06,122,0,2
2020-05-07,122,0,2
2020-05-08,122,0,2
2020-05-09,122,0,2
2020-05-10,122,0,2
2020-05-11,122,0,2
2020-05-12,122,0,1
2020-05-13,122,0,1
2020-05-14,122,0,1
2020-05-15,122,0,1
2020-05-16,122,0,0
2020-05-17,122,0,0
2020-05-18,122,0,0
2020-05-19,122,0,0
2020-05-20,122,0,0
2020-05-21,123,1,1
2020-05-22,123,0,1
2020-05-23,124,1,2
2020-05-24,124,0,2
2020-05-25,124,0,2
2020-05-26,124,0,2
2020-05-27,124,0,2
2020-05-28,124,0,2
2020-05-29,124,0,2
2020-05-30,125,1,2
2020-05-31,125,0,2
2020-06-01,125,0,2
2020-06-02,125,0,2
2020-06-03,125,0,2
2020-06-04,125,0,2
2020-06-05,125,0,2
2020-06-06,125,0,2
2020-06-07,126,1,3
2020-06-08,126,0,3
2020-06-09,126,0,2
2020-06-10,126,0,1
2020-06-11,126,0,1
2020-06-12,126,0,1
2020-06-13,126,0,1
2020-06-14,128,2,3
2020-06-15,128,0,3
2020-06-16,128,0,3
2020-06-17,128,0,2
2020-06-18,129,1,3
2020-06-19,129,0,3
2020-06-20,129,0,3
2020-06-21,129,0,2
2020-06-22,129,0,2
2020-06-23,130,1,3
2020-06-24,130,0,3
2020-06-25,130,0,3
2020-06-26,130,0,2
2020-06-27,139,9,10
2020-06-28,141,2,12
2020-06-29,141,0,11
2020-06-30,141,0,11
2020-07-01,141,0,10
2020-07-02,141,0,10
2020-07-03,141,0,10
2020-07-04,141,0,10
2020-07-05,141,0,10
2020-07-06,141,0,10
2020-07-07,141,0,10
2020-07-08,141,0,10
2020-07-09,141,0,10
2020-07-10,141,0,10
2020-07-11,141,0,8
2020-07-12,156,15,23
2020-07-13,156,0,23
2020-07-14,165,9,32
2020-07-15,165,0,32
2020-07-16,166,1,33
2020-07-17,171,5,38
2020-07-18,171,0,38
2020-07-19,171,0,35
2020-07-20,171,0,35
2020-07-21,197,26,57
2020-07-22,197,0,57
2020-07-23,198,1,56
2020-07-24,202,4,60
2020-07-25,225,23,82
2020-07-26,225,0,82
2020-07-27,225,0,82
2020-07-28,226,1,79
2020-07-29,226,0,79
2020-07-30,234,8,72
2020-07-31,234,0,70
2020-08-01,239,5,75
2020-08-02,240,1,44
2020-08-03,240,0,43
2020-08-04,240,0,43
2020-08-05,243,3,41
2020-08-06,243,0,33
2020-08-07,243,0,29
2020-08-08,246,3,31
2020-08-09,248,2,31
2020-08-10,251,3,32
2020-08-11,266,15,46
2020-08-12,268,2,48
2020-08-13,272,4,49
2020-08-14,273,1,48
2020-08-15,273,0,44
