time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,56,0,54,1,0
2020-02-16,57,1,54,1,0
2020-02-17,60,3,57,1,0
2020-02-18,62,2,59,1,0
2020-02-19,65,3,58,2,1
2020-02-20,69,4,61,2,0
2020-02-21,69,0,61,2,0
2020-02-22,70,1,57,2,0
2020-02-23,74,4,60,2,0
2020-02-24,81,7,67,2,0
2020-02-25,85,4,65,2,0
2020-02-26,89,4,69,2,0
2020-02-27,92,3,72,2,0
2020-02-28,93,1,73,2,0
2020-02-29,95,2,63,2,0
2020-03-01,100,5,62,2,0
2020-03-02,100,0,62,2,0
2020-03-03,101,1,62,2,0
2020-03-04,103,2,64,2,0
2020-03-05,105,2,66,2,0
2020-03-06,108,3,55,2,0
2020-03-07,108,0,55,2,0
2020-03-08,115,7,53,3,1
2020-03-09,116,1,54,3,0
2020-03-10,121,5,58,3,0
2020-03-11,130,9,50,3,0
2020-03-12,131,1,51,3,0
2020-03-13,132,1,50,4,1
2020-03-14,142,10,57,4,0
2020-03-15,149,7,64,4,0
2020-03-16,155,6,70,4,0
2020-03-17,168,13,83,4,0
2020-03-18,193,25,94,4,0
2020-03-19,208,15,106,4,0
2020-03-20,256,48,154,4,0
2020-03-21,274,18,170,4,0
2020-03-22,318,44,214,4,0
2020-03-23,357,39,253,4,0
2020-03-24,387,30,281,4,0
2020-03-25,411,24,305,4,0
2020-03-26,454,43,340,4,0
2020-03-27,519,65,404,4,0
2020-03-28,560,41,444,4,0
2020-03-29,642,82,520,4,0
2020-03-30,683,41,561,4,0
2020-03-31,715,32,583,4,0
2020-04-01,766,51,615,4,0
2020-04-02,802,36,644,4,0
2020-04-03,845,43,668,4,0
2020-04-04,862,17,685,4,0
2020-04-05,891,29,681,4,0
2020-04-06,915,24,695,4,0
2020-04-07,936,21,696,4,0
2020-04-08,961,25,693,4,0
2020-04-09,974,13,677,4,0
2020-04-10,990,16,677,4,0
2020-04-11,1001,11,661,4,0
2020-04-12,1005,4,641,4,0
2020-04-13,1010,5,609,4,0
2020-04-14,1013,3,575,4,0
2020-04-15,1017,4,554,4,0
2020-04-16,1018,1,529,4,0
2020-04-17,1022,4,485,4,0
2020-04-18,1024,2,452,4,0
2020-04-19,1026,2,420,4,0
2020-04-20,1026,0,392,4,0
2020-04-21,1030,4,376,4,0
2020-04-22,1034,4,352,4,0
2020-04-23,1036,2,333,4,0
2020-04-24,1036,0,307,4,0
2020-04-25,1038,2,281,4,0
2020-04-26,1038,0,262,4,0
2020-04-27,1038,0,247,4,0
2020-04-28,1038,0,223,4,0
2020-04-29,1038,0,204,4,0
2020-04-30,1038,0,188,4,0
2020-05-01,1040,2,177,4,0
2020-05-02,1040,0,172,4,0
2020-05-03,1040,0,157,4,0
2020-05-04,1041,1,137,4,0
2020-05-05,1041,0,117,4,0
2020-05-06,1041,0,105,4,0
2020-05-07,1045,4,97,4,0
2020-05-08,1045,0,81,4,0
2020-05-09,1045,0,74,4,0
2020-05-10,1048,3,62,4,0
2020-05-11,1048,0,59,4,0
2020-05-12,1048,0,53,4,0
2020-05-13,1051,3,39,4,0
2020-05-14,1052,1,39,4,0
2020-05-15,1053,1,30,4,0
2020-05-16,1053,0,27,4,0
2020-05-17,1056,3,28,4,0
2020-05-18,1056,0,27,4,0
2020-05-19,1056,0,27,4,0
2020-05-20,1056,0,26,4,0
2020-05-21,1064,8,31,4,0
2020-05-22,1066,2,33,4,0
2020-05-23,1066,0,33,4,0
2020-05-24,1066,0,32,4,0
2020-05-25,1066,0,32,4,0
2020-05-26,1066,0,29,4,0
2020-05-27,1067,1,29,4,0
2020-05-28,1067,0,28,4,0
2020-05-29,1080,13,41,4,0
2020-05-30,1083,3,43,4,0
2020-05-31,1085,2,44,4,0
2020-06-01,1088,3,47,4,0
2020-06-02,1094,6,52,4,0
2020-06-03,1094,0,51,4,0
2020-06-04,1099,5,54,4,0
2020-06-05,1103,4,54,4,0
2020-06-06,1106,3,54,4,0
2020-06-07,1107,1,54,4,0
2020-06-08,1108,1,55,4,0
2020-06-09,1108,0,55,4,0
2020-06-10,1108,0,53,4,0
2020-06-11,1108,0,49,4,0
2020-06-12,1109,1,45,4,0
2020-06-13,1110,1,45,4,0
2020-06-14,1110,0,39,4,0
2020-06-15,1113,3,42,4,0
2020-06-16,1113,0,40,4,0
2020-06-17,1121,8,46,4,0
2020-06-18,1125,4,49,4,0
2020-06-19,1128,3,50,4,0
2020-06-20,1129,1,47,5,1
2020-06-21,1132,3,49,5,0
2020-06-22,1162,30,79,5,0
2020-06-23,1178,16,89,6,1
2020-06-24,1180,2,88,6,0
2020-06-25,1194,14,99,7,1
2020-06-26,1197,3,99,7,0
2020-06-27,1198,1,96,7,0
2020-06-28,1200,2,89,7,0
2020-06-29,1204,4,92,7,0
2020-06-30,1206,2,92,7,0
2020-07-01,1234,28,110,7,0
2020-07-02,1243,9,116,7,0
2020-07-03,1248,5,116,7,0
2020-07-04,1259,11,107,7,0
2020-07-05,1269,10,106,7,0
2020-07-06,1286,17,122,7,0
2020-07-07,1300,14,132,7,0
2020-07-08,1324,24,150,7,0
2020-07-09,1366,42,183,7,0
2020-07-10,1404,38,210,7,0
2020-07-11,1433,29,229,7,0
2020-07-12,1470,37,249,7,0
2020-07-13,1522,52,297,8,1
2020-07-14,1570,48,333,8,0
2020-07-15,1589,19,338,10,2
2020-07-16,1656,67,392,10,0
2020-07-17,1714,58,439,11,1
2020-07-18,1778,64,492,12,1
2020-07-19,1886,108,580,12,0
2020-07-20,1959,73,645,12,0
2020-07-21,2020,61,682,14,2
2020-07-22,2132,112,774,14,0
2020-07-23,2250,118,856,15,1
2020-07-24,2373,123,950,16,1
2020-07-25,2506,133,1033,18,2
2020-07-26,2634,128,1121,18,0
2020-07-27,2779,145,1262,22,4
2020-07-28,2885,106,1335,23,1
2020-07-29,3003,118,1388,24,1
2020-07-30,3152,149,1467,25,1
2020-07-31,3273,121,1495,27,2
2020-08-01,3397,124,1506,33,6
2020-08-02,3512,115,1519,34,1
2020-08-03,3590,78,1513,40,6
2020-08-04,3670,80,1488,41,1
2020-08-05,3755,85,1398,43,2
2020-08-06,3850,95,1346,46,3
2020-08-07,3939,89,1273,46,0
2020-08-08,4008,69,1206,47,1
2020-08-09,4080,72,1179,54,7
2020-08-10,4149,69,1178,55,1
2020-08-11,4182,33,1072,58,3
2020-08-12,4244,62,992,63,5
2020-08-13,4313,69,953,65,2
2020-08-14,4361,48,902,67,2
2020-08-15,4407,46,851,68,1
2020-08-16,4481,74,864,69,1
2020-08-17,4525,44,857,69,0
2020-08-18,4561,36,814,70,1
2020-08-19,4587,26,736,72,2
2020-08-20,4605,18,705,73,1
2020-08-21,4632,27,657,75,2
2020-08-22,4658,26,608,76,1
2020-08-23,4683,25,588,77,1
2020-08-24,4692,9,563,77,0
2020-08-25,4711,19,526,77,0
2020-08-26,4736,25,497,78,1
2020-08-27,4756,20,475,81,3
2020-08-28,4769,13,436,84,3
2020-08-29,4787,18,414,86,2
2020-08-30,4802,15,394,88,2
2020-08-31,4811,9,380,89,1
2020-09-01,4823,12,353,90,1
2020-09-02,4831,8,338,92,2
2020-09-03,4839,8,314,94,2
2020-09-04,4851,12,301,94,0
2020-09-05,4858,7,272,94,0
2020-09-06,4879,21,275,94,0
2020-09-07,4890,11,268,98,4
2020-09-08,4896,6,254,99,1
2020-09-09,4902,6,246,99,0
2020-09-10,4914,12,233,99,0
2020-09-11,4926,12,230,99,0
2020-09-12,4939,13,226,100,1
2020-09-13,4958,19,228,100,0
2020-09-14,4972,14,236,101,1
2020-09-15,4976,4,228,102,1
2020-09-16,4985,9,220,102,0
2020-09-17,4994,9,210,102,0
2020-09-18,4997,3,198,103,1
2020-09-19,5010,13,200,103,0
2020-09-20,5033,23,222,103,0
2020-09-21,5039,6,219,103,0
2020-09-22,5047,8,227,103,0
2020-09-23,5050,3,198,103,0
2020-09-24,5057,7,195,104,1
2020-09-25,5059,2,189,105,1
2020-09-26,5060,1,178,105,0
2020-09-27,5066,6,175,105,0
2020-09-28,5076,10,181,105,0
2020-09-29,5080,4,168,105,0
2020-09-30,5088,8,156,105,0
2020-10-01,5098,10,157,105,0
2020-10-02,5105,7,158,105,0
2020-10-03,5109,4,155,105,0
2020-10-04,5114,5,148,105,0
2020-10-05,5125,11,156,105,0
2020-10-06,5133,8,153,105,0
2020-10-07,5144,11,154,105,0
2020-10-08,5162,18,167,105,0
2020-10-09,5170,8,159,105,0
2020-10-10,5176,6,157,105,0
2020-10-11,5183,7,159,105,0
2020-10-12,5194,11,168,105,0
2020-10-13,5202,8,166,105,0
2020-10-14,5202,0,165,105,0
2020-10-15,5214,12,166,105,0
2020-10-16,5221,7,165,105,0
2020-10-17,5238,17,170,105,0
2020-10-18,5242,4,164,105,0
2020-10-19,5257,15,170,105,0
2020-10-20,5262,5,161,105,0
2020-10-21,5270,8,161,105,0
2020-10-22,5281,11,157,105,0
2020-10-23,5285,4,151,105,0
2020-10-24,5290,5,144,105,0
2020-10-25,5296,6,144,105,0
2020-10-26,5304,8,149,105,0
2020-10-27,5309,5,151,105,0
2020-10-28,5311,2,143,105,0
2020-10-29,5314,3,136,105,0
2020-10-30,5321,7,134,105,0
2020-10-31,5324,3,130,105,0
