time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,1,0,1,0,0
2020-03-12,1,0,1,0,0
2020-03-13,1,0,1,0,0
2020-03-14,2,1,2,0,0
2020-03-15,4,2,4,0,0
2020-03-16,4,0,4,0,0
2020-03-17,4,0,4,0,0
2020-03-18,9,5,8,0,0
2020-03-19,9,0,8,0,0
2020-03-20,9,0,8,0,0
2020-03-21,14,5,13,0,0
2020-03-22,14,0,13,0,0
2020-03-23,25,11,23,0,0
2020-03-24,73,48,71,0,0
2020-03-25,80,7,77,0,0
2020-03-26,96,16,93,0,0
2020-03-27,101,5,98,0,0
2020-03-28,101,0,98,0,0
2020-03-29,165,64,160,1,0
2020-03-30,168,3,161,1,0
2020-03-31,179,11,171,1,0
2020-04-01,190,11,180,1,0
2020-04-02,194,4,178,1,0
2020-04-03,218,24,198,1,0
2020-04-04,245,27,219,1,0
2020-04-05,261,16,221,3,2
2020-04-06,323,62,279,3,0
2020-04-07,349,26,305,3,0
2020-04-08,384,35,333,3,0
2020-04-09,444,60,389,3,0
2020-04-10,480,36,423,3,0
2020-04-11,533,53,471,4,1
2020-04-12,574,41,484,5,1
2020-04-13,626,52,531,6,1
2020-04-14,638,12,518,6,0
2020-04-15,654,16,502,6,0
2020-04-16,654,0,502,6,0
2020-04-17,688,34,489,6,0
2020-04-18,801,113,554,8,2
2020-04-19,847,46,578,9,1
2020-04-20,879,32,582,10,1
2020-04-21,916,37,600,13,3
2020-04-22,952,36,628,14,1
2020-04-23,1004,52,631,14,0
2020-04-24,1077,73,644,14,0
2020-04-25,1077,0,644,14,0
2020-04-26,1150,73,668,14,0
2020-04-27,1164,14,651,14,0
2020-04-28,1183,19,644,14,0
2020-04-29,1238,55,667,14,0
2020-04-30,1275,37,687,14,0
2020-05-01,1333,58,721,15,1
2020-05-02,1362,29,725,15,0
2020-05-03,1398,36,728,17,2
2020-05-04,1432,34,722,17,0
2020-05-05,1464,32,745,18,1
2020-05-06,1516,52,777,18,0
2020-05-07,1571,55,809,20,2
2020-05-08,1602,31,828,20,0
2020-05-09,1667,65,877,21,1
2020-05-10,1700,33,885,21,0
2020-05-11,1730,30,891,21,0
2020-05-12,1857,127,1016,21,0
2020-05-13,1912,55,986,24,3
2020-05-14,1971,59,1017,24,0
2020-05-15,2017,46,1051,24,0
2020-05-16,2061,44,1049,25,1
