time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,1,0,1,0,0
2020-02-26,3,2,3,0,0
2020-02-27,3,0,3,0,0
2020-02-28,5,2,5,0,0
2020-02-29,6,1,6,0,0
2020-03-01,7,1,7,0,0
2020-03-02,8,1,8,0,0
2020-03-03,9,1,9,0,0
2020-03-04,10,1,10,0,0
2020-03-05,10,0,10,0,0
2020-03-06,11,1,11,0,0
2020-03-07,12,1,12,0,0
2020-03-08,12,0,12,0,0
2020-03-09,13,1,13,0,0
2020-03-10,15,2,15,0,0
2020-03-11,19,4,19,0,0
2020-03-12,27,8,26,0,0
2020-03-13,32,5,31,0,0
2020-03-14,39,7,37,0,0
2020-03-15,49,10,47,0,0
2020-03-16,57,8,54,0,0
2020-03-17,69,12,64,0,0
2020-03-18,89,20,84,0,0
2020-03-19,110,21,104,1,1
2020-03-20,130,20,124,1,0
2020-03-21,206,76,200,1,0
2020-03-22,254,48,248,1,0
2020-03-23,315,61,309,1,0
2020-03-24,382,67,376,1,0
2020-03-25,442,60,419,1,0
2020-03-26,495,53,470,3,2
2020-03-27,586,91,546,3,0
2020-03-28,657,71,607,5,2
2020-03-29,713,56,652,6,1
2020-03-30,790,77,717,6,0
2020-03-31,867,77,794,6,0
2020-04-01,963,96,884,6,0
2020-04-02,1011,48,916,7,1
2020-04-03,1079,68,979,8,1
2020-04-04,1126,47,995,12,4
2020-04-05,1182,56,1042,15,3
2020-04-06,1222,40,1076,16,1
2020-04-07,1282,60,1097,18,2
2020-04-08,1343,61,1145,19,1
2020-04-09,1407,64,1168,20,1
2020-04-10,1495,88,1243,21,1
2020-04-11,1534,39,1190,21,0
2020-04-12,1600,66,1204,23,2
2020-04-13,1650,50,1225,25,2
2020-04-14,1704,54,1258,31,6
2020-04-15,1741,37,1235,33,2
2020-04-16,1791,50,1227,35,2
2020-04-17,1814,23,1178,36,1
2020-04-18,1832,18,1178,39,3
2020-04-19,1871,39,1115,47,8
2020-04-20,1881,10,1063,47,0
2020-04-21,1908,27,1059,48,1
2020-04-22,1950,42,1033,48,0
2020-04-23,1981,31,1048,50,2
2020-04-24,2009,28,976,51,1
2020-04-25,2016,7,928,54,3
2020-04-26,2030,14,872,55,1
2020-04-27,2039,9,814,59,4
2020-04-28,2047,8,752,63,4
2020-04-29,2062,15,707,67,4
2020-04-30,2076,14,659,69,2
2020-05-01,2085,9,589,75,6
2020-05-02,2088,3,548,77,2
2020-05-03,2096,8,528,79,2
2020-05-04,2101,5,499,80,1
2020-05-05,2112,11,469,83,3
2020-05-06,2119,7,433,85,2
2020-05-07,2125,6,398,86,1
2020-05-08,2161,36,386,86,0
2020-05-09,2176,15,363,87,1
2020-05-10,2187,11,333,90,3
2020-05-11,2196,9,321,91,1
2020-05-12,2207,11,308,91,0
2020-05-13,2213,6,285,94,3
2020-05-14,2221,8,277,94,0
