time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,3,0,3,0,0
2020-03-02,3,0,3,0,0
2020-03-03,5,2,5,0,0
2020-03-04,6,1,6,0,0
2020-03-05,9,3,9,0,0
2020-03-06,20,11,20,0,0
2020-03-07,27,7,27,0,0
2020-03-08,33,6,33,0,0
2020-03-09,39,6,39,0,0
2020-03-10,64,25,64,0,0
2020-03-11,95,31,95,0,0
2020-03-12,117,22,117,0,0
2020-03-13,142,25,142,0,0
2020-03-14,190,48,190,0,0
2020-03-15,299,109,299,0,0
2020-03-16,384,85,381,0,0
2020-03-17,452,68,449,0,0
2020-03-18,562,110,559,0,0
2020-03-19,768,206,765,0,0
2020-03-20,892,124,888,0,0
2020-03-21,1051,159,1045,0,0
2020-03-22,1166,115,1159,1,1
2020-03-23,1292,126,1284,1,0
2020-03-24,1477,185,1464,3,2
2020-03-25,1769,292,1753,6,3
2020-03-26,2028,259,2009,9,3
2020-03-27,2405,377,2385,9,0
2020-03-28,2668,263,2646,11,2
2020-03-29,2828,160,2801,16,5
2020-03-30,3012,184,2964,23,7
2020-03-31,3320,308,3244,31,8
2020-04-01,3603,283,3503,39,8
2020-04-02,3872,269,3761,44,5
2020-04-03,4206,334,4081,53,9
2020-04-04,4490,284,4353,59,6
2020-04-05,4607,117,4444,67,8
2020-04-06,4843,236,4644,78,11
2020-04-07,5039,196,4779,88,10
2020-04-08,5334,295,5002,99,11
2020-04-09,5591,257,5178,112,13
2020-04-10,5754,163,5289,119,7
2020-04-11,5924,170,5384,129,10
2020-04-12,6013,89,5411,138,9
2020-04-13,6081,68,5419,143,5
2020-04-14,6163,82,5360,161,18
2020-04-15,6323,160,5338,166,5
2020-04-16,6455,132,5314,169,3
2020-04-17,6571,116,5224,173,4
2020-04-18,6676,105,5268,181,8
2020-04-19,6768,92,5284,186,5
2020-04-20,6922,154,5169,194,8
2020-04-21,7055,133,5101,201,7
2020-04-22,7154,99,4957,208,7
2020-04-23,7209,55,4847,210,2
2020-04-24,7295,86,4710,214,4
2020-04-25,7374,79,4703,218,4
2020-04-26,7426,52,4661,220,2
2020-04-27,7467,41,4418,223,3
2020-04-28,7526,59,4351,227,4
2020-04-29,7601,75,4266,227,0
2020-04-30,7704,103,4154,236,9
2020-05-01,7759,55,4147,240,4
2020-05-02,7777,18,4071,245,5
2020-05-03,7803,26,3968,248,3
2020-05-04,7841,38,3782,252,4
2020-05-05,7918,77,3655,257,5
2020-05-06,7996,78,3529,262,5
2020-05-07,8053,57,3412,270,8
2020-05-08,8099,46,3413,273,3
2020-05-09,8117,18,3394,276,3
2020-05-10,8145,28,3391,280,4
2020-05-11,8198,53,3205,282,2
