time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,1,0,1
2020-03-23,2,1,2
2020-03-24,7,5,7
2020-03-25,11,4,11
2020-03-26,11,0,11
2020-03-27,11,0,11
2020-03-28,11,0,11
2020-03-29,11,0,11
2020-03-30,12,1,12
2020-03-31,12,0,12
2020-04-01,12,0,12
2020-04-02,12,0,12
2020-04-03,14,2,14
2020-04-04,14,0,14
2020-04-05,14,0,14
2020-04-06,15,1,14
2020-04-07,15,0,14
2020-04-08,15,0,14
2020-04-09,15,0,14
2020-04-10,16,1,11
2020-04-11,16,0,11
2020-04-12,16,0,8
2020-04-13,16,0,8
2020-04-14,16,0,8
2020-04-15,16,0,8
2020-04-16,16,0,8
2020-04-17,16,0,8
2020-04-18,16,0,8
2020-04-19,16,0,8
2020-04-20,16,0,8
2020-04-21,16,0,8
2020-04-22,16,0,7
2020-04-23,16,0,7
2020-04-24,16,0,6
2020-04-25,16,0,6
2020-04-26,16,0,3
2020-04-27,16,0,3
2020-04-28,16,0,3
2020-04-29,16,0,3
2020-04-30,16,0,3
2020-05-01,16,0,3
2020-05-02,16,0,3
2020-05-03,16,0,3
2020-05-04,16,0,3
2020-05-05,16,0,2
2020-05-06,16,0,2
2020-05-07,16,0,2
2020-05-08,16,0,2
2020-05-09,16,0,2
2020-05-10,16,0,1
2020-05-11,16,0,1
2020-05-12,16,0,1
2020-05-13,16,0,1
2020-05-14,16,0,1
2020-05-15,16,0,1
