time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,1,0,1,0,0
2020-03-20,1,0,1,0,0
2020-03-21,3,2,3,0,0
2020-03-22,3,0,3,0,0
2020-03-23,3,0,3,0,0
2020-03-24,5,2,5,0,0
2020-03-25,9,4,9,0,0
2020-03-26,13,4,13,0,0
2020-03-27,13,0,13,0,0
2020-03-28,19,6,19,0,0
2020-03-29,24,5,24,0,0
2020-03-30,30,6,30,0,0
2020-03-31,32,2,31,1,0
2020-04-01,33,1,31,2,1
2020-04-02,41,8,39,2,0
2020-04-03,46,5,43,3,1
2020-04-04,56,10,51,3,0
2020-04-05,62,6,57,3,0
2020-04-06,69,7,60,4,1
2020-04-07,78,9,69,4,0
2020-04-08,93,15,79,5,1
2020-04-09,103,10,83,6,1
2020-04-10,117,14,96,6,0
2020-04-11,118,1,93,6,0
2020-04-12,125,7,98,6,0
2020-04-13,137,12,109,6,0
2020-04-14,149,12,118,6,0
2020-04-15,159,10,123,6,0
2020-04-16,164,5,125,6,0
2020-04-17,177,13,132,7,1
2020-04-18,190,13,140,7,0
2020-04-19,201,11,150,7,0
2020-04-20,218,17,165,7,0
2020-04-21,225,7,170,7,0
2020-04-22,237,12,167,7,0
2020-04-23,250,13,175,8,1
2020-04-24,261,11,181,8,0
2020-04-25,274,13,191,8,0
2020-04-26,298,24,207,8,0
2020-04-27,323,25,226,8,0
2020-04-28,345,22,240,8,0
2020-04-29,377,32,262,9,1
2020-04-30,395,18,266,10,1
2020-05-01,424,29,290,10,0
2020-05-02,446,22,294,11,1
2020-05-03,490,44,325,11,0
2020-05-04,555,65,362,13,2
2020-05-05,587,32,373,13,0
2020-05-06,633,46,399,15,2
2020-05-07,695,62,435,15,0
2020-05-08,742,47,469,16,1
2020-05-09,784,42,491,17,1
2020-05-10,889,105,579,17,0
2020-05-11,958,69,615,18,1
2020-05-12,998,40,629,20,2
2020-05-13,1037,39,643,20,0
2020-05-14,1112,75,684,23,3
2020-05-15,1210,98,771,23,0
2020-05-16,1265,55,798,26,3
2020-05-17,1338,73,849,27,1
