time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,1,0,1
2020-03-22,1,0,1
2020-03-23,1,0,1
2020-03-24,1,0,1
2020-03-25,4,3,4
2020-03-26,6,2,6
2020-03-27,6,0,6
2020-03-28,6,0,6
2020-03-29,12,6,12
2020-03-30,15,3,15
2020-03-31,15,0,15
2020-04-01,15,0,15
2020-04-02,22,7,22
2020-04-03,22,0,22
2020-04-04,29,7,29
2020-04-05,29,0,29
2020-04-06,31,2,31
2020-04-07,31,0,31
2020-04-08,33,2,33
2020-04-09,33,0,33
2020-04-10,34,1,34
2020-04-11,34,0,34
2020-04-12,34,0,34
2020-04-13,34,0,34
2020-04-14,35,1,35
2020-04-15,35,0,35
2020-04-16,35,0,35
2020-04-17,35,0,35
2020-04-18,39,4,36
2020-04-19,39,0,36
2020-04-20,39,0,36
2020-04-21,39,0,33
2020-04-22,39,0,33
2020-04-23,39,0,33
2020-04-24,39,0,28
2020-04-25,39,0,26
2020-04-26,39,0,26
2020-04-27,39,0,26
2020-04-28,39,0,20
2020-04-29,39,0,20
2020-04-30,39,0,13
2020-05-01,39,0,13
2020-05-02,39,0,13
2020-05-03,39,0,13
2020-05-04,39,0,13
2020-05-05,39,0,9
2020-05-06,39,0,9
2020-05-07,39,0,9
2020-05-08,39,0,2
2020-05-09,39,0,2
2020-05-10,39,0,2
2020-05-11,39,0,1
2020-05-12,39,0,1
2020-05-13,39,0,1
2020-05-14,39,0,1
2020-05-15,39,0,0
