time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,4,3,4,0,0
2020-03-16,5,1,5,0,0
2020-03-17,6,1,6,0,0
2020-03-18,6,0,6,0,0
2020-03-19,7,1,7,0,0
2020-03-20,9,2,9,0,0
2020-03-21,9,0,9,0,0
2020-03-22,11,2,11,0,0
2020-03-23,11,0,11,0,0
2020-03-24,12,1,12,0,0
2020-03-25,12,0,12,0,0
2020-03-26,12,0,12,0,0
2020-03-27,16,4,16,0,0
2020-03-28,16,0,15,0,0
2020-03-29,21,5,20,0,0
2020-03-30,23,2,19,0,0
2020-03-31,26,3,24,0,0
2020-04-01,29,3,27,0,0
2020-04-02,29,0,26,0,0
2020-04-03,35,6,32,0,0
2020-04-04,38,3,34,0,0
2020-04-05,43,5,37,2,0
2020-04-06,44,1,38,2,0
2020-04-07,52,8,46,2,0
2020-04-08,55,3,49,2,0
2020-04-09,56,1,50,2,0
2020-04-10,65,9,58,3,1
2020-04-11,69,4,56,3,0
2020-04-12,71,2,58,3,0
2020-04-13,74,3,57,3,0
2020-04-14,82,8,65,3,0
2020-04-15,85,3,67,3,0
2020-04-16,92,7,74,3,0
2020-04-17,96,4,78,3,0
2020-04-18,105,9,86,3,0
2020-04-19,108,3,89,3,0
2020-04-20,111,3,92,3,0
2020-04-21,114,3,95,3,0
2020-04-22,116,2,92,3,0
2020-04-23,116,0,92,3,0
2020-04-24,117,1,89,3,0
2020-04-25,122,5,90,3,0
2020-04-26,123,1,79,3,0
2020-04-27,124,1,71,3,0
2020-04-28,126,2,73,3,0
2020-04-29,130,4,69,3,0
2020-04-30,131,1,69,3,0
2020-05-01,133,2,64,3,0
2020-05-02,133,0,61,3,0
2020-05-03,135,2,57,3,0
2020-05-04,140,5,62,3,0
2020-05-05,145,5,50,4,1
2020-05-06,162,17,65,4,0
2020-05-07,191,29,94,4,0
2020-05-08,194,3,95,4,0
2020-05-09,210,16,108,5,1
2020-05-10,239,29,135,5,0
2020-05-11,250,11,140,5,0
2020-05-12,261,11,150,5,0
2020-05-13,263,2,150,5,0
2020-05-14,272,9,159,5,0
2020-05-15,287,15,170,5,0
2020-05-16,306,19,188,5,0
2020-05-17,317,11,199,5,0
