time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,16,0,13,0,0,0
2020-02-16,16,0,13,0,0,0
2020-02-17,16,0,9,0,0,4
2020-02-18,16,0,7,0,0,2
2020-02-19,16,0,7,0,0,0
2020-02-20,16,0,3,0,0,4
2020-02-21,16,0,2,0,0,1
2020-02-22,16,0,2,0,0,0
2020-02-23,16,0,2,0,0,0
2020-02-24,16,0,2,0,0,0
2020-02-25,18,2,3,0,0,1
2020-02-26,26,8,11,0,0,0
2020-02-27,48,22,32,0,0,1
2020-02-28,74,26,58,0,0,0
2020-02-29,79,5,63,0,0,0
2020-03-01,130,51,114,0,0,0
2020-03-02,165,35,149,0,0,0
2020-03-03,203,38,187,0,0,0
2020-03-04,262,59,246,0,0,0
2020-03-05,545,283,528,0,0,1
2020-03-06,670,125,652,0,0,1
2020-03-07,800,130,782,0,0,0
2020-03-08,1040,240,1022,0,0,0
2020-03-09,1224,184,1204,2,2,0
2020-03-10,1565,341,1545,2,0,0
2020-03-11,1966,401,1938,3,1,7
2020-03-12,2745,779,2714,6,3,0
2020-03-13,3675,930,3621,8,2,21
2020-03-14,4599,924,4544,9,1,0
2020-03-15,5813,1214,5754,13,4,0
2020-03-16,7272,1459,7188,17,4,21
2020-03-17,9367,2095,9274,26,9,0
2020-03-18,12327,2960,12194,28,2,38
2020-03-19,15320,2993,15161,44,16,10
2020-03-20,19848,4528,19600,68,24,65
2020-03-21,22364,2516,22071,84,16,29
2020-03-22,24873,2509,24513,94,10,57
2020-03-23,29056,4183,28480,123,29,187
2020-03-24,32991,3935,29542,159,36,2837
2020-03-25,37323,4332,33570,206,47,257
2020-03-26,43938,6615,37998,267,61,2126
2020-03-27,50871,6933,43862,351,84,985
2020-03-28,57695,6824,48781,433,82,1823
2020-03-29,62435,4740,52683,541,108,730
2020-03-30,66885,4450,52740,645,104,4289
2020-03-31,71808,4923,54933,775,130,2600
2020-04-01,77981,6173,58350,931,156,2600
2020-04-02,84794,6813,61247,1107,176,3740
2020-04-03,91159,6365,65309,1275,168,2135
2020-04-04,96092,4933,68248,1444,169,1825
2020-04-05,100123,4031,69839,1584,140,2300
2020-04-06,103375,3252,72865,1810,226,0
2020-04-07,107663,4288,69566,2016,206,7381
2020-04-08,113296,5633,64647,2349,333,10219
2020-04-09,118235,4939,63221,2607,258,6107
2020-04-10,122171,3936,65522,2736,129,1506
2020-04-11,125452,3281,65181,2871,135,3487
2020-04-12,127854,2402,64532,3022,151,2900
2020-04-13,130072,2218,62578,3194,172,4000
2020-04-14,132210,2138,60515,3495,301,3900
2020-04-15,134753,2543,58349,3804,309,4400
2020-04-16,137698,2945,56646,4052,248,4400
2020-04-17,141397,3699,53931,4352,300,6114
2020-04-18,143724,2327,53786,4538,186,2286
2020-04-19,145742,2018,53100,4642,104,2600
2020-04-20,147065,1323,50703,4862,220,3500
2020-04-21,148453,1388,48167,5086,224,3700
2020-04-22,150648,2195,45933,5315,229,4200
2020-04-23,153129,2481,44254,5575,260,3900
2020-04-24,154999,1870,42439,5760,185,3500
2020-04-25,156513,1514,40836,5877,117,3000
2020-04-26,157770,1257,39794,5976,99,2200
2020-04-27,158758,988,38132,6126,150,2500
2020-04-28,159912,1154,36198,6314,188,2900
2020-04-29,161539,1627,34672,6467,153,3000
2020-04-30,163009,1470,32886,6623,156,3100
2020-05-01,164077,1068,30441,6736,113,3400
2020-05-02,164967,890,29155,6812,76,2100
2020-05-03,165664,697,28198,6866,54,1600
2020-05-04,166152,488,26459,6993,127,2100
2020-05-05,167007,855,24914,6993,0,2400
2020-05-06,168162,1155,23191,7275,282,2596
2020-05-07,169430,1268,22138,7392,117,2204
2020-05-08,170588,1158,21378,7510,118,1800
2020-05-09,171324,736,20475,7549,39,1600
2020-05-10,171879,555,19910,7569,20,1100
2020-05-11,172576,697,19298,7661,92,1217
2020-05-12,173171,595,18233,7738,77,1583
2020-05-13,174098,927,17537,7861,123,1500
2020-05-14,174975,877,16747,7928,67,1600
2020-05-15,175699,724,15998,8001,73,1400
2020-05-16,176244,545,15617,8027,26,900
2020-05-17,176651,407,15202,8049,22,800
2020-05-18,177289,638,14566,8123,74,1200
2020-05-19,177827,538,13934,8193,70,1100
2020-05-20,178531,704,13361,8270,77,1200
2020-05-21,179021,490,12712,8309,39,1100
2020-05-22,179713,692,12361,8352,43,1000
2020-05-23,179986,273,11720,8366,14,900
2020-05-24,180328,342,11657,8371,5,400
2020-05-25,180789,461,11161,8428,57,900
2020-05-26,181288,499,10790,8498,70,800
2020-05-27,181895,607,10562,8533,35,800
2020-05-28,182452,557,10682,8570,37,400
2020-05-29,183019,567,10325,8594,24,900
2020-05-30,183294,275,9794,8600,6,800
2020-05-31,183494,200,9689,8605,5,300
2020-06-01,183765,271,9247,8618,13,700
2020-06-02,184091,326,9017,8674,56,500
2020-06-03,184425,334,8426,8699,25,900
2020-06-04,184923,498,8387,8736,37,500
2020-06-05,185414,491,8151,8763,27,700
2020-06-06,185696,282,8027,8769,6,400
2020-06-07,185869,173,7993,8776,7,200
2020-06-08,186205,336,7822,8783,7,500
2020-06-09,186516,311,7485,8831,48,600
2020-06-10,186510,-6,6966,8844,13,500
2020-06-11,186795,285,6744,8851,7,500
2020-06-12,187251,456,6788,8863,12,400
2020-06-13,187423,172,6656,8867,4,300
2020-06-14,187671,248,6601,8870,3,300
2020-06-15,188044,373,6559,8885,15,400
2020-06-16,188382,338,6372,8910,25,500
2020-06-17,189504,1122,6977,8927,17,500
2020-06-18,190126,622,7080,8946,19,500
2020-06-19,190660,534,7300,8960,14,300
2020-06-20,191216,556,7555,8961,1,300
2020-06-21,191575,359,7713,8962,1,200
2020-06-22,192119,544,7850,8969,7,400
2020-06-23,192778,659,8092,8986,17,400
2020-06-24,193254,476,7951,9003,17,600
2020-06-25,193785,531,7973,9012,9,500
2020-06-26,194399,614,8273,9026,14,300
2020-06-27,194689,290,8163,9026,0,400
2020-06-28,194864,175,8135,9029,3,200
2020-06-29,195392,528,8251,9041,12,400
2020-06-30,195832,440,7680,9052,11,1000
2020-07-01,196324,492,7463,9061,9,700
2020-07-02,196717,393,7353,9064,3,500
2020-07-03,197000,283,6927,9073,9,700
2020-07-04,197418,418,7037,9081,8,300
2020-07-05,197558,140,6772,9086,5,400
2020-07-06,198057,499,6765,9092,6,500
2020-07-07,198355,298,6552,9103,11,500
2020-07-08,198765,410,6950,9115,12,0
2020-07-09,199198,433,6473,9125,10,900
2020-07-10,199588,390,6458,9130,5,400
2020-07-11,199812,224,6178,9134,4,500
2020-07-12,199950,138,6216,9134,0,100
2020-07-13,200436,486,6197,9139,5,500
2020-07-14,200766,330,6122,9144,5,400
2020-07-15,201252,486,6104,9148,4,500
2020-07-16,201836,584,6279,9157,9,400
2020-07-17,202345,509,5985,9160,3,800
2020-07-18,202572,227,5910,9162,2,300
2020-07-19,202845,273,5882,9163,1,300
2020-07-20,203487,642,6514,9173,10,0
2020-07-21,203890,403,6610,9180,7,300
2020-07-22,204470,580,6688,9182,2,500
2020-07-23,205142,672,6955,9187,5,400
2020-07-24,205960,818,6359,9201,14,1400
2020-07-25,206332,372,6530,9202,1,200
2020-07-26,206741,409,6938,9203,1,0
2020-07-27,207379,638,6774,9205,2,800
2020-07-28,207951,572,6744,9207,2,600
2020-07-29,208811,860,7599,9212,5,0
2020-07-30,209653,842,8432,9221,9,0
2020-07-31,210665,1012,9141,9224,3,300
2020-08-01,211077,412,8251,9226,2,1300
2020-08-02,211462,385,8636,9226,0,0
2020-08-03,212320,858,8388,9232,6,1100
2020-08-04,213080,760,9148,9232,0,0
2020-08-05,214104,1024,10159,9245,13,0
2020-08-06,215210,1106,9758,9252,7,1500
2020-08-07,216315,1105,10861,9254,2,0
2020-08-08,216896,581,10236,9260,6,1200
2020-08-09,217281,385,10621,9260,0,0
2020-08-10,218500,1219,11335,9265,5,500
2020-08-11,219530,1030,11362,9268,3,1000
2020-08-12,220850,1320,11674,9276,8,1000
2020-08-13,222269,1419,12188,9281,5,900
2020-08-14,223774,1505,11935,9289,8,1750
2020-08-15,224478,704,12288,9290,1,350
2020-08-16,224997,519,12807,9290,0,0
2020-08-17,226686,1689,14490,9296,6,0
2020-08-18,228105,1419,15900,9305,9,0
2020-08-19,229700,1595,16486,9314,9,1000
2020-08-20,231284,1584,17160,9324,10,900
2020-08-21,233021,1737,17893,9328,4,1000
2020-08-22,233857,836,15576,9331,3,3150
2020-08-23,234489,632,15557,9332,1,650
2020-08-24,236117,1628,17181,9336,4,0
2020-08-25,237572,1455,18627,9345,9,0
2020-08-26,239000,1428,15415,9352,7,4633
2020-08-27,240565,1565,15711,9359,7,1262
2020-08-28,242114,1549,15693,9360,1,1566
2020-08-29,242825,711,15978,9363,3,423
2020-08-30,243295,470,16089,9364,1,358
2020-08-31,244792,1497,15521,9371,7,2058
2020-09-01,246001,1209,14820,9381,10,1900
2020-09-02,247391,1390,14898,9393,12,1300
2020-09-03,248814,1423,14815,9399,6,1500
2020-09-04,250281,1467,16280,9401,2,0
2020-09-05,251056,775,15447,9401,0,1608
2020-09-06,251724,668,16115,9401,0,0
2020-09-07,253625,1901,17220,9405,4,792
2020-09-08,254956,1331,14947,9409,4,3600
2020-09-09,256349,1393,15039,9410,1,1300
2020-09-10,258107,1758,15388,9419,9,1400
2020-09-11,259725,1618,17002,9423,4,0
2020-09-12,260546,821,15819,9427,4,2000
2020-09-13,261298,752,16170,9428,1,400
2020-09-14,263221,1923,16235,9436,8,1850
2020-09-15,264844,1623,16299,9445,9,1550
2020-09-16,266865,2021,18316,9449,4,0
2020-09-17,269042,2177,18285,9457,8,2200
2020-09-18,271244,2202,18780,9464,7,1700
2020-09-19,272308,1064,19342,9466,2,500
2020-09-20,273477,1169,20007,9470,4,500
2020-09-21,275551,2074,19770,9481,11,2300
2020-09-22,277176,1625,19785,9491,10,1600
2020-09-23,279205,2029,20197,9508,17,1600
2020-09-24,281345,2140,22326,9519,11,0
2020-09-25,283706,2361,24676,9530,11,0
2020-09-26,285025,1319,25993,9532,2,0
2020-09-27,286338,1313,26004,9534,2,1300
2020-09-28,288618,2280,26673,9545,11,1600
2020-09-29,290466,1848,26710,9556,11,1800
2020-09-30,292911,2445,27340,9571,15,1800
2020-10-01,295530,2619,28044,9586,15,1900
2020-10-02,298363,2833,29267,9596,10,1600
2020-10-03,300028,1665,29631,9597,1,1300
