time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,1,0,1,0,0
2020-02-27,3,2,3,0,0
2020-02-28,4,1,4,0,0
2020-02-29,7,3,7,0,0
2020-03-01,7,0,7,0,0
2020-03-02,7,0,7,0,0
2020-03-03,7,0,7,0,0
2020-03-04,9,2,9,0,0
2020-03-05,31,22,31,0,0
2020-03-06,45,14,45,0,0
2020-03-07,66,21,66,0,0
2020-03-08,73,7,73,0,0
2020-03-09,84,11,84,0,0
2020-03-10,89,5,89,0,0
2020-03-11,99,10,99,0,0
2020-03-12,117,18,116,1,1
2020-03-13,190,73,187,1,0
2020-03-14,228,38,217,3,2
2020-03-15,331,103,319,4,1
2020-03-16,352,21,340,4,0
2020-03-17,387,35,368,5,1
2020-03-18,418,31,399,5,0
2020-03-19,464,46,439,6,1
2020-03-20,495,31,466,10,4
2020-03-21,530,35,498,13,3
2020-03-22,624,94,590,15,2
2020-03-23,695,71,649,17,2
2020-03-24,743,48,694,20,3
2020-03-25,821,78,763,22,2
2020-03-26,892,71,829,27,5
2020-03-27,966,74,886,28,1
2020-03-28,1061,95,977,32,4
2020-03-29,1156,95,1065,39,7
2020-03-30,1212,56,1114,46,7
2020-03-31,1314,102,1213,49,3
2020-04-01,1415,101,1312,51,2
2020-04-02,1544,129,1430,53,2
2020-04-03,1613,69,1472,63,10
2020-04-04,1673,60,1527,68,5
2020-04-05,1735,62,1584,73,5
2020-04-06,1755,20,1407,79,6
2020-04-07,1832,77,1482,81,2
2020-04-08,1884,52,1532,83,2
2020-04-09,1955,71,1599,87,4
2020-04-10,2011,56,1650,92,5
2020-04-11,2081,70,1719,93,1
2020-04-12,2114,33,1747,98,5
2020-04-13,2145,31,1777,99,1
2020-04-14,2170,25,1800,101,2
2020-04-15,2192,22,1821,102,1
2020-04-16,2207,15,1833,105,3
2020-04-17,2224,17,1847,108,3
2020-04-18,2235,11,1856,110,2
2020-04-19,2235,0,1853,113,3
2020-04-20,2245,10,1860,116,3
2020-04-21,2401,156,1703,121,5
2020-04-22,2408,7,1710,121,0
2020-04-23,2463,55,1761,125,4
2020-04-24,2490,27,1783,130,5
2020-04-25,2506,16,1799,130,0
2020-04-26,2517,11,1806,134,4
2020-04-27,2534,17,1821,136,2
2020-04-28,2566,32,1851,138,2
2020-04-29,2576,10,1860,139,1
2020-04-30,2591,15,1077,140,1
2020-05-01,2612,21,1098,140,0
2020-05-02,2620,8,1103,143,3
2020-05-03,2626,6,1108,144,1
2020-05-04,2632,6,1112,146,2
2020-05-05,2642,10,1122,146,0
2020-05-06,2663,21,1142,147,1
2020-05-07,2678,15,1156,148,1
2020-05-08,2691,13,1167,150,2
2020-05-09,2710,19,1185,151,1
2020-05-10,2716,6,1191,151,0
2020-05-11,2726,10,1201,151,0
2020-05-12,2744,18,1218,152,1
