time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,2,0,2,0,0
2020-03-21,2,0,2,0,0
2020-03-22,2,0,2,0,0
2020-03-23,6,4,6,0,0
2020-03-24,7,1,7,0,0
2020-03-25,8,1,8,0,0
2020-03-26,8,0,8,0,0
2020-03-27,8,0,8,0,0
2020-03-28,8,0,8,0,0
2020-03-29,15,7,14,0,0
2020-03-30,15,0,14,0,0
2020-03-31,15,0,14,0,0
2020-04-01,16,1,15,0,0
2020-04-02,16,0,15,0,0
2020-04-03,18,2,17,0,0
2020-04-04,20,2,19,0,0
2020-04-05,21,1,19,1,0
2020-04-06,24,3,23,1,0
2020-04-07,25,1,24,1,0
2020-04-08,27,2,26,1,0
2020-04-09,30,3,28,2,1
2020-04-10,31,1,29,2,0
2020-04-11,33,2,31,2,0
2020-04-12,33,0,30,3,1
2020-04-13,40,7,37,3,0
2020-04-14,40,0,37,3,0
2020-04-15,41,1,38,3,0
2020-04-16,41,0,38,3,0
2020-04-17,43,2,40,3,0
2020-04-18,44,1,41,3,0
2020-04-19,47,3,44,3,0
2020-04-20,57,10,54,3,0
2020-04-21,57,0,54,3,0
2020-04-22,62,5,56,4,1
2020-04-23,72,10,65,5,1
2020-04-24,72,0,65,5,0
2020-04-25,72,0,60,6,1
2020-04-26,74,2,61,6,0
2020-04-27,74,0,61,6,0
2020-04-28,76,2,62,6,0
2020-04-29,76,0,62,6,0
2020-04-30,81,5,65,8,2
2020-05-01,85,4,67,8,0
2020-05-02,85,0,67,8,0
2020-05-03,85,0,67,8,0
2020-05-04,100,15,79,11,3
2020-05-05,101,1,79,12,1
2020-05-06,101,0,79,12,0
2020-05-07,129,28,101,12,0
2020-05-08,146,17,117,12,0
2020-05-09,151,5,122,12,0
2020-05-10,182,31,150,15,3
2020-05-11,182,0,150,15,0
2020-05-12,209,27,176,16,1
2020-05-13,219,10,184,18,2
2020-05-14,234,15,199,18,0
2020-05-15,273,39,235,20,2
2020-05-16,358,85,309,20,0
2020-05-17,456,98,415,20,0
