time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,2,0,2,0,0
2020-03-12,2,0,2,0,0
2020-03-13,2,0,2,0,0
2020-03-14,3,1,3,0,0
2020-03-15,3,0,3,0,0
2020-03-16,6,3,6,0,0
2020-03-17,8,2,8,0,0
2020-03-18,9,1,9,0,0
2020-03-19,12,3,12,0,0
2020-03-20,24,12,24,0,0
2020-03-21,24,0,24,0,0
2020-03-22,26,2,26,0,0
2020-03-23,30,4,30,0,0
2020-03-24,30,0,30,0,0
2020-03-25,52,22,52,0,0
2020-03-26,67,15,66,1,0
2020-03-27,68,1,67,1,0
2020-03-28,95,27,91,1,0
2020-03-29,110,15,104,3,2
2020-03-30,139,29,129,7,4
2020-03-31,141,2,131,7,0
2020-04-01,172,31,159,10,3
2020-04-02,219,47,202,14,4
2020-04-03,222,3,204,15,1
2020-04-04,264,42,246,15,0
2020-04-05,268,4,240,22,7
2020-04-06,298,30,270,22,0
2020-04-07,305,7,277,22,0
2020-04-08,312,7,284,22,0
2020-04-09,343,31,314,23,1
2020-04-10,382,39,352,23,0
2020-04-11,392,10,361,24,1
2020-04-12,393,1,361,25,1
2020-04-13,397,4,365,25,0
2020-04-14,407,10,374,26,1
2020-04-15,419,12,379,31,5
2020-04-16,426,7,382,35,4
2020-04-17,442,16,391,41,6
2020-04-18,457,15,401,46,5
2020-04-19,472,15,411,46,0
2020-04-20,477,5,406,46,0
2020-04-21,494,17,419,46,0
2020-04-22,510,16,434,46,0
2020-04-23,519,9,441,47,1
2020-04-24,562,43,465,47,0
2020-04-25,591,29,478,55,8
2020-04-26,627,36,503,59,4
2020-04-27,661,34,521,61,2
2020-04-28,702,41,559,64,3
2020-04-29,738,36,599,66,2
2020-04-30,771,33,621,71,5
2020-05-01,804,33,617,75,4
2020-05-02,899,95,712,75,0
2020-05-03,1010,111,818,76,1
2020-05-04,1055,45,855,82,6
2020-05-05,1178,123,973,83,1
2020-05-06,1270,92,1055,93,10
2020-05-07,1461,191,1230,99,6
2020-05-08,1685,224,1426,105,6
2020-05-09,1771,86,1472,107,2
2020-05-10,1830,59,1527,108,1
2020-05-11,1972,142,1661,108,0
2020-05-12,2080,108,1758,116,8
2020-05-13,2080,0,1748,121,5
2020-05-14,2255,175,1895,123,2
2020-05-15,2318,63,1932,133,10
2020-05-16,2460,142,2062,134,1
