time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,2,0,2,0,0
2020-03-05,4,2,4,0,0
2020-03-06,4,0,4,0,0
2020-03-07,5,1,5,0,0
2020-03-08,7,2,7,0,0
2020-03-09,9,2,9,0,0
2020-03-10,12,3,12,0,0
2020-03-11,13,1,13,0,0
2020-03-12,16,3,16,0,0
2020-03-13,19,3,18,0,0
2020-03-14,30,11,29,0,0
2020-03-15,32,2,30,1,0
2020-03-16,39,7,36,1,0
2020-03-17,50,11,47,1,0
2020-03-18,58,8,55,1,0
2020-03-19,73,15,70,1,0
2020-03-20,85,12,74,4,3
2020-03-21,103,18,92,4,0
2020-03-22,131,28,109,6,2
2020-03-23,167,36,138,8,2
2020-03-24,187,20,157,9,1
2020-03-25,226,39,195,10,1
2020-03-26,261,35,223,10,0
2020-03-27,300,39,256,10,0
2020-03-28,343,43,298,11,1
2020-03-29,408,65,361,13,2
2020-03-30,447,39,398,15,2
2020-03-31,492,45,439,16,1
2020-04-01,525,33,465,20,4
2020-04-02,585,60,522,21,1
2020-04-03,623,38,554,26,5
2020-04-04,678,55,588,32,6
2020-04-05,733,55,633,34,2
2020-04-06,744,11,639,38,4
2020-04-07,817,73,699,47,9
2020-04-08,895,78,743,58,11
2020-04-09,980,85,818,66,8
2020-04-10,1190,210,1001,77,11
2020-04-11,1310,120,1110,85,8
2020-04-12,1410,100,1193,99,14
2020-04-13,1458,48,1229,109,10
2020-04-14,1512,54,1268,122,13
2020-04-15,1579,67,1253,134,12
2020-04-16,1652,73,1311,142,8
2020-04-17,1763,111,1400,156,14
2020-04-18,1834,71,1431,172,16
2020-04-19,1916,82,1477,189,17
2020-04-20,1984,68,1518,199,10
2020-04-21,2098,114,1598,213,14
2020-04-22,2168,70,1648,225,12
2020-04-23,2284,116,1655,239,14
2020-04-24,2383,99,1732,250,11
2020-04-25,2443,60,1723,262,12
2020-04-26,2500,57,1743,272,10
2020-04-27,2583,83,1805,280,8
2020-04-28,2649,66,1842,291,11
2020-04-29,2727,78,1891,300,9
2020-04-30,2775,48,1882,312,12
2020-05-01,2863,88,1931,323,11
2020-05-02,2942,79,1982,335,12
2020-05-03,2998,56,2029,340,5
2020-05-04,3035,37,2054,351,11
2020-05-05,3065,30,1993,363,12
2020-05-06,3111,46,1979,373,10
2020-05-07,3150,39,1966,383,10
2020-05-08,3178,28,1921,392,9
2020-05-09,3213,35,1904,405,13
2020-05-10,3263,50,1917,413,8
2020-05-11,3284,21,1905,421,8
2020-05-12,3313,29,1881,425,4
2020-05-13,3341,28,1809,430,5
