time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,2,0,2,0,0
2020-03-03,2,0,2,0,0
2020-03-04,2,0,2,0,0
2020-03-05,2,0,2,0,0
2020-03-06,4,2,4,0,0
2020-03-07,4,0,4,0,0
2020-03-08,6,2,6,0,0
2020-03-09,19,13,19,0,0
2020-03-10,27,8,25,0,0
2020-03-11,34,7,31,1,1
2020-03-12,34,0,30,1,0
2020-03-13,69,35,60,4,3
2020-03-14,96,27,83,5,1
2020-03-15,117,21,104,5,0
2020-03-16,134,17,121,5,0
2020-03-17,172,38,156,7,2
2020-03-18,227,55,197,19,12
2020-03-19,309,82,269,25,6
2020-03-20,369,60,320,32,7
2020-03-21,450,81,392,38,6
2020-03-22,514,64,437,48,10
2020-03-23,579,65,500,49,1
2020-03-24,686,107,601,55,6
2020-03-25,790,104,701,58,3
2020-03-26,893,103,780,78,20
2020-03-27,1046,153,913,87,9
2020-03-28,1155,109,994,102,15
2020-03-29,1285,130,1107,114,12
2020-03-30,1414,129,1217,122,8
2020-03-31,1528,114,1311,136,14
2020-04-01,1677,149,1417,157,21
2020-04-02,1790,113,1508,170,13
2020-04-03,1986,196,1671,181,11
2020-04-04,2092,106,1751,191,10
2020-04-05,2273,181,1911,198,7
2020-04-06,2491,218,2090,209,11
2020-04-07,2738,247,2313,221,12
2020-04-08,2956,218,2494,240,19
2020-04-09,3293,337,2761,280,40
2020-04-10,3512,219,2924,306,26
2020-04-11,3842,330,3229,327,21
2020-04-12,4241,399,3509,373,46
2020-04-13,4557,316,3778,399,26
2020-04-14,4839,282,3954,459,60
2020-04-15,5136,297,4221,469,10
2020-04-16,5516,380,4472,496,27
2020-04-17,5923,407,4796,520,24
2020-04-18,6248,325,5082,535,15
2020-04-19,6575,327,5307,582,47
2020-04-20,6760,185,5423,590,8
2020-04-21,7135,375,5677,616,26
2020-04-22,7418,283,5870,635,19
2020-04-23,7775,357,6168,647,12
2020-04-24,8211,436,6520,689,42
2020-04-25,8607,396,6845,720,31
2020-04-26,8882,275,7032,743,23
2020-04-27,9096,214,7180,765,22
2020-04-28,9511,415,7484,773,8
2020-04-29,9771,260,7596,784,11
2020-04-30,10118,347,7804,792,8
2020-05-01,10551,433,8160,800,8
2020-05-02,10843,292,8347,831,31
2020-05-03,11192,349,8471,845,14
2020-05-04,11587,395,8769,864,19
2020-05-05,12071,484,9002,872,8
2020-05-06,12438,367,9226,895,23
2020-05-07,12776,338,9465,930,35
2020-05-08,13112,336,9675,943,13
2020-05-09,13645,533,10079,959,16
2020-05-10,14032,387,10361,973,14
2020-05-11,14265,233,10393,991,18
2020-05-12,14749,484,10679,1007,16
