time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,3,0,3,0,0,0
2020-02-16,3,0,3,0,0,0
2020-02-17,3,0,3,0,0,0
2020-02-18,3,0,3,0,0,0
2020-02-19,3,0,3,0,0,0
2020-02-20,4,1,4,0,0,0
2020-02-21,21,17,19,1,1,1
2020-02-22,79,58,75,2,1,1
2020-02-23,157,78,152,3,1,0
2020-02-24,229,72,220,7,4,0
2020-02-25,323,94,310,11,4,0
2020-02-26,470,147,455,12,1,1
2020-02-27,655,185,593,17,5,42
2020-02-28,889,234,822,21,4,1
2020-02-29,1128,239,1049,29,8,4
2020-03-01,1702,574,1578,41,12,33
2020-03-02,2038,336,1837,52,11,66
2020-03-03,2504,466,2265,79,27,11
2020-03-04,3092,588,2709,107,28,116
2020-03-05,3861,769,3299,148,41,138
2020-03-06,4639,778,3919,197,49,109
2020-03-07,5886,1247,5064,233,36,66
2020-03-08,7380,1494,6391,367,134,33
2020-03-09,9179,1799,7991,464,97,102
2020-03-10,10156,977,8518,633,169,281
2020-03-11,12469,2313,10593,830,197,41
2020-03-12,15122,2653,12842,1020,190,214
2020-03-13,17670,2548,14958,1271,251,181
2020-03-14,21169,3499,17753,1447,176,528
2020-03-15,24762,3593,20607,1816,369,370
2020-03-16,27997,3235,23077,2166,350,415
2020-03-17,31524,3527,26066,2512,346,192
2020-03-18,35732,4208,28711,2988,476,1087
2020-03-19,41056,5324,33191,3416,428,416
2020-03-20,47044,5988,37859,4045,629,691
2020-03-21,53598,6554,42672,4841,796,945
2020-03-22,59158,5560,46625,5494,653,954
2020-03-23,63941,4783,50396,6097,603,409
2020-03-24,69181,5240,53995,6842,745,896
2020-03-25,74379,5198,57469,7527,685,1039
2020-03-26,80581,6202,61956,8241,714,1001
2020-03-27,86488,5907,66352,9162,921,590
2020-03-28,92461,5973,69997,10053,891,1437
2020-03-29,97676,5215,73806,10811,758,648
2020-03-30,101723,4047,75444,11626,815,1594
2020-03-31,105776,4053,77545,12466,840,1112
2020-04-01,110559,4783,80478,13195,729,1121
2020-04-02,115228,4669,82951,13957,762,1434
2020-04-03,119813,4585,85283,14726,769,1484
2020-04-04,124620,4807,88166,15409,683,1241
2020-04-05,128938,4318,91137,15935,526,821
2020-04-06,132537,3599,93074,16573,638,1024
2020-04-07,135574,3037,93946,17179,606,1559
2020-04-08,139408,3834,95133,17722,543,2104
2020-04-09,143612,4204,96741,18334,612,1984
2020-04-10,147562,3950,98129,18906,572,1990
2020-04-11,152259,4697,100121,19527,621,2084
2020-04-12,156353,4094,102102,19959,432,1681
2020-04-13,159506,3153,103460,20527,568,1227
2020-04-14,162479,2973,104130,21131,604,1699
2020-04-15,165145,2666,105252,21711,580,964
2020-04-16,168932,3787,106436,22237,526,2077
2020-04-17,172426,3494,106795,22803,566,2569
2020-04-18,175918,3492,107597,23286,483,2207
2020-04-19,178965,3047,108077,23720,434,2133
2020-04-20,181216,2251,108047,24175,455,1826
2020-04-21,183943,2727,107509,24710,535,2730
2020-04-22,187313,3370,107491,25148,438,2950
2020-04-23,189957,2644,106630,25613,465,3040
2020-04-24,192979,3022,106302,26034,421,2929
2020-04-25,195336,2357,105615,26450,416,2628
2020-04-26,197661,2325,105867,26711,261,1812
2020-04-27,199399,1738,105571,27045,334,1700
2020-04-28,201491,2092,104957,27428,383,2323
2020-04-29,203577,2086,104403,27751,323,2317
2020-04-30,205449,1872,101286,28036,285,4704
2020-05-01,207415,1966,100672,28306,270,2310
2020-05-02,209315,1900,100428,28781,475,1669
2020-05-03,210704,1389,99898,28956,175,1744
2020-05-04,211926,1222,99696,29152,196,1228
2020-05-05,213001,1075,98176,29389,237,2358
2020-05-06,214446,1445,91218,29759,370,8033
