time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,1,0,1,0,0
2020-03-11,2,1,2,0,0
2020-03-12,2,0,2,0,0
2020-03-13,8,6,8,0,0
2020-03-14,8,0,8,0,0
2020-03-15,10,2,8,0,0
2020-03-16,12,2,10,0,0
2020-03-17,13,1,11,0,0
2020-03-18,15,2,12,1,0
2020-03-19,15,0,12,1,0
2020-03-20,19,4,16,1,0
2020-03-21,19,0,16,1,0
2020-03-22,19,0,16,1,0
2020-03-23,19,0,16,1,0
2020-03-24,21,2,18,1,0
2020-03-25,26,5,23,1,0
2020-03-26,26,0,23,1,0
2020-03-27,26,0,23,1,0
2020-03-28,30,4,27,1,0
2020-03-29,32,2,29,1,0
2020-03-30,36,4,33,1,0
2020-03-31,38,2,34,2,1
2020-04-01,44,6,39,3,1
2020-04-02,47,3,42,3,0
2020-04-03,53,6,43,3,0
2020-04-04,53,0,43,3,0
2020-04-05,58,5,47,3,0
2020-04-06,59,1,48,3,0
2020-04-07,63,4,51,3,0
2020-04-08,63,0,49,4,1
2020-04-09,63,0,47,4,0
2020-04-10,63,0,46,4,0
2020-04-11,69,6,52,4,0
2020-04-12,72,3,52,4,0
2020-04-13,73,1,50,4,0
2020-04-14,105,32,82,4,0
2020-04-15,125,20,99,5,1
2020-04-16,143,18,117,5,0
2020-04-17,143,0,113,5,0
2020-04-18,163,20,133,5,0
2020-04-19,173,10,141,5,0
2020-04-20,223,50,191,5,0
2020-04-21,228,5,195,6,1
2020-04-22,252,24,219,6,0
2020-04-23,252,0,218,6,0
2020-04-24,257,5,222,7,1
2020-04-25,288,31,253,7,0
2020-04-26,305,17,270,7,0
2020-04-27,350,45,315,7,0
2020-04-28,364,14,328,7,0
2020-04-29,396,32,360,7,0
2020-04-30,396,0,360,7,0
2020-05-01,422,26,385,8,1
2020-05-02,432,10,393,8,0
2020-05-03,463,31,422,8,0
2020-05-04,469,6,422,9,1
2020-05-05,471,2,413,9,0
2020-05-06,473,2,408,9,0
2020-05-07,478,5,412,9,0
2020-05-08,488,10,421,9,0
2020-05-09,490,2,419,9,0
2020-05-10,498,8,411,9,0
2020-05-11,502,4,403,9,0
2020-05-12,505,3,406,9,0
2020-05-13,507,2,398,9,0
2020-05-14,509,2,382,9,0
2020-05-15,509,0,382,9,0
2020-05-16,511,2,381,9,0
2020-05-17,517,6,387,9,0
