time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,53,0,52,1,0,0
2020-02-16,59,6,58,1,0,0
2020-02-17,66,7,47,1,0,18
2020-02-18,74,8,53,1,0,2
2020-02-19,84,10,63,1,0,0
2020-02-20,94,10,73,1,0,0
2020-02-21,109,15,86,1,0,2
2020-02-22,134,25,111,1,0,0
2020-02-23,146,12,122,1,0,1
2020-02-24,159,13,135,1,0,0
2020-02-25,161,2,137,1,0,0
2020-02-26,172,11,146,3,2,0
2020-02-27,214,42,178,4,1,9
2020-02-28,233,19,196,5,1,0
2020-02-29,241,8,204,5,0,0
2020-03-01,256,15,208,6,1,10
2020-03-02,274,18,226,6,0,0
2020-03-03,293,19,244,6,0,1
2020-03-04,331,38,282,6,0,0
2020-03-05,364,33,315,6,0,0
2020-03-06,420,56,365,6,0,6
2020-03-07,461,41,379,6,0,27
2020-03-08,502,41,419,7,1,0
2020-03-09,530,28,437,9,2,8
2020-03-10,587,57,473,12,3,18
2020-03-11,639,52,506,15,3,16
2020-03-12,691,52,554,19,4,0
2020-03-13,734,43,595,21,2,0
2020-03-14,804,70,638,22,1,26
2020-03-15,833,29,665,24,2,0
2020-03-16,850,17,678,28,4,0
2020-03-17,878,28,705,29,1,0
2020-03-18,914,36,694,29,0,47
2020-03-19,943,29,719,33,4,0
2020-03-20,1007,64,757,35,2,24
2020-03-21,1054,47,803,36,1,0
2020-03-22,1101,47,825,41,5,20
2020-03-23,1128,27,851,42,1,0
2020-03-24,1193,65,865,43,1,50
2020-03-25,1307,114,952,45,2,25
2020-03-26,1387,80,981,47,2,49
2020-03-27,1499,112,1078,49,2,13
2020-03-28,1693,194,1237,52,3,32
2020-03-29,1866,173,1388,54,2,20
2020-03-30,1953,87,1473,56,2,0
2020-03-31,2178,225,1697,57,1,0
2020-04-01,2384,206,1855,57,0,48
2020-04-02,2617,233,2082,63,6,0
2020-04-03,2935,318,2352,69,6,42
2020-04-04,3139,204,2548,77,8,0
2020-04-05,3654,515,2994,85,8,61
2020-04-06,3906,252,3222,92,7,17
2020-04-07,4257,351,3542,93,1,30
2020-04-08,4667,410,3941,94,1,10
2020-04-09,5347,680,4563,99,5,53
2020-04-10,6005,658,5221,99,0,0
2020-04-11,6748,743,5878,108,9,77
2020-04-12,7370,622,6463,123,15,22
2020-04-13,7618,248,6676,143,20,15
2020-04-14,7885,267,6886,146,3,54
2020-04-15,8626,741,7547,178,32,48
2020-04-16,9231,605,8106,190,12,34
2020-04-17,9787,556,8662,190,0,0
2020-04-18,10296,509,9005,222,32,134
2020-04-19,10797,501,9402,236,14,90
2020-04-20,11135,338,9633,263,27,80
2020-04-21,11512,377,9875,281,18,117
2020-04-22,11950,438,10227,299,18,68
2020-04-23,12368,418,10546,328,29,70
2020-04-24,12712,344,10837,345,17,36
2020-04-25,13231,519,11215,360,15,126
2020-04-26,13449,218,11268,372,12,153
2020-04-27,13614,165,11330,385,13,90
2020-04-28,13736,122,11443,394,9,0
2020-04-29,13895,159,11114,413,19,469
2020-04-30,14088,193,11198,430,17,92
2020-05-01,14305,217,10875,455,25,515
2020-05-02,14571,266,10892,474,19,230
2020-05-03,14877,306,10409,487,13,776
2020-05-04,15078,201,10386,536,49,175
2020-05-05,15253,175,10201,556,20,340
2020-05-06,15253,0,10201,556,0,0
2020-05-07,15477,224,9982,577,21,422
2020-05-08,15575,98,9839,590,13,228
2020-05-09,15663,88,9150,607,17,760
2020-05-10,15777,114,7026,624,17,2221
2020-05-11,15847,70,6921,633,9,166
2020-05-12,15968,121,6780,657,24,238
2020-05-13,16049,81,6451,678,21,389
2020-05-14,16120,71,5555,697,19,948
2020-05-15,16203,83,5152,713,16,470
2020-05-16,16237,34,5174,725,12,0
2020-05-17,16285,48,4388,744,19,815
2020-05-18,16305,20,3992,749,5,411
2020-05-19,16367,62,4035,768,19,0
2020-05-20,16385,18,3328,771,3,722
2020-05-21,16424,39,2975,777,6,386
2020-05-22,16513,89,2712,796,19,333
2020-05-23,16536,23,2484,808,12,239
2020-05-24,16550,14,2317,820,12,169
2020-05-25,16581,31,2139,830,10,199
2020-05-26,16623,42,1967,846,16,198
2020-05-27,16651,28,1820,858,12,163
2020-05-28,16683,32,1669,867,9,174
2020-05-29,16719,36,1591,874,7,107
2020-05-30,16804,85,1512,886,12,152
2020-05-31,16851,47,1501,891,5,53
2020-06-01,16884,33,1490,892,1,43
2020-06-02,16930,46,1386,894,2,148
2020-06-03,16986,56,1315,900,6,121
2020-06-04,17018,32,1248,903,3,96
2020-06-05,17064,46,1185,907,4,105
2020-06-06,17103,39,1110,914,7,107
2020-06-07,17141,38,1086,916,2,60
2020-06-08,17174,33,1110,916,0,9
2020-06-09,17210,36,1081,916,0,65
2020-06-10,17251,41,1034,919,3,85
2020-06-11,17292,41,989,920,1,85
2020-06-12,17332,40,917,922,2,110
2020-06-13,17382,50,878,924,2,87
2020-06-14,17429,47,861,925,1,63
2020-06-15,17502,73,891,925,0,43
2020-06-16,17587,85,959,927,2,15
2020-06-17,17628,41,847,931,4,149
2020-06-18,17668,40,803,935,4,80
2020-06-19,17740,72,797,935,0,78
2020-06-20,17799,59,770,952,17,69
2020-06-21,17864,65,803,953,1,31
2020-06-22,17916,52,830,953,0,25
2020-06-23,17968,52,801,955,2,79
2020-06-24,18024,56,798,963,8,51
2020-06-25,18110,86,822,968,5,57
2020-06-26,18197,87,836,969,1,72
2020-06-27,18297,100,874,971,2,60
2020-06-28,18390,93,914,971,0,53
2020-06-29,18476,86,947,972,1,52
2020-06-30,18593,117,990,972,0,74
2020-07-01,18723,130,1018,974,2,100
2020-07-02,18874,151,1127,975,1,41
2020-07-03,19068,194,1226,976,1,94
2020-07-04,19282,214,1346,977,1,93
2020-07-05,19522,240,1495,977,0,91
2020-07-06,19775,253,1674,977,0,74
2020-07-07,19981,206,1806,978,1,73
2020-07-08,20174,193,1863,980,2,134
2020-07-09,20371,197,1924,981,1,135
2020-07-10,20719,348,2085,982,1,186
2020-07-11,21129,410,2298,982,0,197
2020-07-12,21502,373,2517,982,0,154
2020-07-13,21868,366,2783,982,0,100
2020-07-14,22220,352,2956,982,0,179
2020-07-15,22508,288,2979,984,2,263
2020-07-16,22890,382,3091,985,1,269
2020-07-17,23473,583,3392,985,0,282
2020-07-18,24132,659,3781,985,0,270
2020-07-19,24642,510,4081,985,0,210
2020-07-20,25096,454,4354,985,0,181
2020-07-21,25736,640,4593,988,3,398
2020-07-22,26303,567,4663,989,1,496
2020-07-23,27029,726,5004,990,1,384
2020-07-24,27956,927,5636,992,2,293
2020-07-25,28786,830,6226,993,1,239
2020-07-26,29382,596,6624,996,3,195
2020-07-27,29989,607,6877,996,0,354
2020-07-28,30961,972,7152,998,2,695
2020-07-29,31901,940,7393,1001,3,696
2020-07-30,33049,1148,7866,1004,3,672
2020-07-31,34372,1323,8437,1006,2,750
2020-08-01,35836,1464,9319,1011,5,577
2020-08-02,36689,853,9772,1011,0,400
2020-08-03,38687,1998,11188,1012,1,581
2020-08-04,39858,1171,11645,1016,4,710
2020-08-05,41129,1271,12079,1022,6,831
2020-08-06,42263,1134,12360,1026,4,849
2020-08-07,43815,1552,12629,1033,7,1276
2020-08-08,45439,1624,13093,1039,6,1154
2020-08-09,46783,1344,13431,1040,1,1005
2020-08-10,47990,1207,13885,1047,7,746
2020-08-11,48928,938,13901,1052,5,917
2020-08-12,50210,1282,14263,1059,7,913
2020-08-13,51147,937,13950,1063,4,1246
2020-08-14,52217,1070,13665,1073,10,1345
2020-08-15,53577,1360,13547,1085,12,1466
2020-08-16,54714,1137,13546,1088,3,1135
2020-08-17,55667,953,13372,1099,11,1116
2020-08-18,56685,1018,13286,1115,16,1088
2020-08-19,57550,865,12587,1128,13,1551
2020-08-20,58501,951,12091,1144,16,1431
2020-08-21,59721,1220,12099,1155,11,1201
2020-08-22,60733,1012,11942,1169,14,1155
2020-08-23,61747,1014,12021,1176,7,928
2020-08-24,62507,760,11986,1181,5,790
2020-08-25,63121,614,11494,1196,15,1091
2020-08-26,63822,701,10925,1209,13,1257
2020-08-27,64668,846,10619,1226,17,1135
2020-08-28,65573,905,10340,1238,12,1172
2020-08-29,66423,850,9827,1255,17,1346
2020-08-30,67264,841,9836,1264,9,823
2020-08-31,67865,601,9784,1279,15,638
2020-09-01,68392,527,9273,1296,17,1021
2020-09-02,69001,609,9266,1307,11,605
2020-09-03,69599,598,8756,1319,12,1096
2020-09-04,70268,669,8521,1330,11,893
2020-09-05,70876,608,8082,1349,19,1028
2020-09-06,71419,543,7986,1357,8,631
2020-09-07,71856,437,7957,1363,6,460
2020-09-08,72234,378,7575,1377,14,746
2020-09-09,72726,492,7233,1393,16,818
2020-09-10,73221,495,6980,1406,13,735
2020-09-11,73901,680,6899,1412,6,755
2020-09-12,74544,643,6841,1423,11,690
2020-09-13,75218,674,6880,1439,16,619
2020-09-14,75657,439,6973,1442,3,343
2020-09-15,75958,301,6676,1451,9,589
2020-09-16,76448,490,6455,1461,10,701
2020-09-17,77009,561,6283,1473,12,721
2020-09-18,77494,485,6113,1482,9,646
2020-09-19,78073,579,6083,1495,13,596
2020-09-20,78657,584,6127,1500,5,535
2020-09-21,79140,483,6236,1500,0,374
2020-09-22,79438,298,6282,1508,8,244
2020-09-23,79768,330,6275,1512,4,333
2020-09-24,80041,273,5983,1520,8,557
2020-09-25,80497,456,5475,1532,12,952
2020-09-26,81055,558,5364,1540,8,661
2020-09-27,81690,635,5538,1545,5,456
2020-09-28,82131,441,5593,1548,3,383
2020-09-29,82494,363,5478,1557,9,469
2020-09-30,83010,516,5421,1564,7,566
2020-10-01,83563,553,5402,1571,7,565
2020-10-02,84215,652,5418,1578,7,629
2020-10-03,84768,553,5371,1590,12,588
2020-10-04,85339,571,5427,1597,7,508
2020-10-05,85739,400,5531,1599,2,294
2020-10-06,86047,308,5374,1602,3,462
2020-10-07,86543,496,5262,1605,3,605
