time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,3,2,3,0,0
2020-03-16,3,0,3,0,0
2020-03-17,4,1,4,0,0
2020-03-18,7,3,7,0,0
2020-03-19,7,0,7,0,0
2020-03-20,7,0,7,0,0
2020-03-21,7,0,7,0,0
2020-03-22,15,8,15,0,0
2020-03-23,16,1,16,0,0
2020-03-24,25,9,25,0,0
2020-03-25,28,3,27,0,0
2020-03-26,31,3,29,1,0
2020-03-27,31,0,29,1,0
2020-03-28,38,7,36,1,0
2020-03-29,42,4,40,1,0
2020-03-30,50,8,48,1,0
2020-03-31,59,9,57,1,0
2020-04-01,81,22,77,1,0
2020-04-02,110,29,103,3,2
2020-04-03,122,12,114,4,1
2020-04-04,126,4,118,4,0
2020-04-05,142,16,134,4,0
2020-04-06,158,16,148,6,2
2020-04-07,172,14,159,6,0
2020-04-08,179,7,164,6,0
2020-04-09,184,5,165,7,1
2020-04-10,189,5,160,7,0
2020-04-11,191,2,160,7,0
2020-04-12,197,6,164,8,1
2020-04-13,208,11,159,9,1
2020-04-14,216,8,166,9,0
2020-04-15,225,9,162,10,1
2020-04-16,234,9,170,11,1
2020-04-17,246,12,182,11,0
2020-04-18,262,16,190,12,1
2020-04-19,270,8,189,14,2
2020-04-20,281,11,198,14,0
2020-04-21,296,15,208,14,0
2020-04-22,303,7,215,14,0
2020-04-23,320,17,217,14,0
2020-04-24,336,16,228,14,0
2020-04-25,343,7,231,14,0
2020-04-26,355,12,235,14,0
2020-04-27,363,8,235,14,0
2020-04-28,374,11,236,14,0
2020-04-29,384,10,240,15,1
2020-04-30,396,12,235,17,2
2020-05-01,411,15,240,21,4
2020-05-02,435,24,261,22,1
2020-05-03,465,30,274,24,2
2020-05-04,490,25,293,24,0
2020-05-05,535,45,329,24,0
2020-05-06,582,47,366,26,2
2020-05-07,607,25,381,29,3
2020-05-08,621,14,390,29,0
2020-05-09,649,28,412,30,1
2020-05-10,672,23,401,32,2
2020-05-11,700,28,416,33,1
2020-05-12,715,15,420,36,3
2020-05-13,737,22,416,40,4
2020-05-14,758,21,432,42,2
2020-05-15,781,23,452,45,3
2020-05-16,830,49,479,50,5
2020-05-17,887,57,524,50,0
