time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,1,0,1,0,0
2020-03-17,2,1,2,0,0
2020-03-18,2,0,2,0,0
2020-03-19,2,0,2,0,0
2020-03-20,2,0,2,0,0
2020-03-21,3,1,3,0,0
2020-03-22,3,0,3,0,0
2020-03-23,3,0,3,0,0
2020-03-24,3,0,3,0,0
2020-03-25,3,0,3,0,0
2020-03-26,3,0,3,0,0
2020-03-27,3,0,3,0,0
2020-03-28,3,0,3,0,0
2020-03-29,3,0,3,0,0
2020-03-30,3,0,3,0,0
2020-03-31,3,0,3,0,0
2020-04-01,6,3,6,0,0
2020-04-02,6,0,6,0,0
2020-04-03,7,1,7,0,0
2020-04-04,10,3,6,1,0
2020-04-05,13,3,7,3,2
2020-04-06,14,1,8,3,0
2020-04-07,14,0,8,3,0
2020-04-08,31,17,24,4,1
2020-04-09,31,0,24,4,0
2020-04-10,37,6,29,5,1
2020-04-11,48,11,40,5,0
2020-04-12,50,2,42,5,0
2020-04-13,59,9,49,6,1
2020-04-14,59,0,49,6,0
2020-04-15,59,0,49,6,0
2020-04-16,59,0,49,6,0
2020-04-17,76,17,62,7,1
2020-04-18,76,0,62,7,0
2020-04-19,91,15,76,8,1
2020-04-20,99,8,84,8,0
2020-04-21,101,2,86,8,0
2020-04-22,101,0,73,8,0
2020-04-23,101,0,73,8,0
2020-04-24,117,16,84,8,0
2020-04-25,120,3,84,11,3
2020-04-26,124,4,87,12,1
2020-04-27,124,0,87,12,0
2020-04-28,141,17,80,16,4
2020-04-29,141,0,80,16,0
2020-04-30,141,0,80,16,0
2020-05-01,152,11,89,18,2
2020-05-02,154,2,88,18,0
2020-05-03,158,4,82,18,0
2020-05-04,166,8,90,18,0
2020-05-05,170,4,92,20,2
2020-05-06,178,8,83,20,0
2020-05-07,189,11,90,20,0
2020-05-08,199,10,100,20,0
2020-05-09,199,0,100,20,0
2020-05-10,199,0,100,20,0
2020-05-11,211,12,106,20,0
2020-05-12,211,0,106,20,0
2020-05-13,213,2,92,20,0
2020-05-14,215,2,90,20,0
2020-05-15,219,4,91,20,0
2020-05-16,223,4,87,20,0
2020-05-17,226,3,85,21,1
