time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,0,0,0,0,0
2020-03-24,1,0,1,0,0
2020-03-25,1,0,1,0,0
2020-03-26,1,0,1,0,0
2020-03-27,1,0,1,0,0
2020-03-28,3,2,3,0,0
2020-03-29,8,5,8,0,0
2020-03-30,8,0,8,0,0
2020-03-31,10,2,9,0,0
2020-04-01,10,0,10,0,0
2020-04-02,11,1,10,1,0
2020-04-03,17,6,16,1,0
2020-04-04,18,1,17,1,0
2020-04-05,18,0,17,1,0
2020-04-06,19,1,17,1,0
2020-04-07,20,1,18,1,0
2020-04-08,21,1,12,1,0
2020-04-09,24,3,15,1,0
2020-04-10,24,0,15,1,0
2020-04-11,25,1,16,1,0
2020-04-12,25,0,15,1,0
2020-04-13,26,1,16,1,0
2020-04-14,35,9,25,1,0
2020-04-15,48,13,36,1,0
2020-04-16,49,1,37,1,0
2020-04-17,49,0,37,1,0
2020-04-18,49,0,37,1,0
2020-04-19,51,2,39,1,0
2020-04-20,51,0,35,1,0
2020-04-21,59,8,43,1,0
2020-04-22,60,1,44,1,0
2020-04-23,60,0,43,2,1
2020-04-24,61,1,41,2,0
2020-04-25,61,0,41,2,0
2020-04-26,61,0,41,2,0
2020-04-27,61,0,41,2,0
2020-04-28,61,0,41,2,0
2020-04-29,61,0,41,2,0
2020-04-30,61,0,40,3,1
2020-05-01,63,2,42,3,0
2020-05-02,63,0,38,3,0
2020-05-03,63,0,38,3,0
2020-05-04,63,0,37,3,0
2020-05-05,63,0,37,3,0
2020-05-06,64,1,37,3,0
2020-05-07,64,0,37,3,0
2020-05-08,64,0,37,3,0
2020-05-09,64,0,37,3,0
2020-05-10,64,0,37,3,0
2020-05-11,64,0,33,3,0
2020-05-12,64,0,33,3,0
2020-05-13,64,0,33,3,0
2020-05-14,64,0,33,3,0
2020-05-15,64,0,33,3,0
2020-05-16,65,1,34,3,0
2020-05-17,65,0,27,3,0
