time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,1,1,1,0,0
2020-02-29,1,0,1,0,0
2020-03-01,1,0,1,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,1,0,1,0,0
2020-03-08,1,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,3,2,3,0,0
2020-03-11,3,0,3,0,0
2020-03-12,3,0,3,0,0
2020-03-13,6,3,6,0,0
2020-03-14,9,3,8,0,0
2020-03-15,14,5,13,0,0
2020-03-16,18,4,17,0,0
2020-03-17,26,8,25,0,0
2020-03-18,34,8,33,0,0
2020-03-19,48,14,47,0,0
2020-03-20,69,21,67,1,1
2020-03-21,99,30,97,1,0
2020-03-22,143,44,141,1,0
2020-03-23,179,36,177,1,0
2020-03-24,209,30,206,2,1
2020-03-25,274,65,269,4,2
2020-03-26,299,25,294,4,0
2020-03-27,358,59,352,5,1
2020-03-28,394,36,386,7,2
2020-03-29,460,66,452,7,0
2020-03-30,491,31,477,7,0
2020-03-31,537,46,522,8,1
2020-04-01,581,44,566,8,0
2020-04-02,649,68,633,9,1
2020-04-03,696,47,680,9,0
2020-04-04,771,75,753,11,2
2020-04-05,811,40,791,13,2
2020-04-06,843,32,820,15,2
2020-04-07,880,37,857,15,0
2020-04-08,912,32,889,15,0
2020-04-09,955,43,931,16,1
2020-04-10,999,44,923,22,6
2020-04-11,1026,27,949,23,1
2020-04-12,1053,27,933,23,0
2020-04-13,1062,9,937,24,1
2020-04-14,1070,8,940,29,5
2020-04-15,1091,21,923,30,1
2020-04-16,1128,37,918,32,2
2020-04-17,1149,21,906,33,1
2020-04-18,1239,90,978,33,0
2020-04-19,1298,59,1021,35,2
2020-04-20,1326,28,1047,37,2
2020-04-21,1350,24,1014,38,1
2020-04-22,1370,20,975,38,0
2020-04-23,1398,28,959,40,2
2020-04-24,1410,12,940,40,0
2020-04-25,1426,16,925,41,1
2020-04-26,1438,12,930,41,0
2020-04-27,1449,11,934,41,0
2020-04-28,1344,-105,764,44,3
2020-04-29,1375,31,767,45,1
2020-04-30,1385,10,751,45,0
2020-05-01,1399,14,760,45,0
2020-05-02,1406,7,728,46,1
2020-05-03,1410,4,729,46,0
2020-05-04,1419,9,735,46,0
2020-05-05,1423,4,699,46,0
2020-05-06,1428,5,662,48,2
2020-05-07,1433,5,645,49,1
2020-05-08,1436,3,622,49,0
2020-05-09,1444,8,567,49,0
2020-05-10,1479,35,601,50,1
2020-05-11,1485,6,602,50,0
2020-05-12,1491,6,591,50,0
2020-05-13,1505,14,543,54,4
2020-05-14,1511,6,523,54,0
2020-05-15,1523,12,504,54,0
