time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,1,0,1,0,0,0
2020-03-01,1,0,1,0,0,0
2020-03-02,1,0,1,0,0,0
2020-03-03,1,0,1,0,0,0
2020-03-04,1,0,1,0,0,0
2020-03-05,2,1,2,0,0,0
2020-03-06,3,1,3,0,0,0
2020-03-07,4,1,4,0,0,0
2020-03-08,5,1,5,0,0,0
2020-03-09,5,0,5,0,0,0
2020-03-10,7,2,7,0,0,0
2020-03-11,7,0,7,0,0,0
2020-03-12,23,16,23,0,0,0
2020-03-13,33,10,32,1,1,0
2020-03-14,44,11,43,1,0,0
2020-03-15,65,21,64,1,0,0
2020-03-16,68,3,67,1,0,0
2020-03-17,116,48,115,1,0,0
2020-03-18,168,52,166,2,1,0
2020-03-19,276,108,266,4,2,6
2020-03-20,398,122,387,5,1,0
2020-03-21,550,152,536,8,3,0
2020-03-22,655,105,641,8,0,0
2020-03-23,718,63,704,8,0,0
2020-03-24,901,183,887,8,0,0
2020-03-25,1092,191,1081,8,0,-3
2020-03-26,1190,98,1177,9,1,1
2020-03-27,1314,124,1284,15,6,11
2020-03-28,1499,185,1444,18,3,22
2020-03-29,1596,97,1521,21,3,17
2020-03-30,1627,31,1551,22,1,0
2020-03-31,1782,155,1676,23,1,29
2020-04-01,1897,115,1696,29,6,89
2020-04-02,2034,137,1697,30,1,135
2020-04-03,2136,102,1672,31,1,126
2020-04-04,2232,96,1613,31,0,155
2020-04-05,2293,61,1558,36,5,111
2020-04-06,2325,32,1571,41,5,14
2020-04-07,2429,104,1484,44,3,188
2020-04-08,2481,52,1378,46,2,156
2020-04-09,2547,66,1304,52,6,134
2020-04-10,2635,88,1217,54,2,173
2020-04-11,2673,38,1110,62,8,137
2020-04-12,2682,9,1025,66,4,90
2020-04-13,2691,9,1004,69,3,27
2020-04-14,2703,12,888,67,-2,130
2020-04-15,2757,54,852,69,2,88
2020-04-16,2815,58,799,69,0,111
2020-04-17,2844,29,725,72,3,100
2020-04-18,2891,47,685,72,0,87
2020-04-19,2902,11,634,73,1,61
2020-04-20,2909,7,602,75,2,37
2020-04-21,2958,49,584,78,3,64
2020-04-22,2987,29,556,80,2,55
2020-04-23,2996,9,499,83,3,63
2020-04-24,3021,25,470,85,2,52
2020-04-25,3034,13,438,85,0,45
2020-04-26,3044,10,434,88,3,11
2020-04-27,3049,5,428,88,0,11
2020-04-28,3059,10,425,89,1,12
2020-04-29,3082,23,384,89,0,64
2020-04-30,3094,12,359,90,1,36
2020-05-01,3109,15,341,92,2,31
2020-05-02,3117,8,301,92,0,48
2020-05-03,3127,10,287,96,4,20
2020-05-04,3130,3,288,96,0,2
2020-05-05,3140,10,273,96,0,25
2020-05-06,3149,9,252,98,2,28
2020-05-07,3156,7,246,100,2,11
2020-05-08,3166,10,233,100,0,23
2020-05-09,3171,5,214,101,1,23
2020-05-10,3178,7,207,101,0,14
2020-05-11,3180,2,202,101,0,7
2020-05-12,3185,5,190,102,1,16
2020-05-13,3193,8,176,103,1,21
2020-05-14,3202,9,175,103,0,10
2020-05-15,3209,7,167,104,1,14
2020-05-16,3215,6,165,104,0,8
2020-05-17,3227,12,170,107,3,4
2020-05-18,3229,2,169,107,0,3
2020-05-19,3238,9,160,109,2,16
2020-05-20,3249,11,161,109,0,10
2020-05-21,3256,7,163,109,0,5
2020-05-22,3257,1,159,109,0,5
2020-05-23,3264,7,159,109,0,7
2020-05-24,3266,2,151,110,1,9
2020-05-25,3267,1,150,110,0,2
2020-05-26,3269,2,149,110,0,3
2020-05-27,3274,5,147,110,0,7
2020-05-28,3280,6,144,110,0,9
2020-05-29,3283,3,143,110,0,4
2020-05-30,3286,3,140,110,0,6
2020-05-31,3288,2,132,110,0,10
2020-06-01,3289,1,131,110,0,2
2020-06-02,3290,1,118,110,0,14
2020-06-03,3293,3,113,110,0,8
2020-06-04,3295,2,104,110,0,11
2020-06-05,3299,4,108,110,0,0
2020-06-06,3301,2,100,110,0,10
2020-06-07,3304,3,101,110,0,2
2020-06-08,3305,1,101,110,0,1
2020-06-09,3310,5,103,110,0,3
2020-06-10,3312,2,100,110,0,5
2020-06-11,3314,2,100,110,0,2
2020-06-12,3316,2,99,110,0,3
2020-06-13,3323,7,101,110,0,5
2020-06-14,3329,6,105,110,0,2
2020-06-15,3331,2,107,110,0,0
2020-06-16,3333,2,107,110,0,2
2020-06-17,3341,8,112,110,0,3
2020-06-18,3346,5,115,110,0,2
2020-06-19,3353,7,115,110,0,7
