time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,3,0,3,0,0
2020-03-21,3,0,3,0,0
2020-03-22,3,0,3,0,0
2020-03-23,12,9,12,0,0
2020-03-24,17,5,17,0,0
2020-03-25,19,2,19,0,0
2020-03-26,23,4,23,0,0
2020-03-27,26,3,26,0,0
2020-03-28,26,0,26,0,0
2020-03-29,39,13,39,0,0
2020-03-30,43,4,43,0,0
2020-03-31,57,14,57,0,0
2020-04-01,57,0,57,0,0
2020-04-02,59,2,59,0,0
2020-04-03,70,11,70,0,0
2020-04-04,70,0,70,0,0
2020-04-05,72,2,70,0,0
2020-04-06,82,10,80,0,0
2020-04-07,88,6,81,0,0
2020-04-08,93,5,82,0,0
2020-04-09,93,0,82,0,0
2020-04-10,93,0,82,0,0
2020-04-11,102,9,91,0,0
2020-04-12,106,4,86,0,0
2020-04-13,106,0,85,0,0
2020-04-14,108,2,85,0,0
2020-04-15,110,2,81,0,0
2020-04-16,111,1,78,0,0
2020-04-17,117,6,84,0,0
2020-04-18,120,3,85,0,0
2020-04-19,121,1,82,0,0
2020-04-20,121,0,80,0,0
2020-04-21,121,0,77,0,0
2020-04-22,121,0,69,0,0
2020-04-23,121,0,63,0,0
2020-04-24,122,1,61,0,0
2020-04-25,123,1,61,0,0
2020-04-26,124,1,53,0,0
2020-04-27,128,4,53,0,0
2020-04-28,128,0,46,0,0
2020-04-29,128,0,38,0,0
2020-04-30,128,0,36,0,0
2020-05-01,132,4,38,0,0
2020-05-02,135,3,38,0,0
2020-05-03,149,14,51,0,0
2020-05-04,149,0,50,0,0
2020-05-05,151,2,50,0,0
2020-05-06,158,7,57,0,0
2020-05-07,186,28,85,0,0
2020-05-08,186,0,85,0,0
2020-05-09,186,0,85,0,0
2020-05-10,186,0,85,0,0
2020-05-11,186,0,85,0,0
2020-05-12,186,0,85,0,0
2020-05-13,212,26,105,0,0
2020-05-14,230,18,122,0,0
2020-05-15,238,8,126,0,0
2020-05-16,283,45,169,0,0
2020-05-17,304,21,189,1,0
