time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,0,0,0,0,0
2020-03-24,0,0,0,0,0
2020-03-25,2,0,2,0,0
2020-03-26,4,2,4,0,0
2020-03-27,11,7,11,0,0
2020-03-28,18,7,17,1,0
2020-03-29,18,0,17,1,0
2020-03-30,25,7,23,2,1
2020-03-31,28,3,26,2,0
2020-04-01,31,3,28,3,1
2020-04-02,36,5,33,3,0
2020-04-03,39,3,36,3,0
2020-04-04,41,2,37,3,0
2020-04-05,45,4,39,5,2
2020-04-06,47,2,33,5,0
2020-04-07,56,9,39,5,0
2020-04-08,59,3,36,7,2
2020-04-09,74,15,45,7,0
2020-04-10,87,13,58,7,0
2020-04-11,87,0,58,7,0
2020-04-12,105,18,74,9,2
2020-04-13,123,18,87,10,1
2020-04-14,144,21,97,13,3
2020-04-15,148,4,101,13,0
2020-04-16,171,23,124,13,0
2020-04-17,171,0,124,13,0
2020-04-18,216,45,162,13,0
2020-04-19,224,8,168,14,1
2020-04-20,246,22,176,14,0
2020-04-21,258,12,187,14,0
2020-04-22,293,35,203,17,3
2020-04-23,309,16,211,21,4
2020-04-24,325,16,217,21,0
2020-04-25,370,45,258,21,0
2020-04-26,389,19,254,23,2
2020-04-27,408,19,272,23,0
2020-04-28,424,16,278,24,1
2020-04-29,482,58,328,25,1
2020-04-30,490,8,329,26,1
2020-05-01,508,18,286,26,0
2020-05-02,544,36,312,26,0
2020-05-03,563,19,323,27,1
2020-05-04,580,17,328,29,2
2020-05-05,612,32,352,32,3
2020-05-06,631,19,338,32,0
2020-05-07,650,19,347,32,0
2020-05-08,668,18,348,35,3
2020-05-09,692,24,357,37,2
2020-05-10,704,12,315,38,1
2020-05-11,712,8,296,39,1
2020-05-12,730,18,292,40,1
2020-05-13,758,28,302,44,4
2020-05-14,779,21,297,46,2
2020-05-15,806,27,305,46,0
2020-05-16,835,29,308,48,2
2020-05-17,860,25,314,52,4
