time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,3,0,3,0,0
2020-03-19,7,4,7,0,0
2020-03-20,12,5,12,0,0
2020-03-21,14,2,13,1,0
2020-03-22,28,14,26,2,1
2020-03-23,36,8,34,2,0
2020-03-24,42,6,40,2,0
2020-03-25,48,6,46,2,0
2020-03-26,81,33,79,2,0
2020-03-27,94,13,92,2,0
2020-03-28,102,8,100,2,0
2020-03-29,107,5,104,3,1
2020-03-30,128,21,125,3,0
2020-03-31,143,15,138,5,2
2020-04-01,161,18,155,6,1
2020-04-02,169,8,162,7,1
2020-04-03,186,17,179,7,0
2020-04-04,196,10,182,7,0
2020-04-05,227,31,213,7,0
2020-04-06,244,17,230,7,0
2020-04-07,268,24,253,7,0
2020-04-08,273,5,247,7,0
2020-04-09,314,41,284,7,0
2020-04-10,318,4,286,9,2
2020-04-11,319,1,282,9,0
2020-04-12,324,5,273,9,0
2020-04-13,324,0,273,9,0
2020-04-14,324,0,264,9,0
2020-04-15,324,0,250,9,0
2020-04-16,324,0,234,9,0
2020-04-17,324,0,207,9,0
2020-04-18,325,1,136,9,0
2020-04-19,328,3,111,9,0
2020-04-20,328,0,95,9,0
2020-04-21,328,0,76,9,0
2020-04-22,329,1,59,9,0
2020-04-23,331,2,56,9,0
2020-04-24,331,0,37,9,0
2020-04-25,331,0,27,9,0
2020-04-26,332,1,24,9,0
2020-04-27,332,0,20,10,1
2020-04-28,332,0,19,10,0
2020-04-29,332,0,16,10,0
2020-04-30,332,0,12,10,0
2020-05-01,332,0,10,10,0
2020-05-02,332,0,8,10,0
2020-05-03,332,0,7,10,0
2020-05-04,332,0,6,10,0
2020-05-05,332,0,3,10,0
2020-05-06,332,0,2,10,0
2020-05-07,332,0,2,10,0
2020-05-08,332,0,2,10,0
2020-05-09,332,0,2,10,0
2020-05-10,332,0,2,10,0
2020-05-11,332,0,0,10,0
2020-05-12,332,0,0,10,0
2020-05-13,332,0,0,10,0
2020-05-14,332,0,0,10,0
2020-05-15,332,0,0,10,0
2020-05-16,332,0,0,10,0
2020-05-17,332,0,0,10,0
