time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,2,1,2,0,0
2020-03-06,2,0,2,0,0
2020-03-07,2,0,2,0,0
2020-03-08,2,0,2,0,0
2020-03-09,2,0,2,0,0
2020-03-10,3,1,2,1,1
2020-03-11,6,3,5,1,0
2020-03-12,6,0,5,1,0
2020-03-13,7,1,5,1,0
2020-03-14,18,11,16,1,0
2020-03-15,28,10,26,1,0
2020-03-16,37,9,35,1,0
2020-03-17,44,7,41,2,1
2020-03-18,54,10,51,2,0
2020-03-19,63,9,59,2,0
2020-03-20,86,23,81,3,1
2020-03-21,96,10,90,3,0
2020-03-22,115,19,108,4,1
2020-03-23,143,28,134,4,0
2020-03-24,170,27,159,5,1
2020-03-25,225,55,212,6,1
2020-03-26,275,50,256,11,5
2020-03-27,345,70,311,23,12
2020-03-28,402,57,365,25,2
2020-03-29,479,77,440,26,1
2020-03-30,556,77,508,33,7
2020-03-31,617,61,557,36,3
2020-04-01,654,37,586,39,3
2020-04-02,708,54,633,44,5
2020-04-03,791,83,686,48,4
2020-04-04,919,128,794,59,11
2020-04-05,1021,102,875,70,11
2020-04-06,1120,99,959,80,10
2020-04-07,1184,64,1001,90,10
2020-04-08,1275,91,1085,93,3
2020-04-09,1374,99,1168,97,4
2020-04-10,1448,74,1219,107,10
2020-04-11,1545,97,1288,111,4
2020-04-12,1661,116,1366,118,7
2020-04-13,1763,102,1434,126,8
2020-04-14,1888,125,1545,126,0
2020-04-15,2024,136,1668,127,1
2020-04-16,2283,259,1904,130,3
2020-04-17,2564,281,2148,135,5
2020-04-18,2685,121,2234,137,2
2020-04-19,2855,170,2387,141,4
2020-04-20,3046,191,2553,143,2
2020-04-21,3209,163,2671,145,2
2020-04-22,3446,237,2880,149,4
2020-04-23,3568,122,2957,155,6
2020-04-24,3758,190,3114,158,3
2020-04-25,3897,139,3201,159,1
2020-04-26,4065,168,3311,161,2
2020-04-27,4120,55,3263,162,1
2020-04-28,4252,132,3309,165,3
2020-04-29,4321,69,3225,168,3
2020-04-30,4423,102,3269,170,2
2020-05-01,4569,146,3315,171,1
2020-05-02,4729,160,3300,173,2
2020-05-03,4903,174,3291,174,1
2020-05-04,5053,150,3221,179,5
2020-05-05,5219,166,3200,181,2
2020-05-06,5408,189,3208,183,2
2020-05-07,5548,140,3186,183,0
2020-05-08,5711,163,3201,186,3
2020-05-09,5910,199,3263,186,0
2020-05-10,6063,153,3321,188,2
2020-05-11,6281,218,3282,188,0
2020-05-12,6418,137,3239,188,0
2020-05-13,6512,94,3193,188,0
