time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,2,0,2,0,0
2020-03-24,3,1,3,0,0
2020-03-25,3,0,3,0,0
2020-03-26,5,2,5,0,0
2020-03-27,8,3,8,0,0
2020-03-28,8,0,8,0,0
2020-03-29,10,2,10,0,0
2020-03-30,14,4,14,0,0
2020-03-31,15,1,14,1,0
2020-04-01,16,1,15,1,0
2020-04-02,20,4,19,1,0
2020-04-03,20,0,19,1,0
2020-04-04,21,1,20,1,0
2020-04-05,21,0,20,1,0
2020-04-06,22,1,21,1,0
2020-04-07,22,0,21,1,0
2020-04-08,22,0,19,3,2
2020-04-09,23,1,18,3,0
2020-04-10,27,4,22,3,0
2020-04-11,38,11,33,3,0
2020-04-12,41,3,35,4,1
2020-04-13,62,21,56,4,0
2020-04-14,63,1,57,4,0
2020-04-15,74,11,68,4,0
2020-04-16,85,11,79,4,0
2020-04-17,88,3,79,4,0
2020-04-18,98,10,88,5,1
2020-04-19,111,13,99,5,0
2020-04-20,119,8,107,5,0
2020-04-21,121,2,109,5,0
2020-04-22,123,2,111,5,0
2020-04-23,132,9,118,5,0
2020-04-24,144,12,130,5,0
2020-04-25,144,0,129,5,0
2020-04-26,146,2,131,5,0
2020-04-27,146,0,125,5,0
2020-04-28,150,4,129,5,0
2020-04-29,150,0,117,6,1
2020-04-30,150,0,117,6,0
2020-05-01,151,1,114,6,0
2020-05-02,151,0,108,6,0
2020-05-03,155,4,106,6,0
2020-05-04,161,6,106,6,0
2020-05-05,161,0,106,6,0
2020-05-06,161,0,105,6,0
2020-05-07,176,15,108,6,0
2020-05-08,177,1,104,6,0
2020-05-09,178,1,104,6,0
2020-05-10,180,2,102,6,0
2020-05-11,180,0,100,6,0
2020-05-12,180,0,98,6,0
2020-05-13,181,1,96,6,0
2020-05-14,181,0,91,6,0
2020-05-15,181,0,86,6,0
2020-05-16,182,1,80,6,0
2020-05-17,184,2,81,6,0
