time,total_cases,daily_cases,total_death,death_per_day
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,0
2020-02-28,2,1,0,0
2020-02-29,7,5,0,0
2020-03-01,10,3,0,0
2020-03-02,18,8,0,0
2020-03-03,23,5,0,0
2020-03-04,38,15,0,0
2020-03-05,82,44,0,0
2020-03-06,128,46,1,1
2020-03-07,188,60,1,0
2020-03-08,265,77,3,2
2020-03-09,321,56,4,1
2020-03-10,382,61,4,0
2020-03-11,503,121,5,1
2020-03-12,614,111,5,0
2020-03-13,804,190,10,5
2020-03-14,959,155,12,2
2020-03-15,1135,176,20,8
2020-03-16,1413,278,24,4
2020-03-17,1705,292,43,19
2020-03-18,2051,346,58,15
2020-03-19,2460,409,76,18
2020-03-20,2994,534,106,30
2020-03-21,3631,637,136,30
2020-03-22,4204,573,179,43
2020-03-23,4749,545,213,34
2020-03-24,5560,811,276,63
2020-03-25,6412,852,356,80
2020-03-26,7431,1019,434,78
2020-03-27,8603,1172,546,112
2020-03-28,9762,1159,639,93
2020-03-29,10866,1104,771,132
2020-03-30,11750,884,864,93
2020-03-31,12595,845,1039,175
2020-04-01,13614,1019,1173,134
2020-04-02,14697,1083,1339,166
2020-04-03,15723,1026,1487,148
2020-04-04,16627,904,1651,164
2020-04-05,17851,1224,1766,115
2020-04-06,18803,952,1867,101
2020-04-07,19580,777,2101,234
2020-04-08,20549,969,2248,147
2020-04-09,21762,1213,2396,148
2020-04-10,23097,1335,2511,115
2020-04-11,24413,1316,2643,132
2020-04-12,25587,1174,2737,94
2020-04-13,26551,964,2823,86
2020-04-14,27419,868,2945,122
2020-04-15,28153,734,3134,189
2020-04-16,29214,1061,3315,181
2020-04-17,30449,1235,3459,144
2020-04-18,31589,1140,3601,142
2020-04-19,32655,1066,3684,83
2020-04-20,33405,750,3751,67
2020-04-21,34134,729,3916,165
2020-04-22,34842,708,4054,138
2020-04-23,35729,887,4177,123
2020-04-24,36535,806,4289,112
2020-04-25,37190,655,4409,120
2020-04-26,37845,655,4475,66
2020-04-27,38245,400,4518,43
2020-04-28,38416,171,4566,48
2020-04-29,38802,386,4711,145
2020-04-30,39316,514,4795,84
2020-05-01,39791,475,4893,98
2020-05-02,40236,445,4987,94
2020-05-03,40571,335,5056,69
2020-05-04,40770,199,5082,26
2020-05-05,41087,317,5168,86
2020-05-06,41319,232,5204,36
2020-05-07,41774,455,5288,84
2020-05-08,42093,319,5359,71
2020-05-09,42382,289,5422,63
2020-05-10,42627,245,5440,18
2020-05-11,42788,161,5456,16
2020-05-12,42984,196,5510,54
2020-05-13,43211,227,5562,52
2020-05-14,43481,270,5590,28
2020-05-15,43681,200,5643,53
2020-05-16,43870,189,5670,27
2020-05-17,43995,125,5680,10
2020-05-18,44141,146,5694,14
2020-05-19,44249,108,5715,21
2020-05-20,44447,198,5748,33
2020-05-21,44700,253,5775,27
2020-05-22,44888,188,5788,13
2020-05-23,45064,176,5811,23
2020-05-24,45236,172,5822,11
2020-05-25,45445,209,5830,8
2020-05-26,45578,133,5856,26
2020-05-27,45768,190,5871,15
2020-05-28,45950,182,5903,32
2020-05-29,46126,176,5931,28
2020-05-30,46257,131,5951,20
2020-05-31,46442,185,5956,5
2020-06-01,46545,103,5962,6
2020-06-02,46647,102,5967,5
2020-06-03,46733,86,5977,10
2020-06-04,46942,209,5990,13
2020-06-05,47152,210,6005,15
2020-06-06,47335,183,6011,6
2020-06-07,47574,239,6013,2
2020-06-08,47739,165,6016,3
2020-06-09,47903,164,6031,15
2020-06-10,48087,184,6042,11
2020-06-11,48251,164,6044,2
2020-06-12,48461,210,6053,9
2020-06-13,48640,179,6057,4
2020-06-14,48783,143,6059,2
2020-06-15,48948,165,6065,6
2020-06-16,49087,139,6070,5
2020-06-17,49204,117,6074,4
2020-06-18,49319,115,6078,4
2020-06-19,49426,107,6081,3
2020-06-20,49502,76,6089,8
2020-06-21,49593,91,6090,1
2020-06-22,49658,65,6090,0
2020-06-23,49722,64,6095,5
2020-06-24,49804,82,6097,2
2020-06-25,49914,110,6100,3
2020-06-26,50005,91,6103,3
2020-06-27,50074,69,6105,2
2020-06-28,50147,73,6105,0
2020-06-29,50223,76,6107,2
2020-06-30,50273,50,6113,6
2020-07-01,50335,62,6115,2
2020-07-02,50412,77,6118,3
2020-07-03,50487,75,6120,2
2020-07-04,50548,61,6126,6
2020-07-05,50621,73,6127,1
2020-07-06,50657,36,6128,1
2020-07-07,50694,37,6132,4
2020-07-08,50746,52,6135,3
2020-07-09,50798,52,6135,0
2020-07-10,50840,42,6135,0
2020-07-11,50921,81,6135,0
2020-07-12,51022,101,6135,0
2020-07-13,51093,71,6135,0
2020-07-14,51146,53,6135,0
2020-07-15,51252,106,6136,1
2020-07-16,51351,99,6136,0
2020-07-17,51454,103,6136,0
2020-07-18,51581,127,6136,0
2020-07-19,51725,144,6136,0
2020-07-20,51910,185,6136,0
2020-07-21,52073,163,6136,0
2020-07-22,52241,168,6139,3
2020-07-23,52404,163,6139,0
2020-07-24,52595,191,6139,0
2020-07-25,52732,137,6139,0
2020-07-26,52946,214,6140,1
2020-07-27,53151,205,6141,1
2020-07-28,53374,223,6145,4
2020-07-29,53621,247,6147,2
2020-07-30,53963,342,6147,0
2020-07-31,54301,338,6147,0
2020-08-01,54732,431,6148,1
2020-08-02,55098,366,6149,1
2020-08-03,55470,372,6149,0
2020-08-04,55955,485,6150,1
2020-08-05,56381,426,6153,3
2020-08-06,56982,601,6153,0
2020-08-07,57501,519,6154,1
2020-08-08,57987,486,6157,3
2020-08-09,58564,577,6157,0
2020-08-10,59194,630,6157,0
