time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,1,0,1,0,0
2020-03-20,2,1,2,0,0
2020-03-21,2,0,2,0,0
2020-03-22,2,0,2,0,0
2020-03-23,2,0,2,0,0
2020-03-24,2,0,2,0,0
2020-03-25,2,0,2,0,0
2020-03-26,2,0,2,0,0
2020-03-27,4,2,3,1,0
2020-03-28,4,0,3,1,0
2020-03-29,4,0,3,1,0
2020-03-30,4,0,3,1,0
2020-03-31,5,1,4,1,0
2020-04-01,5,0,4,1,0
2020-04-02,5,0,4,1,0
2020-04-03,5,0,4,1,0
2020-04-04,5,0,4,1,0
2020-04-05,6,1,5,1,0
2020-04-06,6,0,5,1,0
2020-04-07,6,0,5,1,0
2020-04-08,6,0,5,1,0
2020-04-09,7,1,6,1,0
2020-04-10,7,0,6,1,0
2020-04-11,9,2,8,1,0
2020-04-12,9,0,4,1,0
2020-04-13,9,0,4,1,0
2020-04-14,9,0,4,1,0
2020-04-15,9,0,4,1,0
2020-04-16,9,0,4,1,0
2020-04-17,9,0,4,1,0
2020-04-18,9,0,1,2,1
2020-04-19,10,1,2,2,0
2020-04-20,10,0,2,2,0
2020-04-21,10,0,1,2,0
2020-04-22,10,0,1,2,0
2020-04-23,11,1,1,3,1
2020-04-24,11,0,1,3,0
2020-04-25,12,1,2,3,0
2020-04-26,13,1,3,3,0
2020-04-27,13,0,3,3,0
2020-04-28,13,0,3,3,0
2020-04-29,13,0,3,3,0
2020-04-30,14,1,4,3,0
2020-05-01,14,0,4,3,0
2020-05-02,14,0,4,3,0
2020-05-03,14,0,4,3,0
2020-05-04,15,1,3,5,2
2020-05-05,16,1,4,5,0
2020-05-06,16,0,4,5,0
2020-05-07,16,0,4,5,0
2020-05-08,16,0,4,5,0
2020-05-09,16,0,4,5,0
2020-05-10,16,0,4,5,0
2020-05-11,16,0,4,5,0
2020-05-12,25,9,10,8,3
2020-05-13,25,0,10,8,0
2020-05-14,25,0,10,8,0
2020-05-15,25,0,10,8,0
2020-05-16,25,0,10,8,0
2020-05-17,25,0,10,8,0
