time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,1,0,1,0,0
2020-03-20,1,0,1,0,0
2020-03-21,1,0,1,0,0
2020-03-22,2,1,2,0,0
2020-03-23,3,1,3,0,0
2020-03-24,3,0,3,0,0
2020-03-25,7,4,6,1,0
2020-03-26,10,3,9,1,0
2020-03-27,10,0,9,1,0
2020-03-28,10,0,9,1,0
2020-03-29,18,8,17,1,0
2020-03-30,27,9,24,3,2
2020-03-31,34,7,31,3,0
2020-04-01,74,40,69,5,2
2020-04-02,98,24,93,5,0
2020-04-03,120,22,115,5,0
2020-04-04,144,24,136,8,3
2020-04-05,184,40,161,10,2
2020-04-06,253,69,217,10,0
2020-04-07,278,25,241,11,1
2020-04-08,342,64,303,11,0
2020-04-09,410,68,359,11,0
2020-04-10,438,28,386,11,0
2020-04-11,491,53,439,11,0
2020-04-12,529,38,442,12,1
2020-04-13,548,19,449,13,1
2020-04-14,570,22,466,14,1
2020-04-15,584,14,480,14,0
2020-04-16,584,0,480,14,0
2020-04-17,627,43,499,18,4
2020-04-18,639,12,507,19,1
2020-04-19,648,9,511,20,1
2020-04-20,648,0,511,20,0
2020-04-21,657,9,510,20,0
2020-04-22,662,5,447,22,2
2020-04-23,671,9,391,24,2
2020-04-24,681,10,368,24,0
2020-04-25,684,3,332,27,3
2020-04-26,696,12,317,29,2
2020-04-27,701,5,287,29,0
2020-04-28,709,8,275,31,2
2020-04-29,713,4,246,32,1
2020-04-30,719,6,235,32,0
2020-05-01,728,9,217,33,1
2020-05-02,736,8,194,35,2
2020-05-03,750,14,196,36,1
2020-05-04,755,5,184,37,1
2020-05-05,763,8,182,38,1
2020-05-06,770,7,171,38,0
2020-05-07,781,11,153,42,4
2020-05-08,795,14,151,44,2
2020-05-09,815,20,153,45,1
2020-05-10,821,6,151,46,1
2020-05-11,832,11,149,46,0
2020-05-12,854,22,159,47,1
2020-05-13,860,6,153,49,2
2020-05-14,876,16,149,50,1
2020-05-15,885,9,150,51,1
2020-05-16,889,4,149,51,0
2020-05-17,904,15,152,54,3
