time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,1,0,1,0,0
2020-02-27,4,3,4,0,0
2020-02-28,6,2,6,0,0
2020-02-29,15,9,15,0,0
2020-03-01,19,4,19,0,0
2020-03-02,25,6,25,0,0
2020-03-03,33,8,33,0,0
2020-03-04,59,26,59,0,0
2020-03-05,94,35,94,0,0
2020-03-06,127,33,126,0,0
2020-03-07,156,29,156,0,0
2020-03-08,176,20,175,0,0
2020-03-09,227,51,226,0,0
2020-03-10,400,173,399,0,0
2020-03-11,629,229,628,0,0
2020-03-12,800,171,798,1,1
2020-03-13,996,196,994,1,0
2020-03-14,1109,113,1105,3,2
2020-03-15,1256,147,1252,3,0
2020-03-16,1348,92,1344,3,0
2020-03-17,1471,123,1467,3,0
2020-03-18,1591,120,1584,6,3
2020-03-19,1790,199,1782,7,1
2020-03-20,1959,169,1951,7,0
2020-03-21,2164,205,2151,7,0
2020-03-22,2385,221,2372,7,0
2020-03-23,2625,240,2609,10,3
2020-03-24,2866,241,2848,12,2
2020-03-25,3084,218,3064,14,2
2020-03-26,3372,288,3352,14,0
2020-03-27,3771,399,3745,19,5
2020-03-28,4015,244,3985,23,4
2020-03-29,4284,269,4251,26,3
2020-03-30,4445,161,4401,32,6
2020-03-31,4641,196,4589,39,7
2020-04-01,4877,236,4820,44,5
2020-04-02,5147,270,5065,50,6
2020-04-03,5370,223,5279,59,9
2020-04-04,5550,180,5456,62,3
2020-04-05,5687,137,5584,71,9
2020-04-06,5865,178,5757,76,5
2020-04-07,6086,221,5965,89,13
2020-04-08,6042,-44,5909,101,12
2020-04-09,6219,177,6079,108,7
2020-04-10,6314,95,6169,113,5
2020-04-11,6409,95,6258,119,6
2020-04-12,6525,116,6365,128,9
2020-04-13,6603,78,6437,134,6
2020-04-14,6623,20,6452,139,5
2020-04-15,6797,174,6615,150,11
2020-04-16,6905,108,6721,152,2
2020-04-17,6937,32,6744,161,9
2020-04-18,7036,99,6840,164,3
2020-04-19,7078,42,6881,165,1
2020-04-20,7156,78,6943,181,16
2020-04-21,7241,85,7027,182,1
2020-04-22,7338,97,7119,187,5
2020-04-23,7401,63,7175,194,7
2020-04-24,7463,62,7232,199,5
2020-04-25,7493,30,7260,201,2
2020-04-26,7527,34,7294,201,0
2020-04-27,7599,72,7362,205,4
2020-04-28,7660,61,7422,206,1
2020-04-29,7710,50,7471,207,1
2020-04-30,7738,28,7496,210,3
2020-05-01,7783,45,7541,210,0
2020-05-02,7809,26,7566,211,1
2020-05-03,7847,38,7604,211,0
2020-05-04,7904,57,7658,214,3
2020-05-05,7955,51,7708,215,1
2020-05-06,7996,41,7748,216,1
2020-05-07,8034,38,7785,217,1
2020-05-08,8070,36,7820,218,1
2020-05-09,8099,29,7848,219,1
2020-05-10,8105,6,7854,219,0
