time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,1,0,1,0,0
2020-03-08,1,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,2,1,2,0,0
2020-03-11,5,3,5,0,0
2020-03-12,6,1,6,0,0
2020-03-13,6,0,6,0,0
2020-03-14,7,1,7,0,0
2020-03-15,8,1,8,0,0
2020-03-16,8,0,8,0,0
2020-03-17,9,1,9,0,0
2020-03-18,11,2,11,0,0
2020-03-19,13,2,13,0,0
2020-03-20,18,5,18,0,0
2020-03-21,22,4,21,1,0
2020-03-22,22,0,21,1,0
2020-03-23,22,0,21,1,0
2020-03-24,27,5,25,2,1
2020-03-25,37,10,34,3,1
2020-03-26,41,4,38,3,0
2020-03-27,52,11,48,3,0
2020-03-28,56,4,52,3,0
2020-03-29,59,3,55,3,0
2020-03-30,64,5,60,3,0
2020-03-31,65,1,61,3,0
2020-04-01,69,4,65,3,0
2020-04-02,77,8,72,3,0
2020-04-03,92,15,83,3,0
2020-04-04,96,4,81,3,0
2020-04-05,104,8,89,3,0
2020-04-06,113,9,96,5,2
2020-04-07,115,2,95,5,0
2020-04-08,119,4,99,5,0
2020-04-09,124,5,101,5,0
2020-04-10,129,5,105,6,1
2020-04-11,133,4,109,6,0
2020-04-12,134,1,106,6,0
2020-04-13,147,13,119,6,0
2020-04-14,159,12,130,7,1
2020-04-15,161,2,130,8,1
2020-04-16,174,13,136,8,0
2020-04-17,199,25,161,8,0
2020-04-18,202,3,159,8,0
2020-04-19,206,4,157,8,0
2020-04-20,208,2,154,8,0
2020-04-21,208,0,147,8,0
2020-04-22,213,5,142,9,1
2020-04-23,213,0,137,9,0
2020-04-24,220,7,141,9,0
2020-04-25,223,3,136,9,0
2020-04-26,228,5,134,9,0
2020-04-27,228,0,126,9,0
2020-04-28,230,2,126,9,0
2020-04-29,239,9,128,9,0
2020-04-30,249,10,129,9,0
2020-05-01,266,17,143,10,1
2020-05-02,333,67,208,10,0
2020-05-03,370,37,241,10,0
2020-05-04,396,26,260,10,0
2020-05-05,431,35,286,10,0
2020-05-06,440,9,288,10,0
2020-05-07,462,22,304,10,0
2020-05-08,563,101,401,10,0
2020-05-09,689,126,524,10,0
2020-05-10,713,24,538,10,0
2020-05-11,724,11,544,10,0
2020-05-12,737,13,554,10,0
2020-05-13,740,3,547,11,1
2020-05-14,754,14,559,11,0
2020-05-15,759,5,555,11,0
2020-05-16,778,19,569,11,0
2020-05-17,786,8,573,11,0
