time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,1,0,1,0,0
2020-03-07,6,5,6,0,0
2020-03-08,7,1,7,0,0
2020-03-09,9,2,9,0,0
2020-03-10,11,2,11,0,0
2020-03-11,17,6,17,0,0
2020-03-12,22,5,22,0,0
2020-03-13,38,16,38,0,0
2020-03-14,43,5,43,0,0
2020-03-15,71,28,71,0,0
2020-03-16,86,15,85,0,0
2020-03-17,117,31,116,0,0
2020-03-18,145,28,144,0,0
2020-03-19,234,89,232,1,0
2020-03-20,263,29,261,1,0
2020-03-21,318,55,313,4,3
2020-03-22,363,45,356,6,2
2020-03-23,395,32,387,7,1
2020-03-24,416,21,406,9,2
2020-03-25,480,64,469,10,1
2020-03-26,580,100,552,14,4
2020-03-27,635,55,599,20,6
2020-03-28,671,36,627,28,8
2020-03-29,852,181,804,32,4
2020-03-30,950,98,853,44,12
2020-03-31,1065,115,614,57,13
2020-04-01,1323,258,852,77,20
2020-04-02,1414,91,787,90,13
2020-04-03,1595,181,953,105,15
2020-04-04,1746,151,694,138,33
2020-04-05,2281,535,1109,183,45
2020-04-06,2561,280,1365,199,16
2020-04-07,2954,393,1424,229,30
2020-04-08,4342,1388,2751,258,29
2020-04-09,5256,914,3503,315,57
2020-04-10,5897,641,3962,366,51
2020-04-11,6848,951,4690,419,53
2020-04-12,7519,671,5257,464,45
2020-04-13,9784,2265,6611,531,67
2020-04-14,10303,519,6837,597,66
2020-04-15,11475,1172,7683,684,87
2020-04-16,12491,1016,5595,776,92
2020-04-17,13489,998,6073,875,99
2020-04-18,14420,931,6763,973,98
2020-04-19,15628,1208,7739,1078,105
2020-04-20,16325,697,8165,1192,114
2020-04-21,17837,1512,9547,1308,116
2020-04-22,19250,1413,10801,1422,114
2020-04-23,20914,1664,11933,1559,137
2020-04-24,21648,734,12456,1696,137
2020-04-25,25331,3683,15691,1843,147
2020-04-26,27517,2186,17446,1983,140
2020-04-27,28699,1182,18129,2145,162
2020-04-28,31190,2491,19699,2312,167
2020-04-29,33931,2741,21408,2486,174
2020-04-30,36976,3045,23923,2648,162
2020-05-01,40459,3483,26497,2833,185
2020-05-02,42534,2075,27052,3048,215
2020-05-03,45928,3394,29127,3251,203
2020-05-04,47372,1444,29469,3476,225
2020-05-05,51189,3817,32098,3678,202
2020-05-06,54817,3628,33384,3906,228
2020-05-07,58526,3709,35993,4145,239
2020-05-08,61847,3321,38483,4352,207
2020-05-09,65015,3168,40194,4575,223
2020-05-10,67307,2292,41143,4815,240
