time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,1,0,1,0,0,0
2020-03-05,1,0,1,0,0,0
2020-03-06,5,4,5,0,0,0
2020-03-07,6,1,6,0,0,0
2020-03-08,11,5,11,0,0,0
2020-03-09,17,6,17,0,0,0
2020-03-10,22,5,22,0,0,0
2020-03-11,31,9,31,0,0,0
2020-03-12,51,20,50,1,0,0
2020-03-13,68,17,66,2,1,0
2020-03-14,104,36,88,3,1,13
2020-03-15,125,21,109,3,0,0
2020-03-16,177,52,160,4,1,0
2020-03-17,238,61,220,5,1,0
2020-03-18,287,49,269,5,0,0
2020-03-19,355,68,337,5,0,0
2020-03-20,425,70,407,5,0,0
2020-03-21,536,111,518,5,0,0
2020-03-22,634,98,614,7,2,0
2020-03-23,749,115,728,8,1,0
2020-03-24,901,152,890,10,2,-12
2020-03-25,1051,150,1030,14,4,6
2020-03-26,1221,170,1198,16,2,0
2020-03-27,1389,168,1366,16,0,0
2020-03-28,1638,249,1613,18,2,0
2020-03-29,1862,224,1833,22,4,0
2020-03-30,2055,193,2017,31,9,0
2020-03-31,2311,256,2271,33,2,0
2020-04-01,2554,243,2455,43,10,49
2020-04-02,2946,392,2833,57,14,0
2020-04-03,3383,437,3256,71,14,0
2020-04-04,3627,244,3432,79,8,60
2020-04-05,4102,475,3874,94,15,18
2020-04-06,4413,311,4144,107,13,28
2020-04-07,4848,435,4528,129,22,29
2020-04-08,5205,357,4824,159,30,31
2020-04-09,5575,370,5117,174,15,62
2020-04-10,5955,380,5456,181,7,34
2020-04-11,6356,401,5773,208,27,57
2020-04-12,6674,318,6003,232,24,64
2020-04-13,6934,260,6202,245,13,48
2020-04-14,7202,268,6321,263,18,131
2020-04-15,7582,380,6628,286,23,50
2020-04-16,7918,336,6830,314,28,106
2020-04-17,8379,461,7181,332,18,92
2020-04-18,8742,363,7414,347,15,115
2020-04-19,9287,545,7887,360,13,59
2020-04-20,9593,306,8080,380,20,93
2020-04-21,9856,263,8158,401,21,164
2020-04-22,10169,313,8230,426,25,216
2020-04-23,10511,342,8317,454,28,227
2020-04-24,10892,381,8454,494,40,204
2020-04-25,11273,381,8623,524,30,182
2020-04-26,11617,344,8817,535,11,139
2020-04-27,11902,285,8874,562,27,201
2020-04-28,12218,316,8967,596,34,189
2020-04-29,12640,422,8991,624,28,370
2020-04-30,12877,237,8997,644,20,211
2020-05-01,13105,228,8963,651,7,255
2020-05-02,13375,270,8949,664,13,271
2020-05-03,13693,318,9070,678,14,183
2020-05-04,14006,313,9213,698,20,150
2020-05-05,14431,425,9435,716,18,185
2020-05-06,14740,309,9352,733,17,375
2020-05-07,15047,307,9430,755,22,207
2020-05-08,15366,319,9406,776,21,322
2020-05-09,15651,285,9429,785,9,253
2020-05-10,15996,345,9498,800,15,261
2020-05-11,16326,330,9699,811,11,118
2020-05-12,16921,595,9951,839,28,315
2020-05-13,17204,283,9933,861,22,279
2020-05-14,17615,411,10036,883,22,286
2020-05-15,18016,401,10191,907,24,222
2020-05-16,18257,241,10167,915,8,257
2020-05-17,18529,272,10153,925,10,276
2020-05-18,18885,356,10321,936,11,177
2020-05-19,19268,383,10417,948,12,275
2020-05-20,19739,471,10594,962,14,280
2020-05-21,20143,404,10719,972,10,269
2020-05-22,20619,476,10906,982,10,279
2020-05-23,20931,312,10961,993,11,246
2020-05-24,21326,395,11136,996,3,217
2020-05-25,21631,305,11348,1007,11,82
2020-05-26,22074,443,11030,1024,17,744
2020-05-27,22473,399,11115,1028,4,310
2020-05-28,22825,352,11227,1038,10,230
2020-05-29,23155,330,11412,1051,13,132
2020-05-30,23571,416,11494,1061,10,324
2020-05-31,23786,215,11451,1064,3,255
2020-06-01,24165,379,11642,1074,10,178
2020-06-02,24395,230,11577,1092,18,277
2020-06-03,24687,292,11558,1115,23,288
2020-06-04,25048,361,11704,1117,2,213
2020-06-05,25410,362,11863,1137,20,183
2020-06-06,25986,576,12192,1153,16,231
2020-06-07,26561,575,12549,1157,4,214
2020-06-08,27160,599,12996,1166,9,143
2020-06-09,27560,400,13181,1183,17,198
2020-06-10,27842,282,13225,1206,23,215
2020-06-11,28201,359,13290,1215,9,285
2020-06-12,28577,376,13550,1222,7,109
2020-06-13,29017,440,13676,1237,15,299
2020-06-14,29392,375,13919,1247,10,122
