time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,1,0,1,0,0
2020-02-28,1,0,1,0,0
2020-02-29,1,0,1,0,0
2020-03-01,9,8,8,1,1
2020-03-02,9,0,8,1,0
2020-03-03,11,2,10,1,0
2020-03-04,17,6,16,1,0
2020-03-05,22,5,21,1,0
2020-03-06,24,2,23,1,0
2020-03-07,27,3,26,1,0
2020-03-08,37,10,36,1,0
2020-03-09,51,14,49,2,1
2020-03-10,62,11,60,2,0
2020-03-11,69,7,66,3,1
2020-03-12,72,3,67,5,2
2020-03-13,80,8,73,5,0
2020-03-14,101,21,92,5,0
2020-03-15,109,8,98,7,2
2020-03-16,109,0,96,9,2
2020-03-17,119,10,104,11,2
2020-03-18,140,21,122,14,3
2020-03-19,144,4,126,14,0
2020-03-20,151,7,133,14,0
2020-03-21,160,9,136,20,6
2020-03-22,175,15,151,20,0
2020-03-23,187,12,163,20,0
2020-03-24,187,0,162,21,1
2020-03-25,208,21,183,21,0
2020-03-26,208,0,183,21,0
2020-03-27,223,15,196,21,0
2020-03-28,224,1,196,22,1
2020-03-29,224,0,196,22,0
2020-03-30,230,6,192,25,3
2020-03-31,236,6,197,26,1
2020-04-01,236,0,195,28,2
2020-04-02,245,9,194,30,2
2020-04-03,251,6,193,32,2
2020-04-04,259,8,200,32,0
2020-04-05,266,7,199,32,0
2020-04-06,277,11,210,32,0
2020-04-07,279,2,205,34,2
2020-04-08,308,29,229,34,0
2020-04-09,333,25,250,34,0
2020-04-10,344,11,260,34,0
2020-04-11,356,12,268,35,1
2020-04-12,356,0,268,35,0
2020-04-13,371,15,282,36,1
2020-04-14,372,1,283,36,0
2020-04-15,393,21,304,36,0
2020-04-16,426,33,333,38,2
2020-04-17,435,9,339,39,1
2020-04-18,455,20,356,39,0
2020-04-19,461,6,362,39,0
2020-04-20,462,1,362,39,0
2020-04-21,476,14,374,40,1
2020-04-22,488,12,386,40,0
2020-04-23,501,13,398,40,0
2020-04-24,513,12,409,40,0
2020-04-25,513,0,409,40,0
2020-04-26,538,25,433,41,1
2020-04-27,538,0,433,41,0
2020-04-28,553,15,448,41,0
2020-04-29,563,10,453,41,0
2020-04-30,569,6,450,41,0
2020-05-01,580,11,457,41,0
2020-05-02,580,0,456,41,0
2020-05-03,582,2,455,41,0
2020-05-04,582,0,455,41,0
2020-05-05,589,7,456,41,0
2020-05-06,608,19,470,41,0
2020-05-07,622,14,475,41,0
2020-05-08,623,1,468,41,0
2020-05-09,628,5,461,41,0
2020-05-10,628,0,461,41,0
2020-05-11,628,0,457,41,0
2020-05-12,638,10,436,41,0
2020-05-13,643,5,441,41,0
2020-05-14,648,5,435,41,0
2020-05-15,652,4,422,41,0
2020-05-16,653,1,414,41,0
2020-05-17,654,1,412,41,0
