time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,1,0,1,0,0,0
2020-03-03,1,0,1,0,0,0
2020-03-04,2,1,2,0,0,0
2020-03-05,5,3,4,0,0,1
2020-03-06,5,0,4,0,0,0
2020-03-07,7,2,6,0,0,0
2020-03-08,11,4,10,0,0,0
2020-03-09,20,9,19,0,0,0
2020-03-10,20,0,19,0,0,0
2020-03-11,45,25,44,0,0,0
2020-03-12,45,0,44,0,0,0
2020-03-13,86,41,85,0,0,0
2020-03-14,103,17,102,0,0,0
2020-03-15,118,15,115,0,0,2
2020-03-16,133,15,127,0,0,3
2020-03-17,171,38,165,0,0,0
2020-03-18,238,67,232,0,0,0
2020-03-19,274,36,266,0,0,2
2020-03-20,344,70,336,0,0,0
2020-03-21,392,48,376,0,0,8
2020-03-22,511,119,494,0,0,1
2020-03-23,562,51,543,0,0,2
2020-03-24,767,205,738,1,1,9
2020-03-25,900,133,869,2,1,1
2020-03-26,1012,112,976,3,1,4
2020-03-27,1104,92,1066,3,0,2
2020-03-28,1203,99,1162,4,1,2
2020-03-29,1299,96,1225,8,4,29
2020-03-30,1453,154,1330,8,0,49
2020-03-31,1563,110,1388,10,2,50
2020-04-01,1720,157,1440,16,6,99
2020-04-02,1885,165,1536,21,5,64
2020-04-03,2039,154,1663,25,4,23
2020-04-04,2179,140,1730,29,4,69
2020-04-05,2402,223,1880,34,5,68
2020-04-06,2605,203,2016,38,4,63
2020-04-07,2795,190,2139,41,3,64
2020-04-08,2932,137,2260,41,0,16
2020-04-09,3287,355,2577,44,3,35
2020-04-10,3651,364,2919,47,3,19
2020-04-11,4033,382,3261,52,5,35
2020-04-12,4462,429,3642,59,7,41
2020-04-13,4934,472,4064,65,6,44
2020-04-14,5369,435,4407,73,8,84
2020-04-15,5862,493,4852,79,6,42
2020-04-16,6380,518,5307,83,4,59
2020-04-17,7142,762,6006,87,4,59
2020-04-18,8274,1132,6853,92,5,280
2020-04-19,9362,1088,7867,97,5,69
2020-04-20,10484,1122,8891,103,6,92
2020-04-21,11631,1147,9882,109,6,150
2020-04-22,12772,1141,10846,114,5,172
2020-04-23,13930,1158,11884,121,7,113
2020-04-24,15102,1172,12926,127,6,124
2020-04-25,16299,1197,13948,136,9,166
2020-04-26,17522,1223,15026,139,3,142
2020-04-27,18811,1289,16136,144,5,174
2020-04-28,20077,1266,17141,152,8,253
2020-04-29,21402,1325,18292,157,5,169
2020-04-30,22753,1351,19428,162,5,210
2020-05-01,24097,1344,20373,169,7,392
2020-05-02,25459,1362,21518,176,7,210
2020-05-03,27011,1552,22693,184,8,369
2020-05-04,28656,1645,23989,191,7,342
2020-05-05,30251,1595,24620,200,9,955
2020-05-06,31938,1687,24946,209,9,1352
2020-05-07,33731,1793,25714,219,10,1015
2020-05-08,35432,1701,26083,229,10,1322
2020-05-09,37136,1704,26753,239,10,1024
2020-05-10,39048,1912,27345,246,7,1313
2020-05-11,41014,1966,28022,255,9,1280
2020-05-12,42925,1911,27404,264,9,2520
2020-05-13,44830,1905,26935,273,9,2365
2020-05-14,46869,2039,27535,283,10,1429
2020-05-15,49176,2307,27015,292,9,2818
2020-05-16,52016,2840,28048,302,10,1797
2020-05-17,54752,2736,28718,312,10,2056
2020-05-18,57345,2593,28277,320,8,3026
2020-05-19,59854,2509,27891,329,9,2886
2020-05-20,62545,2691,28728,339,10,1844
2020-05-21,65077,2532,28686,351,12,2562
2020-05-22,67719,2642,28352,364,13,2963
2020-05-23,70161,2442,28546,379,15,2233
2020-05-24,72560,2399,28650,390,11,2284
2020-05-25,74795,2235,28728,399,9,2148
2020-05-26,76726,1931,27865,411,12,2782
2020-05-27,78541,1815,27094,425,14,2572
2020-05-28,80185,1644,25191,441,16,3531
2020-05-29,81766,1581,24295,458,17,2460
2020-05-30,83384,1618,24021,480,22,1870
2020-05-31,85261,1877,22316,503,23,3559
2020-06-01,87142,1881,22311,525,22,1864
2020-06-02,89011,1869,22672,549,24,1484
2020-06-03,91182,2171,22444,579,30,2369
2020-06-04,93157,1975,23581,611,32,806
2020-06-05,95748,2591,24490,642,31,1651
2020-06-06,98869,3121,26402,676,34,1175
2020-06-07,101914,3045,28385,712,36,1026
2020-06-08,105283,3369,30013,746,34,1707
2020-06-09,108571,3288,31449,783,37,1815
2020-06-10,112288,3717,33515,819,36,1615
2020-06-11,116021,3733,35145,857,38,2065
