time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,1,0,1,0,0
2020-03-03,2,1,2,0,0
2020-03-04,4,2,4,0,0
2020-03-05,4,0,4,0,0
2020-03-06,4,0,3,0,0
2020-03-07,4,0,3,0,0
2020-03-08,4,0,3,0,0
2020-03-09,4,0,3,0,0
2020-03-10,4,0,3,0,0
2020-03-11,4,0,3,0,0
2020-03-12,10,6,9,0,0
2020-03-13,21,11,19,0,0
2020-03-14,24,3,22,0,0
2020-03-15,24,0,22,0,0
2020-03-16,27,3,25,0,0
2020-03-17,27,0,25,0,0
2020-03-18,36,9,34,0,0
2020-03-19,36,0,34,0,0
2020-03-20,47,11,42,0,0
2020-03-21,56,9,51,0,0
2020-03-22,67,11,62,0,0
2020-03-23,79,12,71,0,0
2020-03-24,86,7,78,0,0
2020-03-25,99,13,90,0,0
2020-03-26,105,6,96,0,0
2020-03-27,119,14,108,0,0
2020-03-28,130,11,112,0,0
2020-03-29,142,12,115,0,0
2020-03-30,162,20,135,0,0
2020-03-31,175,13,135,0,0
2020-04-01,190,15,144,1,1
2020-04-02,195,5,139,1,0
2020-04-03,207,12,140,1,0
2020-04-04,219,12,145,2,1
2020-04-05,222,3,138,2,0
2020-04-06,226,4,132,2,0
2020-04-07,237,11,130,2,0
2020-04-08,244,7,129,2,0
2020-04-09,250,6,125,2,0
2020-04-10,265,15,126,2,0
2020-04-11,278,13,124,2,0
2020-04-12,280,2,107,2,0
2020-04-13,291,11,111,2,0
2020-04-14,299,8,114,2,0
2020-04-15,314,15,122,2,0
2020-04-16,335,21,139,2,0
2020-04-17,342,7,142,2,0
2020-04-18,350,8,136,3,1
2020-04-19,367,17,144,3,0
2020-04-20,377,10,137,5,2
2020-04-21,412,35,165,5,0
2020-04-22,442,30,183,6,1
2020-04-23,479,37,216,6,0
2020-04-24,545,66,276,7,1
2020-04-25,614,69,331,7,0
2020-04-26,671,57,379,9,2
2020-04-27,736,65,443,9,0
2020-04-28,823,87,518,9,0
2020-04-29,882,59,558,9,0
2020-04-30,933,51,590,9,0
2020-05-01,1024,91,659,9,0
2020-05-02,1115,91,738,9,0
2020-05-03,1182,67,801,9,0
2020-05-04,1271,89,846,10,1
2020-05-05,1329,58,848,11,1
2020-05-06,1433,104,928,12,1
2020-05-07,1492,59,917,13,1
2020-05-08,1551,59,927,13,0
2020-05-09,1634,83,974,17,4
2020-05-10,1709,75,1040,19,2
2020-05-11,1886,177,1152,19,0
2020-05-12,1995,109,1234,19,0
2020-05-13,2105,110,1302,21,2
2020-05-14,2189,84,1324,23,2
2020-05-15,2310,121,1395,25,2
2020-05-16,2429,119,1455,25,0
