time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,2,0,2
2020-03-15,3,1,3
2020-03-16,3,0,3
2020-03-17,4,1,4
2020-03-18,6,2,6
2020-03-19,6,0,6
2020-03-20,7,1,7
2020-03-21,7,0,7
2020-03-22,7,0,7
2020-03-23,7,0,7
2020-03-24,7,0,7
2020-03-25,7,0,7
2020-03-26,7,0,7
2020-03-27,7,0,7
2020-03-28,8,1,8
2020-03-29,8,0,8
2020-03-30,8,0,8
2020-03-31,10,2,10
2020-04-01,10,0,10
2020-04-02,10,0,10
2020-04-03,10,0,10
2020-04-04,10,0,10
2020-04-05,10,0,10
2020-04-06,11,1,11
2020-04-07,11,0,11
2020-04-08,11,0,11
2020-04-09,11,0,11
2020-04-10,11,0,11
2020-04-11,11,0,11
2020-04-12,11,0,11
2020-04-13,11,0,11
2020-04-14,11,0,11
2020-04-15,11,0,11
2020-04-16,11,0,11
2020-04-17,11,0,6
2020-04-18,11,0,6
2020-04-19,11,0,6
2020-04-20,11,0,6
2020-04-21,11,0,6
2020-04-22,11,0,6
2020-04-23,11,0,5
2020-04-24,11,0,5
2020-04-25,11,0,5
2020-04-26,11,0,5
2020-04-27,11,0,5
2020-04-28,11,0,5
2020-04-29,11,0,5
2020-04-30,11,0,5
2020-05-01,11,0,5
2020-05-02,11,0,5
2020-05-03,11,0,5
2020-05-04,11,0,5
2020-05-05,11,0,3
2020-05-06,11,0,3
2020-05-07,11,0,3
2020-05-08,11,0,3
2020-05-09,11,0,3
2020-05-10,11,0,1
2020-05-11,11,0,1
2020-05-12,11,0,1
2020-05-13,11,0,1
2020-05-14,11,0,1
2020-05-15,11,0,1
