time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,72,0,54,0,0
2020-02-16,75,3,56,0,0
2020-02-17,77,2,53,0,0
2020-02-18,81,4,52,0,0
2020-02-19,84,3,50,0,0
2020-02-20,85,1,48,0,0
2020-02-21,86,1,39,0,0
2020-02-22,89,3,40,0,0
2020-02-23,89,0,38,0,0
2020-02-24,90,1,41,0,0
2020-02-25,91,1,33,0,0
2020-02-26,93,2,31,0,0
2020-02-27,96,3,30,0,0
2020-02-28,98,2,29,0,0
2020-02-29,102,4,30,0,0
2020-03-01,106,4,32,0,0
2020-03-02,108,2,30,0,0
2020-03-03,110,2,32,0,0
2020-03-04,112,2,33,0,0
2020-03-05,117,5,36,0,0
2020-03-06,130,13,48,0,0
2020-03-07,138,8,48,0,0
2020-03-08,150,12,60,0,0
2020-03-09,160,10,67,0,0
2020-03-10,166,6,73,0,0
2020-03-11,178,12,82,0,0
2020-03-12,187,9,91,0,0
2020-03-13,200,13,103,0,0
2020-03-14,212,12,107,0,0
2020-03-15,226,14,121,0,0
2020-03-16,243,17,134,0,0
2020-03-17,266,23,152,0,0
2020-03-18,313,47,196,0,0
2020-03-19,345,32,221,0,0
2020-03-20,385,40,254,0,0
2020-03-21,432,47,290,2,2
2020-03-22,455,23,309,2,0
2020-03-23,509,54,355,2,0
2020-03-24,558,49,400,2,0
2020-03-25,631,73,469,2,0
2020-03-26,683,52,509,2,0
2020-03-27,732,49,547,2,0
2020-03-28,802,70,602,2,0
2020-03-29,844,42,629,3,1
2020-03-30,879,35,648,3,0
2020-03-31,926,47,683,3,0
2020-04-01,1000,74,752,3,0
2020-04-02,1049,49,779,4,1
2020-04-03,1114,65,827,5,1
2020-04-04,1189,75,886,6,1
2020-04-05,1309,120,983,6,0
2020-04-06,1375,66,1025,6,0
2020-04-07,1481,106,1098,6,0
2020-04-08,1623,142,1211,6,0
2020-04-09,1910,287,1444,6,0
2020-04-10,2108,198,1609,7,1
2020-04-11,2299,191,1763,8,1
2020-04-12,2532,233,1964,8,0
2020-04-13,2918,386,2323,9,1
2020-04-14,3252,334,2631,10,1
2020-04-15,3699,447,3037,10,0
2020-04-16,4427,728,3734,10,0
2020-04-17,5050,623,4331,11,1
2020-04-18,5992,942,5241,11,0
2020-04-19,6588,596,5809,11,0
2020-04-20,8014,1426,7202,11,0
2020-04-21,9125,1111,8275,11,0
2020-04-22,10141,1016,9233,12,1
2020-04-23,11178,1037,10242,12,0
2020-04-24,12075,897,11107,12,0
2020-04-25,12693,618,11679,12,0
2020-04-26,13624,931,12552,12,0
2020-04-27,14423,799,13314,14,2
2020-04-28,14951,528,13809,14,0
2020-04-29,15641,690,14439,14,0
2020-04-30,16169,528,14910,15,1
2020-05-01,17101,932,15817,16,1
2020-05-02,17548,447,16184,17,1
2020-05-03,18205,657,16779,18,1
2020-05-04,18778,573,17303,18,0
2020-05-05,19410,632,17873,18,0
2020-05-06,20198,788,18544,20,2
2020-05-07,20939,741,19207,20,0
2020-05-08,21707,768,19647,20,0
2020-05-09,22460,753,20144,20,0
2020-05-10,23336,876,20595,20,0
2020-05-11,23787,451,20541,21,1
2020-05-12,24671,884,20799,21,0
2020-05-13,25346,675,20516,21,0
2020-05-14,26098,752,20104,21,0
2020-05-15,26891,793,19622,21,0
2020-05-16,27356,465,18992,22,1
2020-05-17,28038,682,18676,22,0
2020-05-18,28343,305,18486,22,0
2020-05-19,28794,451,18407,22,0
2020-05-20,29364,570,18135,22,0
2020-05-21,29812,448,17672,23,1
2020-05-22,30426,614,17408,23,0
2020-05-23,31068,642,17163,23,0
2020-05-24,31616,548,16717,23,0
2020-05-25,31960,344,16199,23,0
2020-05-26,32343,383,15876,23,0
2020-05-27,32876,533,15577,23,0
2020-05-28,33249,373,14932,23,0
2020-05-29,33860,611,14206,23,0
2020-05-30,34366,506,13616,23,0
2020-05-31,34884,518,13162,23,0
2020-06-01,35292,408,12802,24,1
2020-06-02,35836,544,12637,24,0
2020-06-03,36405,569,12799,24,0
2020-06-04,36922,517,12994,24,0
2020-06-05,37183,261,12950,24,0
2020-06-06,37527,344,12943,25,1
2020-06-07,37910,383,12999,25,0
2020-06-08,38296,386,12903,25,0
2020-06-09,38514,218,12612,25,0
2020-06-10,38965,451,12408,25,0
2020-06-11,39387,422,12076,25,0
2020-06-12,39850,463,11785,25,0
2020-06-13,40197,347,11363,26,1
2020-06-14,40604,407,10989,26,0
2020-06-15,40818,214,10426,26,0
2020-06-16,40969,151,9780,26,0
2020-06-17,41216,247,9252,26,0
2020-06-18,41473,257,8735,26,0
2020-06-19,41615,142,8130,26,0
2020-06-20,41833,218,7583,26,0
2020-06-21,42095,262,7127,26,0
2020-06-22,42313,218,6697,26,0
2020-06-23,42432,119,6411,26,0
2020-06-24,42623,191,6298,26,0
2020-06-25,42736,113,6106,26,0
2020-06-26,42955,219,6104,26,0
2020-06-27,43246,291,6057,26,0
2020-06-28,43459,213,5925,26,0
2020-06-29,43661,202,5650,26,0
2020-06-30,43907,246,5381,26,0
