time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,1,0,1,0,0
2020-03-05,6,5,6,0,0
2020-03-06,8,2,8,0,0
2020-03-07,12,4,12,0,0
2020-03-08,16,4,16,0,0
2020-03-09,25,9,25,0,0
2020-03-10,34,9,34,0,0
2020-03-11,57,23,57,0,0
2020-03-12,96,39,96,0,0
2020-03-13,141,45,141,0,0
2020-03-14,181,40,180,1,0
2020-03-15,219,38,218,1,0
2020-03-16,253,34,252,1,0
2020-03-17,275,22,274,1,0
2020-03-18,286,11,285,1,0
2020-03-19,319,33,318,1,0
2020-03-20,341,22,340,1,0
2020-03-21,383,42,382,1,0
2020-03-22,414,31,412,2,1
2020-03-23,442,28,439,3,1
2020-03-24,480,38,473,4,1
2020-03-25,528,48,513,5,1
2020-03-26,562,34,546,6,1
2020-03-27,632,70,613,9,3
2020-03-28,684,52,665,9,0
2020-03-29,730,46,709,11,2
2020-03-30,756,26,735,11,0
2020-03-31,802,46,777,15,4
2020-04-01,841,39,816,15,0
2020-04-02,897,56,810,17,2
2020-04-03,934,37,844,20,3
2020-04-04,977,43,876,22,2
2020-04-05,997,20,890,28,6
2020-04-06,1021,24,889,30,2
2020-04-07,1059,38,921,36,6
2020-04-08,1091,32,931,40,4
2020-04-09,1124,33,953,43,3
2020-04-10,1160,36,978,45,2
2020-04-11,1188,28,990,50,5
2020-04-12,1205,17,1002,53,3
2020-04-13,1212,7,1005,55,2
2020-04-14,1220,8,1012,56,1
2020-04-15,1248,28,1022,61,5
2020-04-16,1268,20,1033,61,0
2020-04-17,1304,36,1064,66,5
2020-04-18,1317,13,1057,70,4
2020-04-19,1330,13,1064,74,4
2020-04-20,1335,5,1065,77,3
2020-04-21,1344,9,1070,77,0
2020-04-22,1353,9,1069,79,2
2020-04-23,1366,13,1076,79,0
2020-04-24,1373,7,1082,80,1
2020-04-25,1388,15,1088,81,1
2020-04-26,1396,8,1093,82,1
2020-04-27,1402,6,1098,83,1
2020-04-28,1408,6,1099,86,3
2020-04-29,1418,10,1099,89,3
2020-04-30,1429,11,1105,91,2
2020-05-01,1434,5,1109,92,1
2020-05-02,1439,5,1106,94,2
2020-05-03,1439,0,1102,96,2
2020-05-04,1439,0,1101,97,1
2020-05-05,1445,6,1103,98,1
2020-05-06,1448,3,1103,99,1
2020-05-07,1449,1,1103,99,0
2020-05-08,1450,1,1098,100,1
2020-05-09,1454,4,1098,101,1
2020-05-10,1457,3,1099,102,1
2020-05-11,1460,3,1102,102,0
2020-05-12,1461,1,1100,102,0
2020-05-13,1463,2,1100,103,1
