time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,28,0,19,0,0
2020-02-16,29,1,20,0,0
2020-02-17,30,1,20,0,0
2020-02-18,31,1,19,0,0
2020-02-19,58,27,42,0,0
2020-02-20,111,53,94,1,1
2020-02-21,209,98,190,2,1
2020-02-22,436,227,416,2,0
2020-02-23,602,166,578,6,4
2020-02-24,833,231,803,8,2
2020-02-25,977,144,944,11,3
2020-02-26,1261,284,1225,12,1
2020-02-27,1766,505,1729,13,1
2020-02-28,2337,571,2297,16,3
2020-02-29,3150,813,3109,17,1
2020-03-01,3736,586,3685,21,4
2020-03-02,4335,599,4277,28,7
2020-03-03,5186,851,5120,32,4
2020-03-04,5621,435,5498,35,3
2020-03-05,6284,663,6107,42,7
2020-03-06,6593,309,6415,43,1
2020-03-07,7041,448,6875,48,5
2020-03-08,7313,272,7097,50,2
2020-03-09,7478,165,7178,53,3
2020-03-10,7513,35,7165,60,7
2020-03-11,7755,242,7362,60,0
2020-03-12,7869,114,7293,66,6
2020-03-13,7979,110,7198,67,1
2020-03-14,8086,107,7180,72,5
2020-03-15,8162,76,7253,75,3
2020-03-16,8236,74,7024,75,0
2020-03-17,8320,84,6838,81,6
2020-03-18,8413,93,6789,84,3
2020-03-19,8565,152,6527,91,7
2020-03-20,8652,87,6325,94,3
2020-03-21,8799,147,6085,102,8
2020-03-22,8897,98,5884,104,2
2020-03-23,8961,64,5684,111,7
2020-03-24,9037,76,5410,120,9
2020-03-25,9137,100,5281,126,6
2020-03-26,9241,104,4966,131,5
2020-03-27,9332,91,4665,139,8
2020-03-28,9478,146,4523,144,5
2020-03-29,9583,105,4398,152,8
2020-03-30,9661,78,4275,158,6
2020-03-31,9786,125,4216,162,4
2020-04-01,9887,101,4155,165,3
2020-04-02,9976,89,3979,169,4
2020-04-03,10062,86,3867,174,5
2020-04-04,10156,94,3654,177,3
2020-04-05,10237,81,3591,183,6
2020-04-06,10284,47,3500,186,3
2020-04-07,10331,47,3445,192,6
2020-04-08,10384,53,3408,200,8
2020-04-09,10423,39,3246,204,4
2020-04-10,10450,27,3125,208,4
2020-04-11,10480,30,3026,211,3
2020-04-12,10512,32,2930,214,3
2020-04-13,10537,25,2873,217,3
2020-04-14,10564,27,2808,222,5
2020-04-15,10591,27,2750,225,3
2020-04-16,10613,22,2627,229,4
2020-04-17,10635,22,2576,230,1
2020-04-18,10653,18,2484,232,2
2020-04-19,10661,8,2385,234,2
2020-04-20,10674,13,2324,236,2
2020-04-21,10683,9,2233,237,1
2020-04-22,10694,11,2179,238,1
2020-04-23,10702,8,2051,240,2
2020-04-24,10708,6,1967,240,0
2020-04-25,10718,10,1843,240,0
2020-04-26,10728,10,1769,242,2
2020-04-27,10738,10,1731,243,1
2020-04-28,10752,14,1654,244,1
2020-04-29,10761,9,1593,246,2
2020-04-30,10765,4,1459,247,1
2020-05-01,10774,9,1454,248,1
2020-05-02,10780,6,1407,250,2
2020-05-03,10793,13,1360,250,0
2020-05-04,10801,8,1332,252,2
2020-05-05,10804,3,1267,254,2
2020-05-06,10806,2,1218,255,1
2020-05-07,10810,4,1135,256,1
2020-05-08,10822,12,1082,256,0
2020-05-09,10840,18,1016,256,0
