time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,0,0,0,0,0
2020-03-24,0,0,0,0,0
2020-03-25,0,0,0,0,0
2020-03-26,0,0,0,0,0
2020-03-27,0,0,0,0,0
2020-03-28,0,0,0,0,0
2020-03-29,0,0,0,0,0
2020-03-30,0,0,0,0,0
2020-03-31,0,0,0,0,0
2020-04-01,0,0,0,0,0
2020-04-02,0,0,0,0,0
2020-04-03,0,0,0,0,0
2020-04-04,0,0,0,0,0
2020-04-05,1,0,1,0,0
2020-04-06,1,0,1,0,0
2020-04-07,2,1,2,0,0
2020-04-08,2,0,2,0,0
2020-04-09,3,1,3,0,0
2020-04-10,4,1,4,0,0
2020-04-11,4,0,4,0,0
2020-04-12,4,0,4,0,0
2020-04-13,4,0,4,0,0
2020-04-14,4,0,4,0,0
2020-04-15,4,0,4,0,0
2020-04-16,4,0,4,0,0
2020-04-17,4,0,4,0,0
2020-04-18,4,0,4,0,0
2020-04-19,4,0,4,0,0
2020-04-20,4,0,4,0,0
2020-04-21,4,0,4,0,0
2020-04-22,4,0,4,0,0
2020-04-23,4,0,4,0,0
2020-04-24,5,1,5,0,0
2020-04-25,5,0,5,0,0
2020-04-26,6,1,6,0,0
2020-04-27,6,0,6,0,0
2020-04-28,34,28,34,0,0
2020-04-29,34,0,34,0,0
2020-04-30,35,1,35,0,0
2020-05-01,45,10,45,0,0
2020-05-02,45,0,45,0,0
2020-05-03,46,1,46,0,0
2020-05-04,46,0,46,0,0
2020-05-05,52,6,52,0,0
2020-05-06,58,6,58,0,0
2020-05-07,74,16,74,0,0
2020-05-08,120,46,118,0,0
2020-05-09,120,0,118,0,0
2020-05-10,120,0,118,0,0
2020-05-11,156,36,154,0,0
2020-05-12,194,38,192,0,0
2020-05-13,203,9,201,0,0
2020-05-14,203,0,200,0,0
2020-05-15,236,33,228,4,0
2020-05-16,236,0,228,4,0
2020-05-17,290,54,282,4,0
