time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,1,0,0,0,0
2020-02-16,1,0,0,0,0
2020-02-17,1,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,1,0,0,0,0
2020-02-21,1,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,1,0,0,0,0
2020-02-26,1,0,0,0,0
2020-02-27,1,0,0,0,0
2020-02-28,1,0,0,0,0
2020-02-29,1,0,0,0,0
2020-03-01,1,0,0,0,0
2020-03-02,1,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,1,0,0,0,0
2020-03-07,1,0,0,0,0
2020-03-08,1,0,0,0,0
2020-03-09,1,0,0,0,0
2020-03-10,1,0,0,0,0
2020-03-11,2,1,1,0,0
2020-03-12,3,1,2,0,0
2020-03-13,6,3,5,0,0
2020-03-14,10,4,9,0,0
2020-03-15,18,8,17,0,0
2020-03-16,28,10,27,0,0
2020-03-17,44,16,43,0,0
2020-03-18,51,7,48,0,0
2020-03-19,60,9,57,0,0
2020-03-20,73,13,70,0,0
2020-03-21,77,4,74,0,0
2020-03-22,82,5,79,0,0
2020-03-23,97,15,95,0,0
2020-03-24,102,5,100,0,0
2020-03-25,102,0,99,0,0
2020-03-26,106,4,99,0,0
2020-03-27,106,0,99,0,0
2020-03-28,113,7,103,1,1
2020-03-29,117,4,105,1,0
2020-03-30,122,5,105,2,1
2020-03-31,143,21,124,2,0
2020-04-01,146,3,122,3,1
2020-04-02,151,5,126,4,1
2020-04-03,159,8,131,4,0
2020-04-04,166,7,134,5,1
2020-04-05,176,10,138,5,0
2020-04-06,178,2,135,5,0
2020-04-07,185,7,137,6,1
2020-04-08,189,4,138,7,1
2020-04-09,190,1,134,7,0
2020-04-10,190,0,129,7,0
2020-04-11,198,8,137,7,0
2020-04-12,210,12,147,7,0
2020-04-13,217,7,154,7,0
2020-04-14,233,16,165,7,0
2020-04-15,238,5,168,7,0
2020-04-16,238,0,163,7,0
2020-04-17,244,6,160,7,0
2020-04-18,254,10,161,7,0
2020-04-19,271,17,168,7,0
2020-04-20,304,33,199,7,0
2020-04-21,310,6,201,7,0
2020-04-22,330,20,218,7,0
2020-04-23,368,38,254,7,0
2020-04-24,417,49,301,7,0
2020-04-25,452,35,327,7,0
2020-04-26,523,71,396,7,0
2020-04-27,588,65,455,7,0
2020-04-28,619,31,478,7,0
2020-04-29,649,30,506,7,0
2020-04-30,663,14,502,7,0
2020-05-01,690,27,521,7,0
2020-05-02,702,12,523,7,0
2020-05-03,718,16,527,7,0
2020-05-04,751,33,549,8,1
2020-05-05,771,20,549,9,1
2020-05-06,797,26,573,9,0
2020-05-07,823,26,582,9,0
2020-05-08,835,12,586,9,0
2020-05-09,847,12,578,9,0
