time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,7,0,7,0,0
2020-03-06,16,9,16,0,0
2020-03-07,19,3,19,0,0
2020-03-08,19,0,19,0,0
2020-03-09,26,7,26,0,0
2020-03-10,31,5,31,0,0
2020-03-11,31,0,31,0,0
2020-03-12,32,1,32,0,0
2020-03-13,36,4,36,0,0
2020-03-14,39,3,39,0,0
2020-03-15,39,0,39,0,0
2020-03-16,40,1,40,0,0
2020-03-17,43,3,43,0,0
2020-03-18,43,0,43,0,0
2020-03-19,45,2,45,0,0
2020-03-20,47,2,30,0,0
2020-03-21,50,3,33,0,0
2020-03-22,57,7,40,0,0
2020-03-23,57,0,40,0,0
2020-03-24,58,1,42,0,0
2020-03-25,63,5,46,1,0
2020-03-26,84,21,66,1,0
2020-03-27,91,7,73,1,0
2020-03-28,98,7,79,1,0
2020-03-29,106,8,87,1,0
2020-03-30,117,11,98,1,0
2020-03-31,119,2,100,1,0
2020-04-01,133,14,114,1,0
2020-04-02,154,21,135,1,0
2020-04-03,193,39,171,1,0
2020-04-04,217,24,195,1,0
2020-04-05,236,19,210,1,0
2020-04-06,254,18,229,1,0
2020-04-07,261,7,218,1,0
2020-04-08,263,2,218,1,0
2020-04-09,263,0,218,1,0
2020-04-10,267,4,220,2,1
2020-04-11,268,1,209,2,0
2020-04-12,271,3,211,2,0
2020-04-13,274,3,214,2,0
2020-04-14,288,14,224,2,0
2020-04-15,291,3,226,2,0
2020-04-16,295,4,230,2,0
2020-04-17,307,12,236,2,0
2020-04-18,313,6,242,2,0
2020-04-19,322,9,249,2,0
2020-04-20,329,7,256,2,0
2020-04-21,334,5,261,2,0
2020-04-22,335,1,262,2,0
2020-04-23,336,1,242,2,0
2020-04-24,340,4,246,2,0
2020-04-25,342,2,248,2,0
2020-04-26,342,0,257,2,0
2020-04-27,342,0,257,2,0
2020-04-28,343,1,270,2,0
2020-04-29,344,1,271,2,0
2020-04-30,344,0,266,2,0
2020-05-01,353,9,275,2,0
2020-05-02,353,0,275,2,0
2020-05-03,353,0,274,2,0
2020-05-04,362,9,258,2,0
2020-05-05,371,9,242,2,0
2020-05-06,374,3,198,2,0
2020-05-07,375,1,197,2,0
2020-05-08,375,0,145,2,0
2020-05-09,375,0,145,2,0
2020-05-10,375,0,110,2,0
2020-05-11,375,0,72,2,0
2020-05-12,375,0,65,2,0
2020-05-13,375,0,63,2,0
2020-05-14,375,0,63,2,0
2020-05-15,375,0,58,2,0
2020-05-16,376,1,45,2,0
2020-05-17,381,5,44,2,0
