time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,1,0,1,0,0
2020-03-15,1,0,1,0,0
2020-03-16,1,0,1,0,0
2020-03-17,1,0,1,0,0
2020-03-18,1,0,1,0,0
2020-03-19,1,0,1,0,0
2020-03-20,1,0,1,0,0
2020-03-21,1,0,1,0,0
2020-03-22,4,3,4,0,0
2020-03-23,4,0,4,0,0
2020-03-24,4,0,4,0,0
2020-03-25,4,0,4,0,0
2020-03-26,6,2,6,0,0
2020-03-27,9,3,9,0,0
2020-03-28,9,0,9,0,0
2020-03-29,9,0,9,0,0
2020-03-30,9,0,9,0,0
2020-03-31,9,0,9,0,0
2020-04-01,9,0,9,0,0
2020-04-02,9,0,9,0,0
2020-04-03,9,0,9,0,0
2020-04-04,9,0,9,0,0
2020-04-05,9,0,9,0,0
2020-04-06,10,1,6,0,0
2020-04-07,10,0,6,0,0
2020-04-08,12,2,5,0,0
2020-04-09,12,0,5,0,0
2020-04-10,12,0,5,0,0
2020-04-11,12,0,5,0,0
2020-04-12,14,2,7,0,0
2020-04-13,15,1,8,0,0
2020-04-14,15,0,7,0,0
2020-04-15,15,0,7,0,0
2020-04-16,16,1,7,1,0
2020-04-17,16,0,7,1,0
2020-04-18,22,6,13,1,0
2020-04-19,22,0,13,1,0
2020-04-20,24,2,15,1,0
2020-04-21,31,7,22,1,0
2020-04-22,31,0,22,1,0
2020-04-23,31,0,22,1,0
2020-04-24,36,5,25,1,0
2020-04-25,56,20,45,1,0
2020-04-26,59,3,48,1,0
2020-04-27,65,6,54,1,0
2020-04-28,71,6,60,1,0
2020-04-29,91,20,80,1,0
2020-04-30,100,9,87,1,0
2020-05-01,106,6,93,1,0
2020-05-02,108,2,95,1,0
2020-05-03,112,4,99,1,0
2020-05-04,116,4,103,1,0
2020-05-05,119,3,106,1,0
2020-05-06,123,4,109,2,1
2020-05-07,153,30,139,2,0
2020-05-08,159,6,145,2,0
2020-05-09,163,4,147,2,0
2020-05-10,172,9,143,2,0
2020-05-11,175,3,145,2,0
2020-05-12,184,9,154,2,0
2020-05-13,187,3,137,2,0
2020-05-14,187,0,134,2,0
2020-05-15,190,3,122,2,0
2020-05-16,202,12,128,2,0
2020-05-17,203,1,128,2,0
