time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,18,0,16,0,0
2020-02-16,20,2,17,1,0
2020-02-17,22,2,19,1,0
2020-02-18,22,0,19,1,0
2020-02-19,23,1,20,1,0
2020-02-20,24,1,21,1,0
2020-02-21,26,2,23,1,0
2020-02-22,26,0,23,1,0
2020-02-23,28,2,25,1,0
2020-02-24,30,2,27,1,0
2020-02-25,31,1,25,1,0
2020-02-26,32,1,26,1,0
2020-02-27,32,0,26,1,0
2020-02-28,34,2,28,1,0
2020-02-29,39,5,29,1,0
2020-03-01,40,1,27,1,0
2020-03-02,41,1,28,1,0
2020-03-03,42,1,29,1,0
2020-03-04,42,0,29,1,0
2020-03-05,44,2,31,1,0
2020-03-06,45,1,29,1,0
2020-03-07,45,0,29,1,0
2020-03-08,45,0,29,1,0
2020-03-09,45,0,29,1,0
2020-03-10,47,2,29,1,0
2020-03-11,48,1,27,1,0
2020-03-12,49,1,28,1,0
2020-03-13,50,1,29,1,0
2020-03-14,53,3,32,1,0
2020-03-15,59,6,38,1,0
2020-03-16,67,8,46,1,0
2020-03-17,77,10,56,1,0
2020-03-18,100,23,77,1,0
2020-03-19,108,8,81,1,0
2020-03-20,135,27,105,2,1
2020-03-21,153,18,123,2,0
2020-03-22,169,16,139,2,0
2020-03-23,195,26,165,2,0
2020-03-24,216,21,185,2,0
2020-03-25,235,19,204,2,0
2020-03-26,252,17,221,2,0
2020-03-27,267,15,235,2,0
2020-03-28,283,16,251,2,0
2020-03-29,298,15,256,3,1
2020-03-30,306,8,262,5,2
2020-03-31,322,16,278,5,0
2020-04-01,329,7,279,5,0
2020-04-02,339,10,284,5,0
2020-04-03,348,9,293,5,0
2020-04-04,355,7,300,5,0
2020-04-05,363,8,304,5,0
2020-04-06,373,10,311,5,0
2020-04-07,376,3,310,5,0
2020-04-08,379,3,307,5,0
2020-04-09,380,1,295,5,0
2020-04-10,382,2,285,6,1
2020-04-11,385,3,280,6,0
2020-04-12,388,3,273,6,0
2020-04-13,393,5,273,6,0
2020-04-14,393,0,263,6,0
2020-04-15,395,2,252,6,0
2020-04-16,395,0,234,6,0
2020-04-17,395,0,223,6,0
2020-04-18,398,3,214,6,0
2020-04-19,420,22,225,6,0
