time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,1,0,1,0,0
2020-03-17,1,0,1,0,0
2020-03-18,3,2,3,0,0
2020-03-19,6,3,6,0,0
2020-03-20,6,0,6,0,0
2020-03-21,6,0,6,0,0
2020-03-22,12,6,12,0,0
2020-03-23,12,0,12,0,0
2020-03-24,12,0,12,0,0
2020-03-25,13,1,13,0,0
2020-03-26,13,0,13,0,0
2020-03-27,13,0,12,0,0
2020-03-28,14,1,13,0,0
2020-03-29,14,0,13,0,0
2020-03-30,19,5,18,0,0
2020-03-31,19,0,17,1,0
2020-04-01,20,1,18,1,0
2020-04-02,20,0,17,1,0
2020-04-03,20,0,16,1,0
2020-04-04,20,0,16,1,0
2020-04-05,22,2,18,1,0
2020-04-06,24,2,20,1,0
2020-04-07,24,0,18,1,0
2020-04-08,25,1,19,1,0
2020-04-09,25,0,19,1,0
2020-04-10,32,7,24,3,2
2020-04-11,32,0,24,3,0
2020-04-12,32,0,24,3,0
2020-04-13,49,17,39,3,0
2020-04-14,53,4,43,3,0
2020-04-15,88,35,73,4,1
2020-04-16,94,6,79,4,0
2020-04-17,147,53,131,5,1
2020-04-18,147,0,131,5,0
2020-04-19,170,23,152,7,2
2020-04-20,254,84,233,10,3
2020-04-21,254,0,233,10,0
2020-04-22,284,30,263,10,0
2020-04-23,284,0,263,10,0
2020-04-24,299,15,241,10,0
2020-04-25,299,0,241,10,0
2020-04-26,299,0,241,10,0
2020-04-27,299,0,241,10,0
2020-04-28,299,0,241,10,0
2020-04-29,480,181,297,16,6
2020-04-30,480,0,297,16,0
2020-05-01,480,0,297,16,0
2020-05-02,480,0,297,16,0
2020-05-03,480,0,297,16,0
2020-05-04,480,0,297,16,0
2020-05-05,480,0,297,16,0
2020-05-06,480,0,297,16,0
2020-05-07,480,0,297,16,0
2020-05-08,509,29,305,21,5
2020-05-09,509,0,305,21,0
2020-05-10,509,0,305,21,0
2020-05-11,509,0,305,21,0
2020-05-12,509,0,305,21,0
2020-05-13,509,0,305,21,0
2020-05-14,509,0,305,21,0
2020-05-15,509,0,305,21,0
2020-05-16,509,0,305,21,0
2020-05-17,509,0,305,21,0
