time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,1,0,1,0,0
2020-03-22,1,0,1,0,0
2020-03-23,9,8,9,0,0
2020-03-24,9,0,9,0,0
2020-03-25,14,5,14,0,0
2020-03-26,14,0,14,0,0
2020-03-27,23,9,23,0,0
2020-03-28,30,7,30,0,0
2020-03-29,33,3,33,0,0
2020-03-30,33,0,33,0,0
2020-03-31,44,11,44,0,0
2020-04-01,44,0,44,0,0
2020-04-02,45,1,45,0,0
2020-04-03,48,3,48,0,0
2020-04-04,48,0,48,0,0
2020-04-05,52,4,52,0,0
2020-04-06,52,0,52,0,0
2020-04-07,52,0,52,0,0
2020-04-08,53,1,53,0,0
2020-04-09,53,0,53,0,0
2020-04-10,53,0,53,0,0
2020-04-11,53,0,49,0,0
2020-04-12,54,1,50,0,0
2020-04-13,54,0,47,0,0
2020-04-14,55,1,47,0,0
2020-04-15,55,0,43,0,0
2020-04-16,55,0,35,0,0
2020-04-17,55,0,35,0,0
2020-04-18,55,0,33,0,0
2020-04-19,55,0,27,0,0
2020-04-20,56,1,18,0,0
2020-04-21,61,5,23,0,0
2020-04-22,63,2,18,0,0
2020-04-23,74,11,28,0,0
2020-04-24,75,1,29,0,0
2020-04-25,75,0,29,0,0
2020-04-26,79,4,33,0,0
2020-04-27,79,0,32,0,0
2020-04-28,79,0,27,0,0
2020-04-29,81,2,29,0,0
2020-04-30,83,2,31,0,0
2020-05-01,85,2,33,0,0
2020-05-02,88,3,36,0,0
2020-05-03,89,1,37,0,0
2020-05-04,97,8,42,0,0
2020-05-05,98,1,43,0,0
2020-05-06,100,2,45,0,0
2020-05-07,101,1,46,0,0
2020-05-08,101,0,46,0,0
2020-05-09,116,15,61,0,0
2020-05-10,121,5,66,0,0
2020-05-11,121,0,66,0,0
2020-05-12,126,5,71,0,0
2020-05-13,139,13,84,0,0
2020-05-14,160,21,97,0,0
2020-05-15,203,43,140,0,0
2020-05-16,227,24,164,0,0
2020-05-17,227,0,164,0,0
