time,total_cases,daily_cases,total_death,death_per_day
2020-02-15,9,0,0,0
2020-02-16,9,0,0,0
2020-02-17,9,0,0,0
2020-02-18,9,0,0,0
2020-02-19,9,0,0,0
2020-02-20,9,0,0,0
2020-02-21,9,0,0,0
2020-02-22,9,0,0,0
2020-02-23,13,4,0,0
2020-02-24,13,0,0,0
2020-02-25,13,0,0,0
2020-02-26,13,0,0,0
2020-02-27,16,3,0,0
2020-02-28,20,4,0,0
2020-02-29,23,3,0,0
2020-03-01,35,12,0,0
2020-03-02,38,3,0,0
2020-03-03,49,11,0,0
2020-03-04,82,33,0,0
2020-03-05,108,26,1,1
2020-03-06,151,43,1,0
2020-03-07,192,41,2,1
2020-03-08,254,62,2,0
2020-03-09,293,39,3,1
2020-03-10,349,56,7,4
2020-03-11,419,70,7,0
2020-03-12,536,117,9,2
2020-03-13,725,189,10,1
2020-03-14,1035,310,28,18
2020-03-15,1263,228,42,14
2020-03-16,1400,137,64,22
2020-03-17,1769,369,79,15
2020-03-18,2382,613,112,33
2020-03-19,2965,583,154,42
2020-03-20,3612,647,186,32
2020-03-21,4550,938,240,54
2020-03-22,5153,603,264,24
2020-03-23,6030,877,331,67
2020-03-24,7323,1293,474,143
2020-03-25,8639,1316,652,178
2020-03-26,10568,1929,878,226
2020-03-27,13182,2614,1161,283
2020-03-28,15489,2307,1455,294
2020-03-29,17693,2204,1669,214
2020-03-30,20066,2373,2043,374
2020-03-31,22792,2726,2425,382
2020-04-01,26709,3917,3086,661
2020-04-02,30554,3845,3726,640
2020-04-03,34586,4032,4460,734
2020-04-04,37970,3384,5220,760
2020-04-05,43318,5348,5864,644
2020-04-06,46762,3444,6431,567
2020-04-07,50055,3293,7468,1037
2020-04-08,55029,4974,8500,1032
2020-04-09,58964,3935,9606,1106
2020-04-10,66824,7860,10755,1149
2020-04-11,71565,4741,11594,839
2020-04-12,76356,4791,12278,684
2020-04-13,80289,3933,13022,744
2020-04-14,85047,4758,14063,1041
2020-04-15,89217,4170,14903,840
2020-04-16,93400,4183,15931,1028
2020-04-17,98473,5073,16866,935
2020-04-18,103479,5006,17974,1108
2020-04-19,108779,5300,18468,494
2020-04-20,113015,4236,19024,556
2020-04-21,116911,3896,20190,1166
2020-04-22,120944,4033,21013,823
2020-04-23,125096,4152,21731,718
2020-04-24,129975,4879,22733,1002
2020-04-25,134426,4451,23564,831
2020-04-26,138470,4044,23968,404
2020-04-27,142373,3903,24288,320
2020-04-28,145993,3620,25190,902
2020-04-29,149686,3693,25957,767
2020-04-30,155151,5465,26614,657
2020-05-01,160769,5618,27323,709
2020-05-02,165123,4354,27910,587
2020-05-03,169054,3931,28201,291
2020-05-04,172664,3610,28479,278
2020-05-05,176656,3992,29155,676
2020-05-06,182192,5536,29766,611
2020-05-07,187278,5086,30258,492
2020-05-08,191490,4212,30847,589
2020-05-09,195019,3529,31136,289
2020-05-10,198573,3554,31377,241
2020-05-11,202085,3512,31571,194
2020-05-12,205168,3083,32134,563
2020-05-13,208106,2938,32577,443
2020-05-14,211228,3122,32953,376
2020-05-15,214453,3225,33281,328
2020-05-16,217579,3126,33708,427
2020-05-17,220780,3201,33808,100
2020-05-18,223236,2456,33958,150
2020-05-19,225421,2185,34430,472
2020-05-20,226793,1372,34739,309
2020-05-21,229162,2369,35023,284
2020-05-22,232140,2978,35331,308
2020-05-23,234821,2681,35561,230
2020-05-24,237000,2179,35947,386
2020-05-25,238472,1472,36050,103
2020-05-26,240287,1815,36174,124
2020-05-27,242110,1823,36599,425
2020-05-28,243820,1710,36943,344
2020-05-29,245718,1898,37213,270
2020-05-30,247171,1453,37362,149
2020-05-31,248925,1754,37435,73
2020-06-01,250347,1422,37529,94
2020-06-02,251844,1497,37766,237
2020-06-03,253539,1695,38015,249
2020-06-04,255175,1636,38154,139
2020-06-05,256670,1495,38407,253
2020-06-06,258080,1410,38558,151
2020-06-07,259281,1201,38619,61
2020-06-08,260373,1092,38666,47
