time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,1,0,1,0,0
2020-03-08,1,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,1,0,1,0,0
2020-03-11,1,0,1,0,0
2020-03-12,3,2,3,0,0
2020-03-13,3,0,2,1,1
2020-03-14,3,0,2,1,0
2020-03-15,3,0,2,1,0
2020-03-16,7,4,6,1,0
2020-03-17,14,7,12,2,1
2020-03-18,16,2,14,2,0
2020-03-19,26,10,23,3,1
2020-03-20,41,15,37,3,0
2020-03-21,47,6,43,3,0
2020-03-22,73,26,69,3,0
2020-03-23,73,0,69,3,0
2020-03-24,102,29,98,3,0
2020-03-25,145,43,139,5,2
2020-03-26,196,51,190,5,0
2020-03-27,310,114,300,5,0
2020-03-28,356,46,342,9,4
2020-03-29,475,119,459,10,1
2020-03-30,548,73,527,13,3
2020-03-31,645,97,618,17,4
2020-04-01,794,149,761,20,3
2020-04-02,897,103,856,22,2
2020-04-03,1072,175,1023,27,5
2020-04-04,1225,153,1168,32,5
2020-04-05,1308,83,1243,37,5
2020-04-06,1319,11,1253,38,1
2020-04-07,1462,143,1389,45,7
2020-04-08,1668,206,1581,52,7
2020-04-09,1892,224,1790,57,5
2020-04-10,2203,311,2073,69,12
2020-04-11,2511,308,2359,73,4
2020-04-12,2777,266,2605,83,10
2020-04-13,3102,325,2912,93,10
2020-04-14,3372,270,3155,98,5
2020-04-15,3764,392,3513,108,10
2020-04-16,4161,397,3859,116,8
2020-04-17,4662,501,4291,125,9
2020-04-18,5106,444,4698,133,8
2020-04-19,5449,343,4961,141,8
2020-04-20,5710,261,5200,151,10
2020-04-21,6125,415,5597,161,10
2020-04-22,6592,467,5994,174,13
2020-04-23,7170,578,6479,187,13
2020-04-24,7647,477,6853,193,6
2020-04-25,8125,478,7142,201,8
2020-04-26,8617,492,7568,209,8
2020-04-27,9009,392,7925,220,11
2020-04-28,9410,401,8179,239,19
2020-04-29,9866,456,8513,250,11
2020-04-30,10406,540,8907,261,11
2020-05-01,10861,455,9176,272,11
2020-05-02,11411,550,9634,279,7
2020-05-03,11913,502,10077,288,9
2020-05-04,12331,418,10409,303,15
2020-05-05,12697,366,10506,316,13
2020-05-06,13184,487,10760,327,11
2020-05-07,13691,507,10955,340,13
2020-05-08,14195,504,11128,361,21
2020-05-09,14710,515,11425,376,15
2020-05-10,15232,522,11781,391,15
2020-05-11,15648,416,11952,408,17
2020-05-12,16023,375,12225,425,17
2020-05-13,16425,402,12270,439,14
