time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,15,0,12,0,0
2020-02-16,15,0,12,0,0
2020-02-17,15,0,12,0,0
2020-02-18,15,0,12,0,0
2020-02-19,15,0,12,0,0
2020-02-20,15,0,10,0,0
2020-02-21,35,20,29,0,0
2020-02-22,35,0,29,0,0
2020-02-23,35,0,28,0,0
2020-02-24,53,18,48,0,0
2020-02-25,57,4,51,0,0
2020-02-26,60,3,54,0,0
2020-02-27,60,0,54,0,0
2020-02-28,63,3,57,0,0
2020-02-29,68,5,60,1,1
2020-03-01,75,7,65,1,0
2020-03-02,100,25,85,6,5
2020-03-03,124,24,106,9,3
2020-03-04,158,34,138,11,2
2020-03-05,221,63,200,12,1
2020-03-06,319,98,289,15,3
2020-03-07,435,116,401,19,4
2020-03-08,541,106,504,22,3
2020-03-09,704,163,663,26,4
2020-03-10,994,290,949,30,4
2020-03-11,1301,307,1248,38,8
2020-03-12,1684,383,1635,41,3
2020-03-13,2284,600,2227,48,7
2020-03-14,2931,647,2824,58,10
2020-03-15,3821,890,3688,73,15
2020-03-16,4925,1104,4755,95,22
2020-03-17,6905,1980,6677,121,26
2020-03-18,10091,3186,9806,171,50
2020-03-19,14896,4805,14545,240,69
2020-03-20,20873,5977,20413,310,70
2020-03-21,25969,5096,25419,376,66
2020-03-22,35578,9609,34885,512,136
2020-03-23,46435,10857,45441,693,181
2020-03-24,58025,11590,56666,962,269
2020-03-25,71642,13617,69959,1269,307
2020-03-26,89521,17879,85999,1629,360
2020-03-27,108548,19027,103858,2131,502
2020-03-28,127841,19293,121792,2781,650
2020-03-29,147940,20099,140061,3283,502
2020-03-30,171659,23719,162006,4105,822
2020-03-31,197361,25702,184853,5206,1101
2020-04-01,224682,27321,209282,6465,1259
2020-04-02,255315,30633,237153,7676,1211
2020-04-03,288332,33017,266991,8960,1284
2020-04-04,322846,34514,297386,10537,1577
2020-04-05,348966,26120,318928,11963,1426
2020-04-06,381338,32372,348003,13488,1525
2020-04-07,416077,34739,378447,15755,2267
2020-04-08,448904,32827,406612,17966,2211
2020-04-09,482856,33952,436815,20113,2147
2020-04-10,517132,34276,467424,22394,2281
2020-04-11,547057,29925,492024,24460,2066
2020-04-12,573230,26173,514192,26215,1755
2020-04-13,600970,27740,535889,27963,1748
2020-04-14,629980,29010,560308,30592,2629
2020-04-15,661527,31547,579157,33283,2691
2020-04-16,691790,30263,598117,35537,2254
2020-04-17,725084,33294,625572,38134,2597
2020-04-18,753810,28726,643820,40056,1922
2020-04-19,779393,25583,664040,41653,1597
2020-04-20,808746,29353,689391,43632,1979
2020-04-21,835616,26870,700996,46380,2748
2020-04-22,866906,31290,727250,48790,2410
2020-04-23,898314,31408,752613,51191,2401
2020-04-24,934796,36482,762981,53183,1992
2020-04-25,969459,34663,786901,55295,2112
2020-04-26,995318,25859,809728,56467,1172
2020-04-27,1019180,23862,811042,57871,1404
2020-04-28,1045026,25846,830117,60406,2535
2020-04-29,1073890,28864,850441,62852,2446
2020-04-30,1105216,31326,873608,65127,2275
2020-05-01,1141403,36187,897598,67077,1950
2020-05-02,1170391,28988,912096,68809,1732
2020-05-03,1196745,26354,931641,69985,1176
2020-05-04,1222422,25677,945256,71327,1342
2020-05-05,1247919,25497,954613,73733,2406
2020-05-06,1273483,25564,964002,76312,2579
2020-05-07,1303155,29672,985885,78485,2173
2020-05-08,1332337,29182,1004539,80202,1717
2020-05-09,1357889,25552,1011842,81656,1454
2020-05-10,1378099,20210,1024820,82872,1216
2020-05-11,1397482,19383,1035163,83948,1076
2020-05-12,1421141,23659,1026165,85861,1913
2020-05-13,1443758,22617,1031064,87721,1860
2020-05-14,1471540,27782,1048665,89514,1793
2020-05-15,1499122,27582,1063608,91154,1640
2020-05-16,1522642,23520,1073288,92396,1242
2020-05-17,1542178,19536,1084212,93280,884
2020-05-18,1566040,23862,1096534,94299,1019
2020-05-19,1587101,21061,1108299,95882,1583
2020-05-20,1609796,22695,1119567,97316,1434
2020-05-21,1638599,28803,1132230,98754,1438
2020-05-22,1663391,24792,1104330,100077,1323
2020-05-23,1685009,21618,1110137,101132,1055
2020-05-24,1704284,19275,1121725,101759,627
2020-05-25,1723851,19567,1125624,102396,637
2020-05-26,1743771,19920,1126701,103182,786
2020-05-27,1764763,20992,1133385,104748,1566
2020-05-28,1787896,23133,1143474,105990,1242
2020-05-29,1813590,25694,1157567,107227,1237
2020-05-30,1837173,23583,1163299,108263,1036
2020-05-31,1857593,20420,1117023,108915,652
2020-06-01,1876778,19185,1118868,109612,697
2020-06-02,1899285,22507,1108821,110763,1151
2020-06-03,1920038,20753,1086074,111871,1108
2020-06-04,1942963,22925,1083266,112926,1055
2020-06-05,1968445,25482,1092308,113916,990
2020-06-06,1991273,22828,1101307,114635,719
2020-06-07,2010495,19222,1109781,115020,385
2020-06-08,2029743,19248,1116178,115620,600
2020-06-09,2048895,19152,1118412,116728,1108
2020-06-10,2070033,21138,1117933,117730,1002
2020-06-11,2093363,23330,1132417,118650,920
2020-06-12,2120886,27523,1132810,119454,804
2020-06-13,2146536,25650,1144959,120171,717
2020-06-14,2166889,20353,1154126,120508,337
2020-06-15,2188068,21179,1154740,120942,434
2020-06-16,2213820,25752,1166018,121807,865
2020-06-17,2240072,26252,1175174,122632,825
2020-06-18,2268275,28203,1191109,123395,763
2020-06-19,2302218,33943,1198987,124129,734
2020-06-20,2335677,33459,1214597,124715,586
2020-06-21,2362097,26420,1233241,124986,271
2020-06-22,2393889,31792,1242036,125358,372
2020-06-23,2430193,36304,1259906,126236,878
2020-06-24,2469024,38831,1277426,127061,825
2020-06-25,2509509,40485,1305526,127720,659
2020-06-26,2557186,47677,1336330,128389,669
2020-06-27,2600937,43751,1366816,128909,520
2020-06-28,2641905,40968,1395548,129197,288
2020-06-29,2687638,45733,1417047,129567,370
2020-06-30,2734458,46820,1437183,130301,734
2020-07-01,2787264,52806,1468381,130985,684
2020-07-02,2845378,58114,1499646,131666,681
2020-07-03,2905495,60117,1537710,132297,631
2020-07-04,2956007,50512,1563034,132568,271
2020-07-05,3002598,46591,1580198,132836,268
2020-07-06,3053982,51384,1596542,133225,389
2020-07-07,3110495,56513,1621400,134232,1007
2020-07-08,3173440,62945,1645617,135144,912
2020-07-09,3235704,62264,1673150,136126,982
2020-07-10,3308761,73057,1711277,136989,863
2020-07-11,3371483,62722,1744327,137736,747
2020-07-12,3430691,59208,1775482,138125,389
2020-07-13,3496985,66294,1808911,138605,480
2020-07-14,3563710,66725,1823951,139564,959
2020-07-15,3636525,72815,1849976,140587,1023
2020-07-16,3710738,74213,1889536,141569,982
2020-07-17,3786371,75633,1903097,142540,971
2020-07-18,3850196,63825,1932037,143366,826
2020-07-19,3916032,65836,1970167,143788,422
2020-07-20,3979380,63348,1985063,144328,540
2020-07-21,4047797,68417,2015489,145518,1190
2020-07-22,4120322,72525,2030933,146752,1234
2020-07-23,4191060,70738,2063494,147949,1197
2020-07-24,4269910,78850,2092902,149116,1167
2020-07-25,4338775,68865,2127040,150043,927
2020-07-26,4395821,57046,2155187,150505,462
2020-07-27,4458083,62262,2170253,151103,598
2020-07-28,4523893,65810,2185274,152436,1333
2020-07-29,4589679,65786,2190733,153902,1466
2020-07-30,4659426,69747,2218708,155753,1851
2020-07-31,4732417,72991,2247643,157202,1449
2020-08-01,4791954,59537,2270813,158238,1036
2020-08-02,4841602,49648,2302722,158663,425
2020-08-03,4891328,49726,2285261,159269,606
2020-08-04,4945834,54506,2303471,160683,1414
2020-08-05,5001611,55777,2299455,162019,1336
2020-08-06,5061397,59786,2321638,163249,1230
2020-08-07,5124868,63471,2343494,164583,1334
2020-08-08,5181644,56776,2377749,165601,1018
2020-08-09,5230466,48822,2399827,166130,529
2020-08-10,5280037,49571,2397674,166684,554
2020-08-11,5334565,54528,2411221,168187,1503
2020-08-12,5390412,55847,2408379,169594,1407
2020-08-13,5444736,54324,2430795,170900,1306
2020-08-14,5506013,61277,2458800,172066,1166
2020-08-15,5558960,52947,2481397,173174,1108
2020-08-16,5597298,38338,2500873,173701,527
2020-08-17,5638272,40974,2490413,174272,571
2020-08-18,5682110,43838,2495344,175668,1396
2020-08-19,5727390,45280,2488105,176954,1286
2020-08-20,5773178,45788,2499641,178053,1099
2020-08-21,5823801,50623,2517157,179226,1173
2020-08-22,5868780,44979,2540498,180202,976
2020-08-23,5902237,33457,2554526,180648,446
2020-08-24,5943166,40929,2544040,181145,497
2020-08-25,5983615,40449,2546896,182437,1292
2020-08-26,6028938,45323,2531348,183729,1292
2020-08-27,6075338,46400,2542526,184872,1143
2020-08-28,6125201,49863,2563383,185980,1108
2020-08-29,6167614,42413,2571879,186936,956
2020-08-30,6202889,35275,2589858,187308,372
2020-08-31,6241513,38624,2597427,187823,515
2020-09-01,6283727,42214,2597823,188991,1168
2020-09-02,6324996,41269,2587878,190086,1095
2020-09-03,6370544,45548,2583352,191203,1117
2020-09-04,6423676,53132,2554869,192238,1035
2020-09-05,6466483,42807,2566536,192947,709
2020-09-06,6499019,32536,2579669,193380,433
2020-09-07,6524793,25774,2572438,193669,289
2020-09-08,6553354,28561,2562440,194154,485
2020-09-09,6588812,35458,2547352,195365,1211
2020-09-10,6628840,40028,2552423,196457,1092
