time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,2,0,2,0,0
2020-03-14,2,0,2,0,0
2020-03-15,17,15,17,0,0
2020-03-16,17,0,17,0,0
2020-03-17,33,16,33,0,0
2020-03-18,36,3,36,0,0
2020-03-19,42,6,42,0,0
2020-03-20,65,23,64,0,0
2020-03-21,70,5,55,0,0
2020-03-22,70,0,55,0,0
2020-03-23,84,14,69,0,0
2020-03-24,84,0,69,0,0
2020-03-25,106,22,91,0,0
2020-03-26,107,1,91,1,0
2020-03-27,113,6,80,2,1
2020-03-28,119,6,78,2,0
2020-03-29,119,0,77,3,1
2020-03-30,135,16,93,3,0
2020-03-31,135,0,93,3,0
2020-04-01,144,9,98,3,0
2020-04-02,146,2,98,5,2
2020-04-03,153,7,94,7,2
2020-04-04,155,2,96,7,0
2020-04-05,159,4,100,7,0
2020-04-06,165,6,93,7,0
2020-04-07,166,1,94,7,0
2020-04-08,167,1,93,9,2
2020-04-09,171,4,78,9,0
2020-04-10,175,4,82,9,0
2020-04-11,175,0,73,9,0
2020-04-12,181,6,79,9,0
2020-04-13,189,8,70,9,0
2020-04-14,189,0,70,9,0
2020-04-15,197,8,77,9,0
2020-04-16,204,7,84,9,0
2020-04-17,204,0,84,9,0
2020-04-18,227,23,101,9,0
2020-04-19,256,29,130,9,0
2020-04-20,285,29,158,10,1
2020-04-21,288,3,156,10,0
2020-04-22,298,10,166,10,0
2020-04-23,298,0,166,10,0
2020-04-24,318,20,176,10,0
2020-04-25,323,5,181,10,0
2020-04-26,325,2,178,10,0
2020-04-27,329,4,177,10,0
2020-04-28,329,0,177,10,0
2020-04-29,331,2,179,10,0
2020-04-30,333,2,181,10,0
2020-05-01,335,2,183,10,0
2020-05-02,345,10,187,10,0
2020-05-03,357,12,199,10,0
2020-05-04,357,0,189,10,0
2020-05-05,361,4,193,10,0
2020-05-06,379,18,193,10,0
2020-05-07,381,2,186,10,0
2020-05-08,388,7,188,10,0
2020-05-09,402,14,202,10,0
2020-05-10,414,12,211,10,0
2020-05-11,422,8,207,10,0
2020-05-12,423,1,193,10,0
2020-05-13,440,17,210,10,0
2020-05-14,455,15,225,10,0
2020-05-15,459,4,220,10,0
2020-05-16,504,45,253,10,0
2020-05-17,541,37,290,10,0
