,date,confirmed,cured,deaths
0,2020-03-21T00:00:00.000Z,2,0,0
1,2020-03-22T00:00:00.000Z,2,0,0
2,2020-03-23T00:00:00.000Z,2,0,0
3,2020-03-24T00:00:00.000Z,2,0,0
4,2020-03-25T00:00:00.000Z,4,0,0
5,2020-03-26T00:00:00.000Z,4,0,0
6,2020-03-27T00:00:00.000Z,4,0,0
7,2020-03-28T00:00:00.000Z,4,0,0
8,2020-03-29T00:00:00.000Z,4,0,0
9,2020-03-30T00:00:00.000Z,6,0,0
10,2020-03-31T00:00:00.000Z,6,0,0
11,2020-04-01T00:00:00.000Z,8,0,0
12,2020-04-02T00:00:00.000Z,8,0,0
13,2020-04-03T00:00:00.000Z,8,0,0
14,2020-04-04T00:00:00.000Z,8,0,0
15,2020-04-05T00:00:00.000Z,8,0,0
16,2020-04-06T00:00:00.000Z,8,0,0
17,2020-04-07T00:00:00.000Z,13,0,0
18,2020-04-08T00:00:00.000Z,23,1,0
19,2020-04-09T00:00:00.000Z,23,1,0
20,2020-04-10T00:00:00.000Z,27,2,0
21,2020-04-11T00:00:00.000Z,30,2,0
22,2020-04-12T00:00:00.000Z,35,3,0
23,2020-04-13T00:00:00.000Z,50,3,0
24,2020-04-14T00:00:00.000Z,50,3,0
25,2020-04-15T00:00:00.000Z,50,3,0
26,2020-04-16T00:00:00.000Z,69,3,0
27,2020-04-17T00:00:00.000Z,92,3,0
28,2020-04-18T00:00:00.000Z,114,8,0
29,2020-04-19T00:00:00.000Z,136,8,0
30,2020-04-20T00:00:00.000Z,152,8,0
31,2020-04-21T00:00:00.000Z,170,8,1
32,2020-04-22T00:00:00.000Z,193,11,1
33,2020-04-23T00:00:00.000Z,218,15,1
34,2020-04-24T00:00:00.000Z,243,15,1
35,2020-04-25T00:00:00.000Z,272,21,1
36,2020-04-26T00:00:00.000Z,300,21,1
37,2020-04-27T00:00:00.000Z,329,28,1
38,2020-04-28T00:00:00.000Z,367,28,1
39,2020-04-29T00:00:00.000Z,412,52,2
40,2020-04-30T00:00:00.000Z,456,62,2
41,2020-05-01T00:00:00.000Z,499,78,2
42,2020-05-02T00:00:00.000Z,544,91,2
43,2020-05-03T00:00:00.000Z,634,101,2
44,2020-05-04T00:00:00.000Z,739,122,2
45,2020-05-05T00:00:00.000Z,820,136,3
46,2020-05-06T00:00:00.000Z,925,147,3
47,2020-05-07T00:00:00.000Z,1008,156,3
48,2020-05-08T00:00:00.000Z,1089,169,3
49,2020-05-09T00:00:00.000Z,1168,192,3
50,2020-05-10T00:00:00.000Z,1245,199,3
51,2020-05-11T00:00:00.000Z,1325,223,3
52,2020-05-12T00:00:00.000Z,1401,261,4
53,2020-05-13T00:00:00.000Z,1475,294,6
54,2020-05-14T00:00:00.000Z,1548,310,7
55,2020-05-15T00:00:00.000Z,1619,319,7
56,2020-05-16T00:00:00.000Z,1690,356,7
57,2020-05-17T00:00:00.000Z,1759,407,7
58,2020-05-18T00:00:00.000Z,1824,420,7
59,2020-05-19T00:00:00.000Z,1886,461,7
60,2020-05-20T00:00:00.000Z,1952,515,7
61,2020-05-21T00:00:00.000Z,2020,524,8
62,2020-05-22T00:00:00.000Z,2091,536,8
63,2020-05-23T00:00:00.000Z,2171,560,8
64,2020-05-24T00:00:00.000Z,2251,567,8
65,2020-05-25T00:00:00.000Z,2334,588,8
66,2020-05-26T00:00:00.000Z,2422,602,8
