date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-21T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-28T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-29T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-30T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-31T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-01T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-02T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-03T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-04T00:00:00.000Z,2,0,1.0,1,0.0
2020-04-05T00:00:00.000Z,2,0,0.0,1,0.0
2020-04-06T00:00:00.000Z,2,0,0.0,1,0.0
2020-04-07T00:00:00.000Z,2,0,0.0,1,0.0
2020-04-08T00:00:00.000Z,3,0,1.0,2,0.0
2020-04-09T00:00:00.000Z,3,0,0.0,2,0.0
2020-04-10T00:00:00.000Z,3,0,0.0,2,0.0
2020-04-11T00:00:00.000Z,3,0,0.0,2,0.0
2020-04-12T00:00:00.000Z,4,0,1.0,3,0.0
2020-04-13T00:00:00.000Z,4,0,0.0,3,0.0
2020-04-14T00:00:00.000Z,11,0,7.0,9,0.0
2020-04-15T00:00:00.000Z,11,0,0.0,9,0.0
2020-04-16T00:00:00.000Z,13,0,2.0,10,0.0
2020-04-17T00:00:00.000Z,13,0,0.0,10,0.0
2020-04-18T00:00:00.000Z,13,0,0.0,10,0.0
2020-04-19T00:00:00.000Z,13,0,0.0,10,0.0
2020-04-20T00:00:00.000Z,13,0,0.0,10,0.0
2020-04-21T00:00:00.000Z,20,0,7.0,17,0.0
2020-04-22T00:00:00.000Z,20,0,0.0,17,0.0
2020-04-23T00:00:00.000Z,20,0,0.0,17,0.0
2020-04-24T00:00:00.000Z,29,0,9.0,25,0.0
2020-04-25T00:00:00.000Z,29,0,0.0,25,0.0
2020-04-26T00:00:00.000Z,29,0,0.0,25,0.0
2020-04-27T00:00:00.000Z,31,0,2.0,27,0.0
2020-04-28T00:00:00.000Z,33,0,2.0,29,0.0
2020-04-29T00:00:00.000Z,40,0,7.0,31,0.0
2020-04-30T00:00:00.000Z,40,0,0.0,29,0.0
2020-05-01T00:00:00.000Z,45,0,5.0,34,0.0
2020-05-02T00:00:00.000Z,49,0,4.0,38,0.0
2020-05-03T00:00:00.000Z,51,0,2.0,40,0.0
2020-05-04T00:00:00.000Z,52,0,1.0,36,0.0
2020-05-05T00:00:00.000Z,55,0,3.0,36,0.0
2020-05-06T00:00:00.000Z,56,0,1.0,34,0.0
2020-05-07T00:00:00.000Z,61,0,5.0,37,0.0
2020-05-08T00:00:00.000Z,65,0,4.0,36,0.0
2020-05-09T00:00:00.000Z,71,0,6.0,38,0.0
2020-05-10T00:00:00.000Z,73,0,2.0,40,0.0
2020-05-11T00:00:00.000Z,79,0,6.0,44,0.0
2020-05-12T00:00:00.000Z,84,0,5.0,47,0.0
2020-05-13T00:00:00.000Z,86,0,2.0,48,0.0
2020-05-14T00:00:00.000Z,95,0,9.0,55,0.0
2020-05-15T00:00:00.000Z,103,0,8.0,60,0.0
2020-05-16T00:00:00.000Z,109,0,6.0,66,0.0
2020-05-17T00:00:00.000Z,111,0,2.0,67,0.0
2020-05-18T00:00:00.000Z,119,0,8.0,73,0.0
2020-05-19T00:00:00.000Z,130,0,11.0,78,0.0
2020-05-20T00:00:00.000Z,133,0,3.0,79,0.0
2020-05-21T00:00:00.000Z,150,0,17.0,92,0.0
2020-05-22T00:00:00.000Z,169,0,19.0,109,0.0
2020-05-23T00:00:00.000Z,177,0,8.0,109,0.0
2020-05-24T00:00:00.000Z,179,0,2.0,107,0.0
2020-05-25T00:00:00.000Z,183,0,4.0,104,0.0
2020-05-26T00:00:00.000Z,189,0,6.0,109,0.0
2020-05-27T00:00:00.000Z,192,0,3.0,107,0.0
2020-05-28T00:00:00.000Z,199,0,7.0,107,0.0
2020-05-29T00:00:00.000Z,202,0,3.0,108,0.0
2020-05-30T00:00:00.000Z,231,0,29.0,126,0.0
2020-05-31T00:00:00.000Z,231,0,0.0,116,0.0
2020-06-01T00:00:00.000Z,245,0,14.0,127,0.0
2020-06-02T00:00:00.000Z,252,0,7.0,118,0.0
2020-06-03T00:00:00.000Z,255,0,3.0,111,0.0
2020-06-04T00:00:00.000Z,259,0,4.0,111,0.0
2020-06-05T00:00:00.000Z,268,0,9.0,115,0.0
2020-06-06T00:00:00.000Z,280,0,12.0,122,0.0
2020-06-07T00:00:00.000Z,288,0,8.0,108,0.0
2020-06-08T00:00:00.000Z,306,0,18.0,123,0.0
2020-06-09T00:00:00.000Z,314,0,8.0,114,0.0
2020-06-10T00:00:00.000Z,330,0,16.0,130,0.0
2020-06-11T00:00:00.000Z,344,0,14.0,136,0.0
2020-06-12T00:00:00.000Z,355,0,11.0,143,0.0
2020-06-13T00:00:00.000Z,369,0,14.0,155,0.0
2020-06-14T00:00:00.000Z,384,0,15.0,164,0.0
2020-06-15T00:00:00.000Z,404,0,20.0,162,0.0
2020-06-16T00:00:00.000Z,413,0,9.0,169,0.0
2020-06-17T00:00:00.000Z,422,0,9.0,174,0.0
2020-06-18T00:00:00.000Z,441,0,19.0,189,0.0
2020-06-19T00:00:00.000Z,473,0,32.0,215,0.0
2020-06-20T00:00:00.000Z,501,0,28.0,229,0.0
2020-06-21T00:00:00.000Z,528,0,27.0,250,0.0
2020-06-22T00:00:00.000Z,571,0,43.0,281,0.0
2020-06-23T00:00:00.000Z,591,0,20.0,279,0.0
2020-06-24T00:00:00.000Z,625,0,34.0,292,0.0
2020-06-25T00:00:00.000Z,660,1,35.0,315,1.0
2020-06-26T00:00:00.000Z,679,1,19.0,322,0.0
2020-06-27T00:00:00.000Z,700,1,21.0,314,0.0
2020-06-28T00:00:00.000Z,739,1,39.0,340,0.0
2020-06-29T00:00:00.000Z,753,1,14.0,333,0.0
2020-06-30T00:00:00.000Z,786,1,33.0,359,0.0
2020-07-01T00:00:00.000Z,794,1,8.0,342,0.0
2020-07-02T00:00:00.000Z,834,1,40.0,379,0.0
2020-07-03T00:00:00.000Z,864,1,30.0,358,0.0
2020-07-04T00:00:00.000Z,905,1,41.0,388,0.0
2020-07-05T00:00:00.000Z,947,1,42.0,419,0.0
2020-07-06T00:00:00.000Z,1000,1,53.0,450,0.0
2020-07-07T00:00:00.000Z,1058,1,58.0,490,0.0
2020-07-08T00:00:00.000Z,1119,1,61.0,519,0.0
2020-07-09T00:00:00.000Z,1180,2,61.0,569,1.0
2020-07-10T00:00:00.000Z,1240,2,60.0,614,0.0
2020-07-11T00:00:00.000Z,1303,2,63.0,668,0.0
2020-07-12T00:00:00.000Z,1368,2,65.0,725,0.0
2020-07-13T00:00:00.000Z,1432,2,64.0,774,0.0
2020-07-14T00:00:00.000Z,1490,2,58.0,818,0.0
2020-07-15T00:00:00.000Z,1546,3,56.0,824,1.0
