date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30,2,0,2,2,0
2020-03-31,3,0,1,3,0
2020-04-01,3,0,0,3,0
2020-04-02,4,0,1,4,0
2020-04-03,4,0,0,4,0
2020-04-04,7,0,3,7,0
2020-04-05,12,0,5,12,0
2020-04-06,12,0,0,12,0
2020-04-07,12,0,0,12,0
2020-04-08,18,0,6,18,0
2020-04-09,21,0,3,21,0
2020-04-10,21,0,0,21,0
2020-04-11,29,0,8,27,0
2020-04-12,29,0,0,26,0
2020-04-13,36,0,7,33,0
2020-04-14,36,0,0,33,0
2020-04-15,48,0,12,45,0
2020-04-16,48,0,0,45,0
2020-04-17,53,0,5,49,0
2020-04-18,63,0,10,59,0
2020-04-19,72,0,9,68,0
2020-04-20,84,0,12,80,0
2020-04-21,127,0,43,118,0
2020-04-22,136,0,9,127,0
2020-04-23,144,0,8,131,0
2020-04-24,152,0,8,137,0
2020-04-25,215,1,63,197,1
2020-04-26,283,2,68,261,1
2020-04-27,310,1,27,281,-1
2020-04-28,324,1,14,290,0
2020-04-29,348,1,24,303,0
2020-04-30,382,1,34,337,0
2020-05-01,423,1,41,368,0
2020-05-02,451,1,28,382,0
2020-05-03,498,1,47,422,0
2020-05-04,534,2,36,452,1
2020-05-05,555,3,21,446,1
2020-05-06,588,3,33,478,0
2020-05-07,605,3,17,473,0
2020-05-08,621,3,16,457,0
2020-05-09,641,3,20,468,0
2020-05-10,669,3,28,465,0
2020-05-11,707,3,38,483,0
2020-05-12,727,3,20,437,0
2020-05-13,770,3,43,427,0
2020-05-14,809,3,39,431,0
2020-05-15,847,3,38,425,0
2020-05-16,885,3,38,436,0
2020-05-17,925,3,40,460,0
2020-05-18,970,3,45,490,0
2020-05-19,1014,4,44,485,1
2020-05-20,1054,6,40,499,2
2020-05-21,1111,7,57,530,1
2020-05-22,1185,7,74,586,0
2020-05-23,1254,7,69,634,0
2020-05-24,1325,7,71,689,0
2020-05-25,1406,7,81,770,0
2020-05-26,1485,9,79,815,2
2020-05-27,1554,10,69,862,1
2020-05-28,1633,10,79,914,0
2020-05-29,1708,12,75,976,2
2020-05-30,1779,12,71,1012,0
2020-05-31,1848,12,69,1061,0
2020-06-01,1915,12,67,1110,0
2020-06-02,1985,12,70,1152,0
2020-06-03,2066,12,81,1200,0
2020-06-04,2135,12,69,1236,0
2020-06-05,2192,13,57,1226,1
2020-06-06,2255,14,63,1194,1
2020-06-07,2319,14,64,1223,0
2020-06-08,2390,14,71,1283,0
2020-06-09,2458,15,68,1261,1
2020-06-10,2524,16,66,1210,1
2020-06-11,2593,19,69,1186,3
2020-06-12,2659,19,66,1090,0
2020-06-13,2726,19,67,1119,0
2020-06-14,2795,19,69,1128,0
2020-06-15,2867,19,72,1152,0
2020-06-16,2939,21,72,1047,2
2020-06-17,3010,22,71,1018,1
2020-06-18,3078,24,68,976,2
2020-06-19,3153,24,75,943,0
2020-06-20,3226,25,73,934,1
2020-06-21,3298,27,72,989,2
2020-06-22,3371,27,73,1012,0
2020-06-23,3445,29,74,975,2
2020-06-24,3522,29,77,982,0
2020-06-25,3600,29,78,1006,0
2020-06-26,3676,30,76,999,1
2020-06-27,3753,31,77,1056,1
2020-06-28,3831,31,78,1104,0
2020-06-29,3909,31,78,1143,0
2020-06-30,3985,33,76,1096,2
2020-07-01,4059,36,74,1087,3
2020-07-02,4134,38,75,1143,2
2020-07-03,4207,40,73,1130,2
2020-07-04,4299,42,92,1119,2
2020-07-05,4414,44,115,1186,2
2020-07-06,4538,45,124,1274,1
2020-07-07,4709,47,171,1326,2
2020-07-08,4897,49,188,1401,2
2020-07-09,5121,49,224,1544,0
2020-07-10,5361,49,240,1670,0
2020-07-11,5589,50,228,1789,1
2020-07-12,5821,51,232,1987,1
2020-07-13,6056,51,235,2188,0
2020-07-14,6294,52,238,2268,1
2020-07-15,6540,54,246,2398,2
2020-07-16,6755,54,215,2437,0
2020-07-17,6983,55,228,2523,1
2020-07-18,7184,56,201,2577,1
2020-07-19,7382,56,198,2670,0
2020-07-20,7573,57,191,2758,1
2020-07-21,7758,57,185,2717,0
2020-07-22,7941,57,183,2602,0
2020-07-23,8107,59,166,2434,2
2020-07-24,8253,59,146,2327,0
2020-07-25,8391,60,138,2071,1
2020-07-26,8531,64,140,2107,4
2020-07-27,8665,64,134,2141,0
2020-07-28,8786,64,121,2007,0
2020-07-29,8893,66,107,1943,2
2020-07-30,8998,66,105,1822,0
2020-07-31,9109,66,111,1916,0
2020-08-01,9217,68,108,1985,2
2020-08-02,9326,68,109,2010,0
2020-08-03,9433,68,107,2071,0
2020-08-04,9528,78,95,2039,10
2020-08-05,9622,78,94,1992,0
2020-08-06,9714,80,92,1923,2
2020-08-07,9809,85,95,1857,5
2020-08-08,9907,89,98,1807,4
2020-08-09,9999,91,92,1859,2
2020-08-10,10094,91,95,1894,0
2020-08-11,10185,95,91,1823,4
2020-08-12,10273,96,88,1741,1
2020-08-13,10360,96,87,1723,0
2020-08-14,10445,96,85,1681,0
2020-08-15,10534,96,89,1644,0
2020-08-16,10623,98,89,1699,2
2020-08-17,10711,99,88,1752,1
2020-08-18,10802,107,91,1659,8
2020-08-19,10887,107,85,1630,0
2020-08-20,10968,108,81,1602,1
2020-08-21,11042,110,74,1510,2
2020-08-22,11115,110,73,1446,0
2020-08-23,11186,110,71,1486,0
2020-08-24,11251,110,65,1510,0
2020-08-25,11317,111,66,1403,1
2020-08-26,11387,112,70,1363,1
2020-08-27,11456,112,69,1353,0
2020-08-28,11523,114,67,1283,2
