date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-17T00:00:00.000Z,2,0,2.0,2,0.0
2020-04-18T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-19T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-20T00:00:00.000Z,4,0,2.0,4,0.0
2020-04-21T00:00:00.000Z,8,0,4.0,8,0.0
2020-04-22T00:00:00.000Z,8,0,0.0,8,0.0
2020-04-23T00:00:00.000Z,9,0,1.0,9,0.0
2020-04-24T00:00:00.000Z,9,0,0.0,9,0.0
2020-04-25T00:00:00.000Z,14,0,5.0,14,0.0
2020-04-26T00:00:00.000Z,15,0,1.0,15,0.0
2020-04-27T00:00:00.000Z,27,0,12.0,27,0.0
2020-04-28T00:00:00.000Z,27,0,0.0,27,0.0
2020-04-29T00:00:00.000Z,30,0,3.0,30,0.0
2020-04-30T00:00:00.000Z,32,0,2.0,32,0.0
2020-05-01T00:00:00.000Z,33,0,1.0,33,0.0
2020-05-02T00:00:00.000Z,35,0,2.0,34,0.0
2020-05-03T00:00:00.000Z,36,0,1.0,35,0.0
2020-05-04T00:00:00.000Z,36,0,0.0,34,0.0
2020-05-05T00:00:00.000Z,37,0,1.0,35,0.0
2020-05-06T00:00:00.000Z,38,0,1.0,35,0.0
2020-05-07T00:00:00.000Z,40,0,2.0,35,0.0
2020-05-08T00:00:00.000Z,41,0,1.0,36,0.0
2020-05-09T00:00:00.000Z,51,0,10.0,39,0.0
2020-05-10T00:00:00.000Z,52,0,1.0,35,0.0
2020-05-11T00:00:00.000Z,54,0,2.0,36,0.0
2020-05-12T00:00:00.000Z,56,0,2.0,31,0.0
2020-05-13T00:00:00.000Z,60,0,4.0,34,0.0
2020-05-14T00:00:00.000Z,63,0,3.0,33,0.0
2020-05-15T00:00:00.000Z,65,0,2.0,35,0.0
2020-05-16T00:00:00.000Z,69,0,4.0,36,0.0
2020-05-17T00:00:00.000Z,75,0,6.0,41,0.0
2020-05-18T00:00:00.000Z,78,0,3.0,44,0.0
2020-05-19T00:00:00.000Z,81,0,3.0,45,0.0
2020-05-20T00:00:00.000Z,82,0,1.0,45,0.0
2020-05-21T00:00:00.000Z,88,0,6.0,51,0.0
2020-05-22T00:00:00.000Z,92,0,4.0,51,0.0
2020-05-23T00:00:00.000Z,92,0,0.0,46,0.0
2020-05-24T00:00:00.000Z,95,0,3.0,48,0.0
2020-05-25T00:00:00.000Z,102,0,7.0,53,0.0
